before,four_cut,after,pattern
PPBBBB,PPPPBPPPPB,PBPBPB,4-1-4-1
BBBBPB,PPPPBPPPPB,PPPBBP,4-1-4-1
BBPPPP,PPPPBPPPPB,BBBPPP,4-1-4-1
BPPBBP,BBBBPBBBBP,PBBBPB,4-1-4-1
BPPBPP,BBBBPBBBBP,PBBPBP,4-1-4-1
BPPBPP,PPPPBPPPPB,BBPBPP,4-1-4-1
BBPPBB,BBBBPBBBBP,PBPBPP,4-1-4-1
BBBPPP,PPPPBPPPPB,PPBBBB,4-1-4-1
PBPBPP,BBBBPBBBBP,PPBPPB,4-1-4-1
PBBPBB,BBBBPBBBBP,BBBBBB,4-1-4-1
PBPPBB,BBBBPBBBBP,BBPBBP,4-1-4-1
BBBBBB,PPPPBPPPPB,BPPBBB,4-1-4-1
PBBBBB,PPPPBPPPPB,PBPBBB,4-1-4-1
PBBPBP,PPPPBPPPPB,BBPBPP,4-1-4-1
PBBBPB,PPPPBPPPPB,BPPBBP,4-1-4-1
PBPBPB,PPPPBPPPPB,BPBBBB,4-1-4-1
BBPBBP,PPPPBPPPPB,BBBPPB,4-1-4-1
BPPPBP,BBBBPBBBBP,PPBPBB,4-1-4-1
BBBBBP,PPPPBPPPPB,BBBBPB,4-1-4-1
PBPPBB,PPPPBPPPPB,BBPPPB,4-1-4-1
BPBBBB,BBBBPBBBBP,BBBPPP,4-1-4-1
PPPPBB,BBBBPBBBBP,PBPPPB,4-1-4-1
BBPPBB,BBBBPBBBBP,PPPPPB,4-1-4-1
PPPBPP,BBBBPBBBBP,PPPPBP,4-1-4-1
BPPPBB,BBBBPBBBBP,PBBPPP,4-1-4-1
BPPBBP,PPPPBPPPPB,BBPBBP,4-1-4-1
BBBBPP,BBBBPBBBBP,BPBPBP,4-1-4-1
PBPPBP,BBBBPBBBBP,BPBPPB,4-1-4-1
BPBPPB,PPPPBPPPPB,PPBPPP,4-1-4-1
BPPPBB,BBBBPBBBBP,PPPPPB,4-1-4-1
BPPPBB,BBBBPBBBBP,PPPPPB,4-1-4-1
BPPPBB,BBBBPBBBBP,PPPPPB,4-1-4-1
PPBBBB,PPPPBPPPPB,BPBPPB,4-1-4-1
BPBPPB,BBBBPBBBBP,PBPBBB,4-1-4-1
BBBPBB,PPPPBPPPPB,PBPPBP,4-1-4-1
PBBPPP,BBBBPBBBBP,BBPPPP,4-1-4-1
PBPPBP,PPPPBPPPPB,PBPBPP,4-1-4-1
PBBBBP,PPPPBPPPPB,BPPBBP,4-1-4-1
BBBBBB,BBBBPBBBBP,PPPBBB,4-1-4-1
BBBPPP,PPPPBPPPPB,BBPBPP,4-1-4-1
BPPBBB,PPPPBPPPPB,BBPPBB,4-1-4-1
BBPBBB,BBBBPBBBBP,PBBBPP,4-1-4-1
BBPPPB,BBBBPBBBBP,BBPPBB,4-1-4-1
BBBBPP,BBBBPBBBBP,BBBBPP,4-1-4-1
BPPBBP,PPPPBPPPPB,PBPBPB,4-1-4-1
PPPBBP,PPPPBPPPPB,BBPPPB,4-1-4-1
PPBBPB,PPPPBPPPPB,PBPPBP,4-1-4-1
BBBPBP,PPPPBPPPPB,BBPPBB,4-1-4-1
PBPPBP,BBBBPBBBBP,BPPBPB,4-1-4-1
BBBPBB,BBBBPBBBBP,BPBPBB,4-1-4-1
BPBBPP,BBBBPBBBBP,PBPBPB,4-1-4-1
BPPBBP,PPPPBPPPPB,PBPBPB,4-1-4-1
BPPBPP,PPPPBPPPPB,BBPPBB,4-1-4-1
BPBBBB,BBBBPBBBBP,BBBBBB,4-1-4-1
PPPPBB,BBBBPBBBBP,PBPPPB,4-1-4-1
PPBPPB,BBBBPBBBBP,BPPPBP,4-1-4-1
PPPPPP,PPPPBPPPPB,BPBBPP,4-1-4-1
PBBPBB,BBBBPBBBBP,BBPPPB,4-1-4-1
PBPPBP,BBBBPBBBBP,BPPBBP,4-1-4-1
PPBPBP,PPPPBPPPPB,BBBBPP,4-1-4-1
BPPPBB,PPPPBPPPPB,BBBBPB,4-1-4-1
BPPBPP,PPPPBPPPPB,PBBBPB,4-1-4-1
PBPBPP,PPPPBPPPPB,PPPBPP,4-1-4-1
BBBBBB,PPPPBPPPPB,BPPPBP,4-1-4-1
BBBPPP,BBBBPBBBBP,PBBBBP,4-1-4-1
BBPPBP,BBBBPBBBBP,PPBBPP,4-1-4-1
PPPBBP,BBBBPBBBBP,PPPPBB,4-1-4-1
PBPPPB,BBBBPBBBBP,BPBPPP,4-1-4-1
BBBBPP,BBBBPBBBBP,PBPBPP,4-1-4-1
PPBBPP,BBBBPBBBBP,BBPPBP,4-1-4-1
BBPBPB,PPPPBPPPPB,PPPBBB,4-1-4-1
BBBBBP,PPPPBPPPPB,PBBBBP,4-1-4-1
BPBBBB,BBBBPBBBBP,BPBBPB,4-1-4-1
BBPBBB,BBBBPBBBBP,PBPBBB,4-1-4-1
BBBPPB,BBBBPBBBBP,BPPBPP,4-1-4-1
PBPPBB,BBBBPBBBBP,PBBBBP,4-1-4-1
PPBBBP,PPPPBPPPPB,PPBPBP,4-1-4-1
BPBPPB,PPPPBPPPPB,BBPBPB,4-1-4-1
PPBBPB,PPPPBPPPPB,PBPPBP,4-1-4-1
BBBBPB,BBBBPBBBBP,PBBPPB,4-1-4-1
BBPBPP,BBBBPBBBBP,BPPPPP,4-1-4-1
BBPBBP,PPPPBPPPPB,PBPBPP,4-1-4-1
BBPPBB,BBBBPBBBBP,BPBBBB,4-1-4-1
BPPBBB,PPPPBPPPPB,PPPPPB,4-1-4-1
BBPPPB,BBBBPBBBBP,PBBPBB,4-1-4-1
BPBPPP,BBBBPBBBBP,PBPBPB,4-1-4-1
BPPPBP,PPPPBPPPPB,PBPPPP,4-1-4-1
PBPBBP,BBBBPBBBBP,PBPPPB,4-1-4-1
PPBPBB,BBBBPBBBBP,BBPPPP,4-1-4-1
PBBPPB,BBBBPBBBBP,PPPPBP,4-1-4-1
PBBPPB,BBBBPBBBBP,PPPPBP,4-1-4-1
BPPPPP,BBBBPBBBBP,PBPBPP,4-1-4-1
PBPBBB,BBBBPBBBBP,PBPPPB,4-1-4-1
BPBPBP,BBBBPBBBBP,BPPBBP,4-1-4-1
PBPBBP,BBBBPBBBBP,BPPPPP,4-1-4-1
PBPBPB,PPPPBPPPPB,PPPBPP,4-1-4-1
BBPPPB,PPPPBPPPPB,PPPBPP,4-1-4-1
BBPPPP,BBBBPBBBBP,PPBBPB,4-1-4-1
BPBBPP,BBBBPBBBBP,PBBBPP,4-1-4-1
PBPBPB,BBBBPBBBBP,BPBPBP,4-1-4-1
PPBPPB,PPPPBPPPPB,BBBPBB,4-1-4-1
PBPBPB,PPPPBPPPPB,BPPBBP,4-1-4-1
PPPBPB,PPPPBPPPPB,PPBBPB,4-1-4-1
PPBBBB,BBBBPBBBBP,BPPBPP,4-1-4-1
PBPBBB,PPPPBPPPPB,PBPBPP,4-1-4-1
PBBBPB,BBBBPBBBBP,PPBBBB,4-1-4-1
BBBBPB,PPPPBPPPPB,PPPBBB,4-1-4-1
PBPBBB,PPPPBPPPPB,PPBPPB,4-1-4-1
BPPBPP,BBBBPBBBBP,PBPBPB,4-1-4-1
PPBPPP,PPPPBPPPPB,BPPPBB,4-1-4-1
PBPBBP,BBBBPBBBBP,BPBPPB,4-1-4-1
BBBPBB,PPPPBPPPPB,PPPPPB,4-1-4-1
BBPPBP,PPPPBPPPPB,PBBBPP,4-1-4-1
PPBPPP,PPPPBPPPPB,BPBPBP,4-1-4-1
BBBPBB,PPPPBPPPPB,PBPBBB,4-1-4-1
PPBBBB,PPPPBPPPPB,BPPBBP,4-1-4-1
PBBPPP,PPPPBPPPPB,PBPBPP,4-1-4-1
PBBPPP,PPPPBPPPPB,PBPBPP,4-1-4-1
BBPPBB,PPPPBPPPPB,BBBPPP,4-1-4-1
BBBPBP,PPPPBPPPPB,PPBPBP,4-1-4-1
BPPBBB,PPPPBPPPPB,PPBBPP,4-1-4-1
PBBBPP,PPPPBPPPPB,BBBPBB,4-1-4-1
PBBBPP,BBBBPBBBBP,PPBBBB,4-1-4-1
BBPPBP,PPPPBPPPPB,PPPBPB,4-1-4-1
BBPPPB,BBBBPBBBBP,BPPPPB,4-1-4-1
BBBPBB,PPPPBPPPPB,BPPPBB,4-1-4-1
PBBPPB,BBBBPBBBBP,BBPPBB,4-1-4-1
PBBPPB,BBBBPBBBBP,BPPPPB,4-1-4-1
BBPBPP,PPPPBPPPPB,PBPBPP,4-1-4-1
BPPBPP,BBBBPBBBBP,PPPBBB,4-1-4-1
BBPPBP,PPPPBPPPPB,PBPBPB,4-1-4-1
BBPPBP,PPPPBPPPPB,PBPBPB,4-1-4-1
PPPPPP,BBBBPBBBBP,BBBBBP,4-1-4-1
PBPBPP,BBBBPBBBBP,PPBPPB,4-1-4-1
PPBPPP,BBBBPBBBBP,BPPPPP,4-1-4-1
BPBBBP,PPPPBPPPPB,BPPBBB,4-1-4-1
PPBPPP,BBBBPBBBBP,BBBPPP,4-1-4-1
BBPBBB,PPPPBPPPPB,BPPBPP,4-1-4-1
PPPPPP,BBBBPBBBBP,PPBPBB,4-1-4-1
PPPPPP,BBBBPBBBBP,PPBPBB,4-1-4-1
PPPPPP,BBBBPBBBBP,PPBPBB,4-1-4-1
PBPBPP,BBBBPBBBBP,BPBPBP,4-1-4-1
BBPBPP,BBBBPBBBBP,BBBBBB,4-1-4-1
BBPBPP,BBBBPBBBBP,BBBBBB,4-1-4-1
BBBBBB,PPPPBPPPPB,BBBPBP,4-1-4-1
BBBBBB,PPPPBPPPPB,BBBPBP,4-1-4-1
PPPBPB,BBBBPBBBBP,BPPBPP,4-1-4-1
PPPBPB,BBBBPBBBBP,BPPBPP,4-1-4-1
PPPBPB,BBBBPBBBBP,PBBBPP,4-1-4-1
BPBPBB,PPPPBPPPPB,PPBBBB,4-1-4-1
BBBPBP,PPPPBPPPPB,BBPPBP,4-1-4-1
BBBPBP,PPPPBPPPPB,BBPPBP,4-1-4-1
BBPBPB,PPPPBPPPPB,PPBBPB,4-1-4-1
BBPBPB,PPPPBPPPPB,PPBBPB,4-1-4-1
PBPBBP,BBBBPBBBBP,BBPPPB,4-1-4-1
PPPBBP,PPPPBPPPPB,BBPBBP,4-1-4-1
BPPPPP,BBBBPBBBBP,BPBPBP,4-1-4-1
BBPPPB,BBBBPBBBBP,BBBBPP,4-1-4-1
PBBBBP,PPPPBPPPPB,PPPBPP,4-1-4-1
BPPBBP,BBBBPBBBBP,BBBBBP,4-1-4-1
BPPBBP,BBBBPBBBBP,BBBBBP,4-1-4-1
BBPPBP,BBBBPBBBBP,PBPBPP,4-1-4-1
BPBBBB,PPPPBPPPPB,PBPPPB,4-1-4-1
PBPPPB,BBBBPBBBBP,BPPPPB,4-1-4-1
BBBBPB,PPPPBPPPPB,PBBBBB,4-1-4-1
PBPPPB,BBBBPBBBBP,BPPPPB,4-1-4-1
BBBBPB,PPPPBPPPPB,PBBBBB,4-1-4-1
PBPBBB,BBBBPBBBBP,BPPBBB,4-1-4-1
PBBBPP,PPPPBPPPPB,BPPPPB,4-1-4-1
PBBPPB,PPPPBPPPPB,PPBBBB,4-1-4-1
BPPBPP,BBBBPBBBBP,PPBPPP,4-1-4-1
BPPBPP,BBBBPBBBBP,PPBPPP,4-1-4-1
PBBPBP,PPPPBPPPPB,BPPPPP,4-1-4-1
PPPPPP,PPPPBPPPPB,PBBPBB,4-1-4-1
BBPBPP,PPPPBPPPPB,BBBBBP,4-1-4-1
BBPBBB,BBBBPBBBBP,BPPPPB,4-1-4-1
BBBPBP,BBBBPBBBBP,BBBPBP,4-1-4-1
PPBPBB,BBBBPBBBBP,PPBPBB,4-1-4-1
PPPPPP,PPPPBPPPPB,PBPBBB,4-1-4-1
BPPBBP,BBBBPBBBBP,PPBBPP,4-1-4-1
PPPBBP,BBBBPBBBBP,BPBPPB,4-1-4-1
PPPBBP,BBBBPBBBBP,BPBBBP,4-1-4-1
PPPPBB,PPPPBPPPPB,BPBBBP,4-1-4-1
BPBBPB,PPPPBPPPPB,PPPBPP,4-1-4-1
BPPPPP,PPPPBPPPPB,PBBBBB,4-1-4-1
BPPPPP,PPPPBPPPPB,PBBBBB,4-1-4-1
PBPPPP,BBBBPBBBBP,BPBBPP,4-1-4-1
BPPBPP,PPPPBPPPPB,PBBPPB,4-1-4-1
PPBBBB,BBBBPBBBBP,BBPBBB,4-1-4-1
PPBBBB,BBBBPBBBBP,BBPBBB,4-1-4-1
PPPBBP,BBBBPBBBBP,BPPBPB,4-1-4-1
PBPBBB,BBBBPBBBBP,BPBBBP,4-1-4-1
BBBPPP,PPPPBPPPPB,PPBPBP,4-1-4-1
PBBBBB,BBBBPBBBBP,BPBPBP,4-1-4-1
BBBBPP,BBBBPBBBBP,BBBPPP,4-1-4-1
BPPBPB,PPPPBPPPPB,BPPPBP,4-1-4-1
BPPPPP,BBBBPBBBBP,PBBBBP,4-1-4-1
PBPBPP,PPPPBPPPPB,BBBPBB,4-1-4-1
BPBPPB,BBBBPBBBBP,BPPPBP,4-1-4-1
PPPBPB,PPPPBPPPPB,BPPBPB,4-1-4-1
PBBPBP,PPPPBPPPPB,BPBBPP,4-1-4-1
PBPBBB,BBBBPBBBBP,PBBBBB,4-1-4-1
PPBPPP,PPPPBPPPPB,BPPPBB,4-1-4-1
BBBPPP,PPPPBPPPPB,PPBBBP,4-1-4-1
PBBPBP,PPPPBPPPPB,PPBBPB,4-1-4-1
PBBPBP,PPPPBPPPPB,PPBBPB,4-1-4-1
BPPBPB,BBBBPBBBBP,PBPPPB,4-1-4-1
BPPPBB,PPPPBPPPPB,PPPBPP,4-1-4-1
PBPBPP,BBBBPBBBBP,PPPBBB,4-1-4-1
PBPBPP,BBBBPBBBBP,BBBPBB,4-1-4-1
PBBBPB,PPPPBPPPPB,PPPBPB,4-1-4-1
PBPPBP,BBBBPBBBBP,BBBBPB,4-1-4-1
PPBBBP,BBBBPBBBBP,BPPBPP,4-1-4-1
BPPBPB,PPPPBPPPPB,BPBPBP,4-1-4-1
PPPBPB,BBBBPBBBBP,BPBBBB,4-1-4-1
BPPPBB,PPPPBPPPPB,BBBPBP,4-1-4-1
PPBPPB,BBBBPBBBBP,BPBPPB,4-1-4-1
PBBBBP,PPPPBPPPPB,BPPBPP,4-1-4-1
PBBBBP,PPPPBPPPPB,BPPBPP,4-1-4-1
BBPBBP,PPPPBPPPPB,PPBBBB,4-1-4-1
PPPBPP,PPPPBPPPPB,PBBPBB,4-1-4-1
PBBPPP,PPPPBPPPPB,BPBPBB,4-1-4-1
PBPBPB,BBBBPBBBBP,PPBBBB,4-1-4-1
PPPBPB,BBBBPBBBBP,PPPBPB,4-1-4-1
BBBBPP,BBBBPBBBBP,PBBBBP,4-1-4-1
PPPBPP,BBBBPBBBBP,BPBBPB,4-1-4-1
BPBPPP,BBBBPBBBBP,BBBBPB,4-1-4-1
PBPPPB,PPPPBPPPPB,BBPBBP,4-1-4-1
PBBPBB,PPPPBPPPPB,BBPPBB,4-1-4-1
PBPBBP,BBBBPBBBBP,BBPBBB,4-1-4-1
BBBBBB,BBBBPBBBBP,BBBBBP,4-1-4-1
PPBPBB,BBBBPBBBBP,BBBBBB,4-1-4-1
BBBBPP,BBBBPBBBBP,BBBBBB,4-1-4-1
PPBPPP,PPPPBPPPPB,BPBPBB,4-1-4-1
BPBBBB,BBBBPBBBBP,PPBBPP,4-1-4-1
BPPBPB,PPPPBPPPPB,BPPBPB,4-1-4-1
BBBBPB,PPPPBPPPPB,PPBBPB,4-1-4-1
BBBBPB,PPPPBPPPPB,PPBBPB,4-1-4-1
BPBPBB,BBBBPBBBBP,BPBPBB,4-1-4-1
BPPPPP,PPPPBPPPPB,BBPBPB,4-1-4-1
BBPBPP,BBBBPBBBBP,PPPPBB,4-1-4-1
BBPPPP,PPPPBPPPPB,BPBBPB,4-1-4-1
BBBPPB,BBBBPBBBBP,BPPPPB,4-1-4-1
BBBBPP,PPPPBPPPPB,BBBPBB,4-1-4-1
BBBBBB,BBBBPBBBBP,PPBPBP,4-1-4-1
PBPPBB,PPPPBPPPPB,BPPBBP,4-1-4-1
BBPBBP,PPPPBPPPPB,PBBBPP,4-1-4-1
PBPPBP,BBBBPBBBBP,PBBPPB,4-1-4-1
BPBBPP,BBBBPBBBBP,BBBPBB,4-1-4-1
PPPBBP,BBBBPBBBBP,PPPPBB,4-1-4-1
BBPPPP,BBBBPBBBBP,PPPPPP,4-1-4-1
BPBPBB,BBBBPBBBBP,BBPBBB,4-1-4-1
PBPPBB,BBBBPBBBBP,BBPPPB,4-1-4-1
BPBBBB,BBBBPBBBBP,PPBPPB,4-1-4-1
PBBPPP,BBBBPBBBBP,BPBPBP,4-1-4-1
PPBPPB,BBBBPBBBBP,BBPBPB,4-1-4-1
PBPPBP,BBBBPBBBBP,BPPPBP,4-1-4-1
BBPPBB,BBBBPBBBBP,PPPBPP,4-1-4-1
PBPBPP,BBBBPBBBBP,PBBBPP,4-1-4-1
BBBPPP,BBBBPBBBBP,PPPPBP,4-1-4-1
BPPBPB,PPPPBPPPPB,BBBPBB,4-1-4-1
BBPBPB,BBBBPBBBBP,PPPPPP,4-1-4-1
PPPBBP,BBBBPBBBBP,BBPPPB,4-1-4-1
PBBPBP,BBBBPBBBBP,BPBPBP,4-1-4-1
BPPPBP,BBBBPBBBBP,BPPPPP,4-1-4-1
PPPPBB,BBBBPBBBBP,PBBBBP,4-1-4-1
BPPPBP,PPPPBPPPPB,BPBBPB,4-1-4-1
BPPPPP,BBBBPBBBBP,PPPBPB,4-1-4-1
PBPPBP,PPPPBPPPPB,PPBBPP,4-1-4-1
BBPBBP,BBBBPBBBBP,BBPBPB,4-1-4-1
PBBPBB,PPPPBPPPPB,PPBPBP,4-1-4-1
PPPPBP,BBBBPBBBBP,BPPPPP,4-1-4-1
PBBPPP,BBBBPBBBBP,PPBBPP,4-1-4-1
PPPPBP,BBBBPBBBBP,PPPPPB,4-1-4-1
BPPBBP,PPPPBPPPPB,PBPPPB,4-1-4-1
PPBBBB,BBBBPBBBBP,PPBPBB,4-1-4-1
PBBPPP,PPPPBPPPPB,PPPPBP,4-1-4-1
BPPPPB,PPPPBPPPPB,PPPPBP,4-1-4-1
BPPBBP,BBBBPBBBBP,BPPPPB,4-1-4-1
PBPPPP,PPPPBPPPPB,PBPPBB,4-1-4-1
BPPPBB,PPPPBPPPPB,PBBBBB,4-1-4-1
BBPBBP,BBBBPBBBBP,BPPBBB,4-1-4-1
BBPBBP,BBBBPBBBBP,BPPBBB,4-1-4-1
PPBBPB,BBBBPBBBBP,PPPPPB,4-1-4-1
PBBPPB,BBBBPBBBBP,BPPPBB,4-1-4-1
BPBPBB,BBBBPBBBBP,PBPBBB,4-1-4-1
BPBPBB,BBBBPBBBBP,PBPBBB,4-1-4-1
BPBPBB,BBBBPBBBBP,PBPBBB,4-1-4-1
BPBPPP,BBBBPBBBBP,PBPBBP,4-1-4-1
PBBPBB,BBBBPBBBBP,PPBBBP,4-1-4-1
BPPPBP,PPPPBPPPPB,PPBPPB,4-1-4-1
BPBPPP,PPPPBPPPPB,BBBBPB,4-1-4-1
PPPBPP,PPPPBPPPPB,BPPPBP,4-1-4-1
BBPBPB,BBBBPBBBBP,PPBBBP,4-1-4-1
BBPPPP,PPPPBPPPPB,PBBBBP,4-1-4-1
PBBPBP,PPPPBPPPPB,PPPBPB,4-1-4-1
PPBBBP,BBBBPBBBBP,BPPPPP,4-1-4-1
PBBPBP,PPPPBPPPPB,PPPPPB,4-1-4-1
BBBBBB,BBBBPBBBBP,BPBPPP,4-1-4-1
BPBPPB,BBBBPBBBBP,BPPPBP,4-1-4-1
PBBPBB,PPPPBPPPPB,BPPBBP,4-1-4-1
BPBPBB,PPPPBPPPPB,PBPPPP,4-1-4-1
PBPPBP,BBBBPBBBBP,PPBPPB,4-1-4-1
PPBPBP,PPPPBPPPPB,BPBPBB,4-1-4-1
BBBBPB,PPPPBPPPPB,BBBBPP,4-1-4-1
BBBBBB,BBBBPBBBBP,PPPBPB,4-1-4-1
PBBBPB,BBBBPBBBBP,PBPBBB,4-1-4-1
PBBBPB,BBBBPBBBBP,PBPBBB,4-1-4-1
BPPPPP,PPPPBPPPPB,BBPPBP,4-1-4-1
PBPPBP,BBBBPBBBBP,BPPPPP,4-1-4-1
PBPBPB,BBBBPBBBBP,PBBPPP,4-1-4-1
BBBBPB,PPPPBPPPPB,PPPPPP,4-1-4-1
BPBPBP,BBBBPBBBBP,PPPPPB,4-1-4-1
PBBPBP,BBBBPBBBBP,BBBPPB,4-1-4-1
PBPBPB,PPPPBPPPPB,BPBBBP,4-1-4-1
BBBBPP,BBBBPBBBBP,PPBPBB,4-1-4-1
PBPBBB,PPPPBPPPPB,BBBBBP,4-1-4-1
BPPBPP,BBBBPBBBBP,BPPPPP,4-1-4-1
BBPBPP,PPPPBPPPPB,BBPPBB,4-1-4-1
BPBBPB,PPPPBPPPPB,BBPPBB,4-1-4-1
BPBBBP,BBBBPBBBBP,PBPPPP,4-1-4-1
BBPBPP,BBBBPBBBBP,PPBPBB,4-1-4-1
BBPBBB,PPPPBPPPPB,BPPBPB,4-1-4-1
PPPPPP,PPPPBPPPPB,PBPPBB,4-1-4-1
BBPBPP,BBBBPBBBBP,PPBBPB,4-1-4-1
PPPBPP,BBBBPBBBBP,BBBPPP,4-1-4-1
BPBPPP,BBBBPBBBBP,BBBBPB,4-1-4-1
BPBBBB,PPPPBPPPPB,PPBBPP,4-1-4-1
BBPPPP,BBBBPBBBBP,BPPPPP,4-1-4-1
BPBPPP,BBBBPBBBBP,BPPPPB,4-1-4-1
PBPBPP,BBBBPBBBBP,BBBBBP,4-1-4-1
PBPPPB,PPPPBPPPPB,PPBPBB,4-1-4-1
PBBBBB,PPPPBPPPPB,PPBBBP,4-1-4-1
BPBPBP,PPPPBPPPPB,BBBPPP,4-1-4-1
BPPBPB,PPPPBPPPPB,PBBBPB,4-1-4-1
PPBPPP,BBBBPBBBBP,PBBBBB,4-1-4-1
BBBBBP,PPPPBPPPPB,BBBBPB,4-1-4-1
BPPPBB,BBBBPBBBBP,BBBBPP,4-1-4-1
BBPBBB,BBBBPBBBBP,PBBPPB,4-1-4-1
BPPBBP,PPPPBPPPPB,PBBBPP,4-1-4-1
BPPPPP,PPPPBPPPPB,PPPPPB,4-1-4-1
BPBPPB,PPPPBPPPPB,PPBPBP,4-1-4-1
BBBPBP,PPPPBPPPPB,PBBPPP,4-1-4-1
PPBPPP,PPPPBPPPPB,PPPPPP,4-1-4-1
PPBPPP,PPPPBPPPPB,PPPPPP,4-1-4-1
PBBPBP,BBBBPBBBBP,PBBPPP,4-1-4-1
BBBPPB,BBBBPBBBBP,BPBPPP,4-1-4-1
BPPPBB,BBBBPBBBBP,BBBPPB,4-1-4-1
BPPPBB,BBBBPBBBBP,BBBPPB,4-1-4-1
BBPBBB,BBBBPBBBBP,BPPBPB,4-1-4-1
PBBBPP,BBBBPBBBBP,PBPPPP,4-1-4-1
BPPPPP,PPPPBPPPPB,PBPBBP,4-1-4-1
BPBPBB,BBBBPBBBBP,BPBBPP,4-1-4-1
BPBPBB,BBBBPBBBBP,BPBBPP,4-1-4-1
BBBBPP,PPPPBPPPPB,BBPBBB,4-1-4-1
BBBBPP,PPPPBPPPPB,BBPBBB,4-1-4-1
BPPPBP,BBBBPBBBBP,BBPBBB,4-1-4-1
PBBPBP,BBBBPBBBBP,BPBBBB,4-1-4-1
PPPBBP,BBBBPBBBBP,PPBBPP,4-1-4-1
PPPBBP,BBBBPBBBBP,PPBBPP,4-1-4-1
PBBBPP,PPPPBPPPPB,BBBBPB,4-1-4-1
PBBBPP,PPPPBPPPPB,BBBBPB,4-1-4-1
BPBBBP,PPPPBPPPPB,PBPPPP,4-1-4-1
BPBBBP,PPPPBPPPPB,PBPPPP,4-1-4-1
PBBBBB,BBBBPBBBBP,BBBPBB,4-1-4-1
PBBPBP,PPPPBPPPPB,BBPPBP,4-1-4-1
PPBPBB,BBBBPBBBBP,BPPBPP,4-1-4-1
PPPBBB,PPPPBPPPPB,BPBPPP,4-1-4-1
PBBPBP,PPPPBPPPPB,BBBBBB,4-1-4-1
PBBBPP,PPPPBPPPPB,BPPPPB,4-1-4-1
PBBBPP,PPPPBPPPPB,BPPPPB,4-1-4-1
PBBBPP,PPPPBPPPPB,BPPPPB,4-1-4-1
PBPPBP,BBBBPBBBBP,PBPPPB,4-1-4-1
PPBBBP,BBBBPBBBBP,BPBPPB,4-1-4-1
PBPPPP,BBBBPBBBBP,PBPPBP,4-1-4-1
PBPBBP,PPPPBPPPPB,BBPBBP,4-1-4-1
BPPPBP,BBBBPBBBBP,PPBPBP,4-1-4-1
PPPBPP,BBBBPBBBBP,BPBBBP,4-1-4-1
PPPBPP,BBBBPBBBBP,BPBBBP,4-1-4-1
PBPPBP,BBBBPBBBBP,BPBBBB,4-1-4-1
PBPPBP,BBBBPBBBBP,BPBBBB,4-1-4-1
BPPBPP,PPPPBPPPPB,BBBPPP,4-1-4-1
BPPPBB,BBBBPBBBBP,BBBBPP,4-1-4-1
PBBPPP,PPPPBPPPPB,BPPBPB,4-1-4-1
BPPPPP,BBBBPBBBBP,BPBPPB,4-1-4-1
PPBBPB,BBBBPBBBBP,PBBPPP,4-1-4-1
BPBBPP,BBBBPBBBBP,PPBPBB,4-1-4-1
PBBBPB,PPPPBPPPPB,BBBBBP,4-1-4-1
PBBPBP,PPPPBPPPPB,BBPPBP,4-1-4-1
BPPPBB,PPPPBPPPPB,PBBPBP,4-1-4-1
BPPPBB,PPPPBPPPPB,PBBPBP,4-1-4-1
PBPBPB,BBBBPBBBBP,BBPPBP,4-1-4-1
BBBBBP,PPPPBPPPPB,PPBPPP,4-1-4-1
BPPBBP,PPPPBPPPPB,BBBPPP,4-1-4-1
BPPBBP,PPPPBPPPPB,BBBPPP,4-1-4-1
BBBPBB,PPPPBPPPPB,PBPBPP,4-1-4-1
BBBPBB,PPPPBPPPPB,PBPBPP,4-1-4-1
PBBPPP,PPPPBPPPPB,BBPBBP,4-1-4-1
PPPPPP,BBBBPBBBBP,PBBBBP,4-1-4-1
PBBPBB,BBBBPBBBBP,BPBPBB,4-1-4-1
PPBPBP,PPPPBPPPPB,PPPPPB,4-1-4-1
BPBPBB,BBBBPBBBBP,PBBPPP,4-1-4-1
BBPPBP,BBBBPBBBBP,PBPBPP,4-1-4-1
PPPPPP,BBBBPBBBBP,PBBPPP,4-1-4-1
BPPPBP,PPPPBPPPPB,BPPBBB,4-1-4-1
PPBPPB,BBBBPBBBBP,PBBPBP,4-1-4-1
PBPPBB,BBBBPBBBBP,BBPBPB,4-1-4-1
BBBPBP,PPPPBPPPPB,PBPBBP,4-1-4-1
BBBBPP,PPPPBPPPPB,PBPPPB,4-1-4-1
PPPBPB,BBBBPBBBBP,PPPBBB,4-1-4-1
BPBBBP,BBBBPBBBBP,PBBPBB,4-1-4-1
BPBBBP,BBBBPBBBBP,PBBPBB,4-1-4-1
PPPPBP,PPPPBPPPPB,PBPBBB,4-1-4-1
BPBBPB,PPPPBPPPPB,PBPBBB,4-1-4-1
BBBPPB,PPPPBPPPPB,BPPPBP,4-1-4-1
PPBPPB,BBBBPBBBBP,PPBBBP,4-1-4-1
PPPBBB,BBBBPBBBBP,PPPBBP,4-1-4-1
PPBPBP,BBBBPBBBBP,BBBBBB,4-1-4-1
BBBPPP,PPPPBPPPPB,PBBPBP,4-1-4-1
BPPBBB,BBBBPBBBBP,BPPPPP,4-1-4-1
BPPBPB,PPPPBPPPPB,BBBBPB,4-1-4-1
PPPPPP,PPPPBPPPPB,PBBBPP,4-1-4-1
PPPPPP,PPPPBPPPPB,PBBBPP,4-1-4-1
