before,no_cut,after,length,structure
BPBPBP,PBPBPBPB,PPBPPP,8,PBP
BPBPPB,BPBPBP,BBBPBB,6,BPB
PBBPBB,BPBPBP,BBPPBP,6,BPB
BPPPPP,PBPBPB,BBPPBP,6,PBP
BPBBPP,PBPBPBPB,BPBBPB,8,PBP
PBPPBB,BPBPBP,BBBBPB,6,BPB
PBPBBB,BPBPBP,PBBBPP,6,BPB
BBPBBP,PBPBPBPB,BPPPBP,8,PBP
BPPBBB,BPBPBP,PBBPPP,6,BPB
BBBPBP,PBPBPB,BPPPBB,6,PBP
PBPPPB,BPBPBPBP,PBBBPB,8,BPB
PPPPBP,PBPBPB,BBBBBB,6,PBP
BBBBBP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBP,PBBBPB,6,BPB
BBPBPP,PBPBPB,BPBBBP,6,PBP
BBBPBB,BPBPBP,BBBPPP,6,BPB
PBBBBB,BPBPBPBP,PPBPBB,8,BPB
BBBBPB,BPBPBP,BBBPBB,6,BPB
PBBBBB,BPBPBP,PBBPPP,6,BPB
PPPPPP,PBPBPB,BPPBBP,6,PBP
PBBPPB,BPBPBPBP,PPBBPB,8,BPB
PPPPBP,PBPBPB,BPBPBB,6,PBP
BBPBPB,BPBPBP,BBBBBP,6,BPB
PPPBPB,BPBPBP,PBBPPB,6,BPB
BBBBPP,PBPBPB,BPPPBP,6,PBP
PBPPPB,BPBPBPBPBP,PBBBPP,10,BPB
BBPPBP,PBPBPBPB,PPBBPB,8,PBP
PBBPPB,BPBPBP,PBBBPB,6,BPB
PBPPBB,BPBPBP,BBBBPP,6,BPB
PBPBBP,PBPBPB,BBBPPP,6,PBP
PBBBPB,BPBPBP,PPBPBB,6,BPB
PPPBBB,BPBPBP,BBPPBP,6,BPB
PBPBBP,PBPBPBPB,BPBPBB,8,PBP
BPPPBB,BPBPBP,BBPPPB,6,BPB
BPBBPP,PBPBPB,PPPPPP,6,PBP
BPPPBB,BPBPBPBP,PPPBBP,8,BPB
BPBBBB,BPBPBP,PPBBPP,6,BPB
BPBPPP,PBPBPB,PPBBPP,6,PBP
PBPPBP,PBPBPB,BPPBPP,6,PBP
BPPBPP,PBPBPB,BPBPPB,6,PBP
PBBPBP,PBPBPB,BBPBPB,6,PBP
BPBPBB,BPBPBPBP,PBPBPP,8,BPB
BPBPPP,PBPBPB,BPBPBB,6,PBP
BPBBPB,BPBPBP,PBBBBP,6,BPB
BBBBPP,PBPBPBPB,BPPPBB,8,PBP
BPBPPB,BPBPBP,PBBPBB,6,BPB
BBPPPP,PBPBPB,BPBPBP,6,PBP
BBPBPB,BPBPBP,BBPBPB,6,BPB
PBBPBP,PBPBPB,BBBPPP,6,PBP
BPPPPB,BPBPBP,BBPPPB,6,BPB
BBBBPB,BPBPBP,PBBBBB,6,BPB
PPBBBB,BPBPBP,PBPPPB,6,BPB
PBBBBB,BPBPBPBP,PPPBPB,8,BPB
BPBPPP,PBPBPBPB,PPBBPP,8,PBP
PBPPPB,BPBPBPBPBPBP,PPPBBP,12,BPB
PPBBBP,PBPBPB,BPBBPB,6,PBP
BPBPBB,BPBPBPBP,PPPBPB,8,BPB
BBBPPP,PBPBPB,BPBPPP,6,PBP
PPBPBB,BPBPBPBP,PPPBBB,8,BPB
BBBBPP,PBPBPB,BPBPBB,6,PBP
BBPPPB,BPBPBP,PBPPBB,6,BPB
BPPPBB,BPBPBP,BBBBBP,6,BPB
PBBBPP,PBPBPB,BPPBPP,6,PBP
PBPPPP,PBPBPBPB,BPBBPB,8,PBP
BPBBPB,BPBPBP,BBBPPP,6,BPB
PPPPBP,PBPBPB,BPBPPB,6,PBP
BBPBPB,BPBPBP,PBBPPP,6,BPB
BBPPPP,PBPBPB,BPPBPP,6,PBP
PPPBPP,PBPBPB,BPPPBP,6,PBP
BBBPBB,BPBPBP,BBBPBP,6,BPB
BBBPPP,PBPBPBPBPBPBPB,PPPPPP,14,PBP
BPPPPB,BPBPBP,PPBBBP,6,BPB
BBPPPB,BPBPBP,PPPBBB,6,BPB
PBBPBP,PBPBPBPB,BPBBBP,8,PBP
PPBPPP,PBPBPB,PPBPPP,6,PBP
BBPBBB,BPBPBP,PBBBBP,6,BPB
PPBBPB,BPBPBPBP,BBBBPP,8,BPB
PPBBBP,PBPBPB,BPPPBB,6,PBP
PPBBBB,BPBPBP,PBBBPP,6,BPB
BPBBBP,PBPBPB,PPPBBP,6,PBP
PPBBBB,BPBPBPBP,PBPPBB,8,BPB
BBBPBP,PBPBPB,PPPPPP,6,PBP
BBPBPB,BPBPBP,BBPPPB,6,BPB
BPPPBB,BPBPBP,PPBBPB,6,BPB
PBBPBB,BPBPBP,PPPPBB,6,BPB
BPPPBP,PBPBPB,BBPPPP,6,PBP
BPPPBB,BPBPBP,PPBPBP,6,BPB
PBBPBB,BPBPBP,PBPPBP,6,BPB
BPPPPP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBPBPBP,BBBBPB,10,BPB
PBPPBP,PBPBPBPB,BBPBBB,8,PBP
BPPPBB,BPBPBPBP,BBPBBP,8,BPB
PBPPBB,BPBPBP,PBPPPP,6,BPB
PBBBPP,PBPBPB,PPBBBP,6,PBP
BPPPBP,PBPBPBPBPB,BBBBBP,10,PBP
PPPPBP,PBPBPB,BBBBBP,6,PBP
PBPBPB,BPBPBP,PPBBPP,6,BPB
BBBPPB,BPBPBP,BBPPPB,6,BPB
BBBPPP,PBPBPB,PPBBPP,6,PBP
PPBBPP,PBPBPB,BBBBPP,6,PBP
PBBPBP,PBPBPB,BPBBPB,6,PBP
PPBBBB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPBPB,PPBPPB,8,PBP
BBBBPB,BPBPBP,PBBPBB,6,BPB
PPPBBP,PBPBPB,BBPPPB,6,PBP
PBBBPP,PBPBPBPB,BBPBPP,8,PBP
BPPBPB,BPBPBP,PPBBBP,6,BPB
PBBPBP,PBPBPB,BBPBBP,6,PBP
BPPPPP,PBPBPB,PPPBPP,6,PBP
BBPBBB,BPBPBP,PBBBPB,6,BPB
PPBPBB,BPBPBPBP,PBPBBB,8,BPB
PPBBPB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPB,BBBPPB,6,PBP
BBBBBB,BPBPBP,PPPBBP,6,BPB
BPBBBB,BPBPBP,BBBBPB,6,BPB
BBPBBP,PBPBPB,PPBPBB,6,PBP
PBBBBP,PBPBPB,BBPPBB,6,PBP
BBPPBB,BPBPBPBP,BBBBBP,8,BPB
BPPBBP,PBPBPB,BBBBPB,6,PBP
PPBPBP,PBPBPB,BBPPBB,6,PBP
BBPBBP,PBPBPBPB,BBPBPP,8,PBP
BPPPPP,PBPBPBPB,BBBBPB,8,PBP
PPBPPP,PBPBPBPBPB,BPPPBB,10,PBP
PBBPBB,BPBPBP,BBBPPB,6,BPB
BBBBPP,PBPBPBPB,BBBPBP,8,PBP
BBPBPB,BPBPBP,PBPPPB,6,BPB
BPBBPP,PBPBPB,BBPPPP,6,PBP
PBBPBP,PBPBPBPBPB,BPPBBP,10,PBP
BBPBPB,BPBPBP,PPPPPP,6,BPB
BBPPPB,BPBPBP,BBBBPB,6,BPB
BBBBPB,BPBPBPBP,BBPBPB,8,BPB
BBPPPP,PBPBPBPB,BBBBPB,8,PBP
PPPBBP,PBPBPBPB,BPBBPP,8,PBP
BBPBPB,BPBPBP,PBBBBP,6,BPB
BBPPBB,BPBPBP,BBBBBP,6,BPB
BPBBPP,PBPBPB,BPBBBB,6,PBP
BBPBPB,BPBPBP,PPBBPP,6,BPB
PBBBPP,PBPBPB,PPBPPB,6,PBP
BBBBPP,PBPBPB,PPBBPP,6,PBP
BBBBPP,PBPBPB,PPBBPP,6,PBP
PBBBBP,PBPBPB,BBBBPP,6,PBP
BBBBBP,PBPBPB,BBBPBP,6,PBP
BBBPBB,BPBPBP,PBBPPP,6,BPB
PPBPPB,BPBPBP,PPPBPB,6,BPB
BBBPPB,BPBPBP,PPPPBB,6,BPB
BPPBBP,PBPBPB,PPPBPB,6,PBP
BBBBBB,BPBPBP,PPPPBP,6,BPB
BBPPBP,PBPBPB,PPBPPP,6,PBP
BPBPBP,PBPBPB,BBBBBB,6,PBP
PPBPPP,PBPBPB,BBPBBB,6,PBP
BBPPBB,BPBPBP,BBBPBB,6,BPB
PPPPPB,BPBPBP,PBPPPP,6,BPB
PPPPBB,BPBPBPBP,PPPBBP,8,BPB
BBBBPP,PBPBPB,BBBBBB,6,PBP
BPBBPB,BPBPBPBP,PBBBPP,8,BPB
PPPPBB,BPBPBPBP,PBBBBP,8,BPB
BPBBPB,BPBPBP,PBPPPB,6,BPB
PPBPPB,BPBPBP,PPBPBB,6,BPB
BBPBBB,BPBPBP,PPPBPP,6,BPB
BPPPBB,BPBPBP,BBBBPB,6,BPB
BPPBPB,BPBPBPBP,BBPBBB,8,BPB
PBPBBB,BPBPBP,PPBPPP,6,BPB
PPBPPB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPB,PPPBPP,6,PBP
PBPBPB,BPBPBP,PBPPBP,6,BPB
PBPBPP,PBPBPB,BBPBBP,6,PBP
BBPBBB,BPBPBP,PBBBPP,6,BPB
BPPPPB,BPBPBP,BBPPBP,6,BPB
BPPBPB,BPBPBP,PBPPPB,6,BPB
PBBBBP,PBPBPBPB,BBPBPP,8,PBP
BBPBPB,BPBPBP,PPPBBP,6,BPB
BBBBBB,BPBPBP,PBBPPB,6,BPB
PBBBBP,PBPBPB,BBPPPB,6,PBP
BBBBBP,PBPBPB,PPBBBB,6,PBP
BBPBPB,BPBPBP,PPPPBP,6,BPB
BBBPPB,BPBPBP,BBPBPB,6,BPB
BBPBBB,BPBPBP,BBPPBB,6,BPB
BPPPBB,BPBPBP,PBBBBB,6,BPB
BPBPPP,PBPBPBPB,BBPPBP,8,PBP
BBBBBP,PBPBPB,BBPBBB,6,PBP
BBBPBP,PBPBPB,BBBBPB,6,PBP
BPBBBB,BPBPBPBP,PPPBPB,8,BPB
BPPBBP,PBPBPB,PPPPBP,6,PBP
BPBPPP,PBPBPB,BPBPBB,6,PBP
PPBBPP,PBPBPB,BBBBBB,6,PBP
PBBBPP,PBPBPB,PPPBPB,6,PBP
PBBPPB,BPBPBP,PPPPBB,6,BPB
BBBBBB,BPBPBP,PPPBPB,6,BPB
BBBPBP,PBPBPB,BBBBPB,6,PBP
BPBBBB,BPBPBP,BBPPBP,6,BPB
PPBBBB,BPBPBP,BBBBPB,6,BPB
PBPPPP,PBPBPB,BPPBPP,6,PBP
BBPPBP,PBPBPB,PPBPPB,6,PBP
PBPBBP,PBPBPB,BBBBBB,6,PBP
PBPBBB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPBPB,BPBPBP,8,PBP
PBPBPB,BPBPBPBP,PPPBBB,8,BPB
BBBBBB,BPBPBP,BBBPBP,6,BPB
BPBPBB,BPBPBPBP,PBBBPP,8,BPB
BBPBPB,BPBPBP,PPBPPB,6,BPB
BPBPBB,BPBPBPBP,BBPBBB,8,BPB
PPPBPP,PBPBPB,PPPBPP,6,PBP
PBBBPB,BPBPBPBP,BBPPPB,8,BPB
PPPPBB,BPBPBP,BBBBBB,6,BPB
PPPBPP,PBPBPB,BPBBBB,6,PBP
PBBBBB,BPBPBPBP,BBBPPP,8,BPB
PBBBBB,BPBPBP,PBBBBP,6,BPB
BBPPPP,PBPBPB,PPPPPP,6,PBP
BBBBBP,PBPBPB,BBBPPB,6,PBP
PPBBBP,PBPBPB,PPBBPB,6,PBP
PBPBPP,PBPBPB,PPBPBB,6,PBP
BPPBBP,PBPBPBPB,BBBPBB,8,PBP
BBBPBP,PBPBPB,PPPBPP,6,PBP
PPBPBB,BPBPBP,PPBBPB,6,BPB
PBPPPB,BPBPBPBP,PPBBBB,8,BPB
BBPBPP,PBPBPB,BBBBBB,6,PBP
BBPPPB,BPBPBPBP,BBBBBP,8,BPB
BPPBBP,PBPBPBPB,BPBPPB,8,PBP
BBPBBB,BPBPBP,PPBPBB,6,BPB
PBBPPP,PBPBPB,BBPBPB,6,PBP
BPBBBP,PBPBPB,BBPBPB,6,PBP
BBBBPB,BPBPBP,PPBBPP,6,BPB
PPBPBP,PBPBPB,BPPBPP,6,PBP
PPBPPB,BPBPBP,PPPBBP,6,BPB
PPBPPB,BPBPBP,PBBPPP,6,BPB
BBBBBB,BPBPBP,BBPBPP,6,BPB
BBPBBP,PBPBPB,PPBBBB,6,PBP
PPPPPB,BPBPBP,BBPPPB,6,BPB
BPBPPB,BPBPBP,BBPBBP,6,BPB
PBBBBB,BPBPBP,PPBBPP,6,BPB
PPBPPP,PBPBPB,BBPPBB,6,PBP
BBPBBB,BPBPBPBP,PPBPBB,8,BPB
PPBBBB,BPBPBP,PPPBBP,6,BPB
BPBBBP,PBPBPB,BBBPBP,6,PBP
BBPPBP,PBPBPBPB,PPBBPB,8,PBP
BPBPPB,BPBPBP,PBPPBB,6,BPB
PBPPBP,PBPBPB,PPPPPP,6,PBP
PPPPBP,PBPBPB,PPBPBB,6,PBP
PBBPPP,PBPBPB,BBBBPB,6,PBP
BPPPBP,PBPBPB,BPPPBB,6,PBP
PBBBPB,BPBPBPBPBPBPBP,PBBBBP,14,BPB
BBBBBP,PBPBPBPB,PPBBBB,8,PBP
PPBPBB,BPBPBP,BBPBBB,6,BPB
PPBBBP,PBPBPB,BPBPBB,6,PBP
BBPBPB,BPBPBP,PPBPBP,6,BPB
PBPBPP,PBPBPB,PPBPBP,6,PBP
BPBPBP,PBPBPB,PPPBPB,6,PBP
PBBPPB,BPBPBP,BBBBPB,6,BPB
PBPBBB,BPBPBP,PBPPPP,6,BPB
BBBBBB,BPBPBP,BBBPBP,6,BPB
BPBPBB,BPBPBP,PPPBPP,6,BPB
PPBPPP,PBPBPB,BBPPPB,6,PBP
PBPPBP,PBPBPB,PPBPPP,6,PBP
BPPBPP,PBPBPB,BBPBBP,6,PBP
BPBPPP,PBPBPB,PPPBPB,6,PBP
BBPPPP,PBPBPB,BBBBPP,6,PBP
PPPBBB,BPBPBP,PPBBPB,6,BPB
PBPPPB,BPBPBP,PPPBBP,6,BPB
PPPPBB,BPBPBPBP,PPBPPP,8,BPB
BBBBPB,BPBPBP,PPBBPP,6,BPB
BBPPPP,PBPBPB,BPPBBB,6,PBP
PBPBBP,PBPBPB,BBPBPB,6,PBP
BPBPBB,BPBPBPBPBP,PBPPBP,10,BPB
BBBBPB,BPBPBP,PPBPBP,6,BPB
PBPBPP,PBPBPB,BBBPPB,6,PBP
PPBBBB,BPBPBP,PBBBBB,6,BPB
PBPPPP,PBPBPB,PPBPBB,6,PBP
BBBBBB,BPBPBP,PPBPPB,6,BPB
PBBPBB,BPBPBP,PPPPPP,6,BPB
PPPBPB,BPBPBP,PBBBPP,6,BPB
BPPPPB,BPBPBPBP,PPBPBB,8,BPB
PPBBPP,PBPBPB,BBPBBB,6,PBP
PBPBPP,PBPBPB,BPPPPB,6,PBP
PPBPBB,BPBPBP,BBPPPP,6,BPB
PBBPPB,BPBPBPBP,PBBPBB,8,BPB
BBBBBB,BPBPBP,BBBBPB,6,BPB
PBPBBP,PBPBPB,BPPBBP,6,PBP
BPBPPB,BPBPBP,PBPPPP,6,BPB
PBPPPP,PBPBPBPB,BBBPBB,8,PBP
PBBPPB,BPBPBPBP,PPBBPB,8,BPB
BPPPBP,PBPBPBPB,BPPBBP,8,PBP
PBBPPB,BPBPBP,PBBBPP,6,BPB
PBBPBB,BPBPBPBP,PPPBPB,8,BPB
PBBBBP,PBPBPBPB,BBPBBP,8,PBP
BPPPPB,BPBPBP,BBPPPB,6,BPB
PBPPPB,BPBPBP,PPPPBB,6,BPB
PBBBBP,PBPBPB,PPBBBP,6,PBP
BPBPPP,PBPBPB,BPPPBB,6,PBP
BBPPPP,PBPBPB,PPPPBB,6,PBP
BPBBPB,BPBPBPBPBP,PPBPPP,10,BPB
BBBBPP,PBPBPB,BBBPBB,6,PBP
PPPPBB,BPBPBPBP,PBBPPP,8,BPB
BBBBPP,PBPBPB,PPBBPB,6,PBP
PPPPBB,BPBPBP,PBPBPP,6,BPB
BBPBBP,PBPBPB,BPBBPP,6,PBP
BBPPPP,PBPBPB,BBBPBB,6,PBP
BBBPBB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPB,PPPBPB,6,PBP
PBBPBP,PBPBPB,BPPPPP,6,PBP
BPPPPP,PBPBPB,BPPPPP,6,PBP
PPPBBP,PBPBPB,PPPBPB,6,PBP
PBBBPP,PBPBPB,BBBPPP,6,PBP
BPPPPB,BPBPBPBP,PPPPPB,8,BPB
BPPPPP,PBPBPB,BBPPBP,6,PBP
PPPBPB,BPBPBPBPBP,PBBBPB,10,BPB
PBBBPP,PBPBPB,BPBPPP,6,PBP
BPPPPP,PBPBPB,BBBBBB,6,PBP
BBBPPP,PBPBPBPB,BPPPBB,8,PBP
BPBBPP,PBPBPB,BBPPPB,6,PBP
PPPPPP,PBPBPB,BPBPPP,6,PBP
PBBPPB,BPBPBP,BBBPPP,6,BPB
BBPBBP,PBPBPB,BPPPPB,6,PBP
BPBPPB,BPBPBP,PBBPPB,6,BPB
BPPBPB,BPBPBP,PPBPPB,6,BPB
BBBPBB,BPBPBP,BBBPBP,6,BPB
PBBPPB,BPBPBP,PPPBBB,6,BPB
PBBBPB,BPBPBP,PBBBBB,6,BPB
BPBBBP,PBPBPB,BBBBPB,6,PBP
PPBBPB,BPBPBP,PPBPPP,6,BPB
BPBPBB,BPBPBP,PBBBBP,6,BPB
PPBPPP,PBPBPBPB,BBBPPP,8,PBP
PPBBPB,BPBPBP,PPBPPP,6,BPB
PPPBPP,PBPBPB,BPBPBB,6,PBP
BBPBPB,BPBPBP,BBPPBB,6,BPB
PPPBBB,BPBPBP,PPBPPB,6,BPB
BPBPBP,PBPBPB,BPBPBB,6,PBP
PBBBBP,PBPBPB,BBPPBP,6,PBP
PBBBPB,BPBPBP,BBBBPP,6,BPB
BBBBPB,BPBPBPBP,PPPPBB,8,BPB
PBPBBB,BPBPBP,PBBPPP,6,BPB
BBPPPP,PBPBPB,BBPBBP,6,PBP
PPPPPB,BPBPBP,PBBPPP,6,BPB
BPBBBB,BPBPBP,PPBBBP,6,BPB
PBBBPP,PBPBPB,BPPBPB,6,PBP
BPPBBB,BPBPBP,PPPPBP,6,BPB
PPPPPB,BPBPBP,PPPPPB,6,BPB
PBBPBP,PBPBPBPBPB,BPBBBB,10,PBP
PPBPPP,PBPBPB,BBBBPP,6,PBP
BBBPPP,PBPBPB,BBPBBP,6,PBP
PBBPPB,BPBPBP,PPBBBB,6,BPB
BPBBBB,BPBPBP,PBPBBB,6,BPB
BBBBPB,BPBPBP,PBPBPB,6,BPB
PPPPPB,BPBPBP,PPBPBP,6,BPB
PBPBPP,PBPBPBPB,BBBPPB,8,PBP
BBPPPP,PBPBPB,BPBPPP,6,PBP
BPPBPB,BPBPBPBP,BBPBBB,8,BPB
PBPBBB,BPBPBPBP,PPBBBP,8,BPB
BPPBPP,PBPBPB,PPBBBB,6,PBP
PBBBBP,PBPBPB,PPBBBB,6,PBP
PPPBPB,BPBPBP,PPBPBB,6,BPB
BPBPPP,PBPBPB,BPBBBB,6,PBP
PBBBBP,PBPBPBPBPB,PPPBPP,10,PBP
PPBPPB,BPBPBP,PPBPBP,6,BPB
PBPBPP,PBPBPB,BPPBPP,6,PBP
PBPPPP,PBPBPB,BPBPPB,6,PBP
BBBBPP,PBPBPBPB,BPBBPP,8,PBP
PPPBBP,PBPBPB,PPPBBB,6,PBP
BPBBBP,PBPBPB,BBBBBB,6,PBP
BBPBBB,BPBPBP,BBBBBB,6,BPB
BPPBPP,PBPBPB,PPPBBB,6,PBP
PBBPPB,BPBPBP,PBPBPB,6,BPB
PBBBBP,PBPBPBPB,PPPPBP,8,PBP
BPBPPP,PBPBPBPB,PPBPPB,8,PBP
PBBBBB,BPBPBP,PPBBBP,6,BPB
BPBPPB,BPBPBP,PBBPBP,6,BPB
BBBBPP,PBPBPB,BPPBBB,6,PBP
PBPPBB,BPBPBP,BBPBPB,6,BPB
PBPPPP,PBPBPB,PPPPPP,6,PBP
PPBPPP,PBPBPB,BPPPPP,6,PBP
BBPBBP,PBPBPB,BPBBPP,6,PBP
BBBBBB,BPBPBP,PPBPBB,6,BPB
PPPBBP,PBPBPB,BBBPBP,6,PBP
PPPPBP,PBPBPB,PPBBPB,6,PBP
PBBBBP,PBPBPB,BPPBBB,6,PBP
BBPBBP,PBPBPB,BPPBPB,6,PBP
PPBPBB,BPBPBP,PPPPBB,6,BPB
BPPBPB,BPBPBP,PPPPPB,6,BPB
BPBBPP,PBPBPB,BPBBBB,6,PBP
PBPBPP,PBPBPBPB,BBBBPB,8,PBP
BPPBBP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBP,BBBPBP,6,BPB
BPBBPP,PBPBPB,BBPBPP,6,PBP
BBBBBB,BPBPBP,BBPPPB,6,BPB
BBBBBP,PBPBPB,BBBBBP,6,PBP
PBBBBB,BPBPBP,PPBPPP,6,BPB
BBPPPP,PBPBPB,PPBBBB,6,PBP
PPPBPP,PBPBPB,PPBPPP,6,PBP
BPBBBB,BPBPBPBPBP,PPPPPB,10,BPB
BBPPBB,BPBPBP,PPPPBB,6,BPB
PPBPBB,BPBPBP,BBPPPP,6,BPB
BBPPBB,BPBPBP,PPBBPP,6,BPB
PPPPBB,BPBPBP,PBPBBB,6,BPB
PBBBPP,PBPBPB,BBBPBB,6,PBP
PBPPPP,PBPBPB,BBBPPB,6,PBP
PPBBPB,BPBPBP,PPBBBB,6,BPB
PBBBBB,BPBPBP,PBPPPB,6,BPB
BPBPPB,BPBPBP,PPPBPB,6,BPB
PBBBPP,PBPBPB,PPBPBP,6,PBP
BBBBBB,BPBPBPBP,PPPBBB,8,BPB
PBBPPB,BPBPBP,PBBBPP,6,BPB
BPPPBP,PBPBPBPB,BPPPBB,8,PBP
BBPPBP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBPBPBP,PPPPBB,10,BPB
BPPPBB,BPBPBPBP,PPBBPB,8,BPB
PPPPPP,PBPBPB,BPBPBB,6,PBP
PBPPPB,BPBPBPBP,PBBPBP,8,BPB
BPBPPB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPB,BBPBPB,6,PBP
BPBPBB,BPBPBPBPBPBPBP,PBBPBP,14,BPB
BBBPBP,PBPBPB,PPPPPP,6,PBP
BBBPPB,BPBPBP,PBPPPB,6,BPB
BBPBPB,BPBPBP,PPPBPB,6,BPB
BPBBBB,BPBPBP,PBBPPP,6,BPB
BPPPBB,BPBPBP,BBBBPB,6,BPB
PPBBPB,BPBPBP,BBPPBB,6,BPB
BPPPPB,BPBPBP,PPBBBP,6,BPB
PBBPBB,BPBPBP,BBBPBB,6,BPB
PPBBPP,PBPBPB,PPPPPB,6,PBP
BBBBPB,BPBPBP,PPBPBP,6,BPB
PBPPPP,PBPBPBPB,PPPPBB,8,PBP
BBPPBP,PBPBPB,BBPPPP,6,PBP
BPPBBB,BPBPBP,BBPBBP,6,BPB
PPPPBB,BPBPBP,BBPPPB,6,BPB
PPBPBP,PBPBPB,BPBPPB,6,PBP
PPPBPB,BPBPBP,BBPPPB,6,BPB
PBBBBB,BPBPBP,PBPPPP,6,BPB
BPBPPB,BPBPBPBPBPBPBP,PBPPBB,14,BPB
PPBPPB,BPBPBP,PPPPPB,6,BPB
PBPBBB,BPBPBP,PBBPBB,6,BPB
BPPPBP,PBPBPB,BBBBPP,6,PBP
BBPBPB,BPBPBP,PBBBBP,6,BPB
PBPBBP,PBPBPB,BPBPBB,6,PBP
BBPBBP,PBPBPB,PPPPBB,6,PBP
PPPPBP,PBPBPBPB,PPPPPB,8,PBP
PBPPBP,PBPBPB,PPBPPP,6,PBP
BPPBBB,BPBPBP,PBPBBB,6,BPB
PPPPPB,BPBPBP,PPPBBB,6,BPB
PBBBPB,BPBPBP,PPBPPB,6,BPB
PPBPBB,BPBPBP,PPPPPB,6,BPB
BPBBPB,BPBPBP,PPPPBP,6,BPB
PBPBBP,PBPBPB,BPPPPB,6,PBP
PBPBBB,BPBPBP,BBBBBP,6,BPB
BPBBPB,BPBPBP,PBPBPP,6,BPB
BBBBPP,PBPBPBPB,PPBPPP,8,PBP
PBBBPB,BPBPBP,PBBPBP,6,BPB
PBPBBB,BPBPBPBPBPBP,PBBPPB,12,BPB
BBPPBP,PBPBPBPBPB,BPBPPB,10,PBP
BBBBPB,BPBPBP,BBPBBP,6,BPB
BPPBBP,PBPBPB,BBBPBP,6,PBP
PBBBBP,PBPBPBPB,PPBBPP,8,PBP
PPBPBB,BPBPBP,PBPPBP,6,BPB
BPBPBB,BPBPBP,PPPPPB,6,BPB
PPBBBB,BPBPBP,PBPPBP,6,BPB
BPBPPB,BPBPBP,PBBBPP,6,BPB
PPPPBB,BPBPBP,PBBBBP,6,BPB
BBBBPB,BPBPBP,PBBPPP,6,BPB
PPBPBB,BPBPBP,BBBBBB,6,BPB
PBBBBB,BPBPBP,BBBPBP,6,BPB
BBBPBB,BPBPBP,BBBPPB,6,BPB
PBBPBP,PBPBPB,BPBPBB,6,PBP
BPBBBB,BPBPBP,BBBBPP,6,BPB
PPBPPB,BPBPBPBP,BBPPPP,8,BPB
BPPBBB,BPBPBP,BBPBPP,6,BPB
PPPBPP,PBPBPB,BPBBPP,6,PBP
BBPBBB,BPBPBP,BBBBPP,6,BPB
PBBBBP,PBPBPBPB,BBPBPB,8,PBP
BPBPBB,BPBPBPBP,PPBPPP,8,BPB
PPPBBB,BPBPBP,BBBBBB,6,BPB
PPBBBB,BPBPBP,PPPBPB,6,BPB
BPBPPP,PBPBPB,PPBPBP,6,PBP
PBBPBB,BPBPBP,PBPBPP,6,BPB
PBPPPP,PBPBPB,BBBBPB,6,PBP
PBBPPP,PBPBPBPBPB,PPBPPP,10,PBP
PBBBPP,PBPBPB,BPBBBB,6,PBP
BBPBBB,BPBPBP,PPPPPP,6,BPB
PPBBPP,PBPBPB,BBBBPB,6,PBP
BBBPPB,BPBPBP,PPBPBB,6,BPB
PBPPPB,BPBPBP,PBPBBB,6,BPB
PPPBBB,BPBPBPBP,BBBBPP,8,BPB
PBPPBB,BPBPBP,PBBBPB,6,BPB
BBPBBP,PBPBPBPB,BPBPBB,8,PBP
BBBBBP,PBPBPBPB,PPBPPB,8,PBP
PPBBPP,PBPBPB,BBPPPP,6,PBP
BBPPPB,BPBPBP,PBPBBB,6,BPB
PBPPBP,PBPBPB,BBPPBP,6,PBP
PPPBBB,BPBPBP,BBPPPP,6,BPB
BPBBBP,PBPBPBPB,BBBPBP,8,PBP
PBPBBP,PBPBPB,BPBBBP,6,PBP
PBBBBP,PBPBPB,BBBBBB,6,PBP
BPPPPP,PBPBPB,PPBPBB,6,PBP
PPPPPB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPB,BBPPBP,6,PBP
BPBPPP,PBPBPBPB,PPPPBB,8,PBP
PBPPPB,BPBPBP,PBPBBB,6,BPB
PPPPPP,PBPBPBPB,PPPBBB,8,PBP
PPPBBB,BPBPBP,PBPPPB,6,BPB
BBPBPB,BPBPBP,PBBBBB,6,BPB
PPPPPP,PBPBPB,PPBPPB,6,PBP
PPPBBB,BPBPBP,PPPPBP,6,BPB
BBPPBP,PBPBPB,BPPBBP,6,PBP
PPBBBP,PBPBPB,PPBBPB,6,PBP
PPPPPP,PBPBPB,PPBPBP,6,PBP
PBBPPP,PBPBPBPBPB,BBPPBB,10,PBP
PPPBPP,PBPBPBPB,PPBPBB,8,PBP
PBBBBB,BPBPBPBP,PBBBBB,8,BPB
BBPBPB,BPBPBP,PBBBBP,6,BPB
PPBBBB,BPBPBP,PBPPBP,6,BPB
