before,dragon,after,length,color
BBBBBP,BBBBB,PPBBBB,5,B
BBBBPP,BBBBB,PPPBBB,5,B
BPPPBB,PPPPPP,BBBBPB,6,P
PBPPPP,BBBBBB,PBBBPP,6,B
PPPBPB,PPPPP,BBPPPB,5,P
BPPBPP,BBBBBBB,PBBBBB,7,B
BBBBBP,BBBBB,PBBBPP,5,B
PPPBBB,PPPPPP,BBBBBP,6,P
PPPPPP,BBBBB,PBBBBB,5,B
BBBBBP,BBBBB,PPBPPP,5,B
PBBBPP,BBBBB,PPPBPP,5,B
BBPPPB,PPPPP,BPBPPB,5,P
BBPBPP,BBBBBB,PPPPPB,6,B
BBBPPP,BBBBBBBBBB,PPPPPB,10,B
BBBBBB,PPPPP,BBPPPB,5,P
BBBPPB,PPPPP,BBBBPP,5,P
PPBBBB,PPPPPPP,BPBPPP,7,P
BBPBBP,BBBBBB,PPPPPB,6,B
BBBBBB,PPPPP,BPPPPB,5,P
BPBBPB,PPPPPP,BBBBBP,6,P
PPPPPP,BBBBB,PPPPBB,5,B
PPPBPB,PPPPP,BPBBPB,5,P
BPPBBB,PPPPP,BPPPBB,5,P
PPBBBB,PPPPPPP,BBBBBP,7,P
PPPPPP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BBBPBP,5,P
PBPBBB,PPPPPPPP,BPBBBP,8,P
PBBBBP,BBBBB,PPPPBB,5,B
PPPBBP,BBBBBB,PBBPPP,6,B
PPPBPP,BBBBB,PBBPPP,5,B
PBBPPP,BBBBB,PBPBPP,5,B
PBPPBB,PPPPPP,BPPBBB,6,P
PPBBBB,PPPPPP,BBBPPP,6,P
PPPBBB,PPPPP,BPPBPP,5,P
PBBBBP,BBBBBB,PPPPBP,6,B
BPPPBB,PPPPPP,BPBPBP,6,P
PBPPPP,BBBBBBBB,PBBBBB,8,B
BBBBBP,BBBBBB,PBBPPP,6,B
BPPBPB,PPPPP,BPPBBB,5,P
BBPPBB,PPPPPP,BPPPPP,6,P
PPPPPB,PPPPP,BBPPPP,5,P
BPPPPB,PPPPPPPP,BBBPBB,8,P
PPBBBP,BBBBBBB,PBPBPP,7,B
BPPPPB,PPPPP,BPPBPB,5,P
BPBBPP,BBBBB,PBPBBB,5,B
PBPBBB,PPPPPPPP,BBBBBP,8,P
PPPPPP,BBBBB,PPBPBB,5,B
BPPPBB,PPPPP,BBBPPB,5,P
BBPPBP,BBBBBB,PBPBBP,6,B
PBBPPB,PPPPPP,BBPPBB,6,P
PPBPPP,BBBBB,PBBBPB,5,B
BPPBBP,BBBBB,PPBBPP,5,B
BBPPBB,PPPPPPPPPP,BPBBBB,10,P
PPPPBP,BBBBBB,PBPPBP,6,B
PBPBBB,PPPPP,BPPPBP,5,P
BBBPPP,BBBBBBBB,PPPBBB,8,B
PBBBBP,BBBBBBBB,PPBBBB,8,B
BBBBPP,BBBBB,PPPPBB,5,B
BBBBPB,PPPPP,BBBBPP,5,P
BBBPPP,BBBBBB,PBBBPB,6,B
PPBBPP,BBBBB,PPBBBB,5,B
BBBBPP,BBBBB,PPBBBB,5,B
PPBBBB,PPPPPP,BBBBBP,6,P
PPPPPP,BBBBB,PPBPPB,5,B
BPPBBB,PPPPPP,BPPPPB,6,P
PBBPPP,BBBBBBB,PPBPPB,7,B
BBBBPP,BBBBBBBB,PPBPPB,8,B
PPPBBP,BBBBBBB,PPBBBP,7,B
BBPPPP,BBBBB,PBPPBP,5,B
BBPBBB,PPPPP,BBBBPP,5,P
BBPPBP,BBBBB,PBBBPP,5,B
BPPBBP,BBBBB,PBBBPP,5,B
PBBBPP,BBBBBBBB,PPPPPP,8,B
BBBBBB,PPPPPPPP,BPPPPP,8,P
BBPBBB,PPPPP,BBBBPP,5,P
BBPPBP,BBBBB,PBBBPP,5,B
BPPBBP,BBBBB,PBBBPP,5,B
PBBBPP,BBBBBBBB,PPPPPP,8,B
BBBBBB,PPPPPPPP,BPPPPP,8,P
PBPPPB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PPPBPP,5,B
PBBBBP,BBBBB,PPBBPB,5,B
PBBPBP,BBBBB,PPBPBP,5,B
BPPBPP,BBBBB,PPPBPB,5,B
BPPPBP,BBBBBBB,PPBPPP,7,B
BBBPPB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPPPP,BBPBBB,7,P
BPPBPP,BBBBBB,PPPBPB,6,B
BBPBBB,PPPPPPPPP,BPBPPP,9,P
BBPPPB,PPPPP,BBPBBP,5,P
BBPBPP,BBBBB,PPPPBP,5,B
PBBBPP,BBBBB,PPPBBB,5,B
PPBPBB,PPPPPPP,BBBPBP,7,P
PBPPBB,PPPPPPPP,BBPPBP,8,P
BBBPPP,BBBBB,PBPPPB,5,B
PBBBBP,BBBBB,PBBBPP,5,B
BBBPBB,PPPPPP,BBPBBB,6,P
BBPBPB,PPPPPP,BBBBPB,6,P
BBBBPB,PPPPP,BPPBBP,5,P
PPBPBB,PPPPPP,BBBBBP,6,P
PPPPPP,BBBBB,PBBPPB,5,B
BPBBPP,BBBBB,PBBBPP,5,B
PPPBPP,BBBBB,PBPBBP,5,B
PPPPBB,PPPPP,BPPBBB,5,P
PBBBBP,BBBBBBB,PPBBBB,7,B
PBPBPP,BBBBB,PPPPPP,5,B
PPPPBB,PPPPP,BPPBBB,5,P
PBBBBP,BBBBBBB,PPBBBB,7,B
PBPBPP,BBBBB,PPPPPP,5,B
BPBBBB,PPPPPP,BBPPPB,6,P
BBPBBP,BBBBB,PPBBBP,5,B
BBPPBB,PPPPPPP,BBBBBP,7,P
PPPPPP,BBBBB,PPBBPB,5,B
PPBBBP,BBBBBBBBB,PPPBBP,9,B
BPPPPB,PPPPP,BBBPBP,5,P
PBPBPB,PPPPP,BBPPBP,5,P
BBBPBP,BBBBB,PBPBPB,5,B
PPPBPP,BBBBBBBBB,PPPPBB,9,B
PPPPBB,PPPPP,BBBBPP,5,P
PPBBBB,PPPPPPPP,BBBPBB,8,P
PPBBBP,BBBBB,PBPBBB,5,B
BPPBPB,PPPPPP,BPPBBB,6,P
BPBPPB,PPPPP,BBBPBB,5,P
PBPPBB,PPPPPPP,BPBBBB,7,P
PPPPBP,BBBBB,PPBBPB,5,B
PPBBPP,BBBBBBBB,PPPPBP,8,B
PBBPBB,PPPPP,BBPBBP,5,P
PPPBPB,PPPPP,BPPBPP,5,P
PBBPBP,BBBBBB,PPBBBB,6,B
PBPBBB,PPPPPP,BPPPBB,6,P
PPPBBP,BBBBB,PBBBPP,5,B
BBPBBB,PPPPPPPPPP,BBPBPB,10,P
BBBPBP,BBBBB,PPBPBB,5,B
BPPBBB,PPPPP,BBPBPP,5,P
PBPPPP,BBBBBB,PBBBPP,6,B
BBPPPB,PPPPPPPP,BBBBPB,8,P
PBBBBP,BBBBBBB,PPPBPP,7,B
BBPPPB,PPPPP,BPPPBP,5,P
PPBPPB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PPBPPB,5,B
PPPBBP,BBBBBBB,PPPPPP,7,B
BBBBBB,PPPPPPPPP,BPPPBB,9,P
PPPBBP,BBBBBBBB,PPPPPB,8,B
BBBBBB,PPPPP,BPPBPP,5,P
PPBPPB,PPPPPPP,BPPBPP,7,P
PBPBPP,BBBBB,PPPBPB,5,B
BPBBBB,PPPPPP,BPPPPP,6,P
PPPPPB,PPPPPP,BPPBPP,6,P
PPBPPB,PPPPPPP,BBBBBB,7,P
PPPPPP,BBBBBBB,PPPBBB,7,B
PPPBBB,PPPPP,BPBBPP,5,P
PPBPBB,PPPPPP,BPPBBB,6,P
PPBBBB,PPPPPP,BBPPPP,6,P
PPPPBB,PPPPPPP,BBBBBB,7,P
PPPPPP,BBBBBB,PPPBBB,6,B
BBBPPP,BBBBBBB,PPPPPP,7,B
BBBBBB,PPPPPPP,BBPBBB,7,P
BPBBBB,PPPPPPPPPP,BBBBBB,10,P
PPPPPP,BBBBBBBBBBB,PPBPPP,11,B
BPPBPB,PPPPPP,BBPBBB,6,P
BPBBBB,PPPPP,BBPBBB,5,P
PPPBBP,BBBBB,PBPBBP,5,B
BBBBPB,PPPPP,BBBPPB,5,P
BPPBBB,PPPPP,BBPPPP,5,P
PBPBPP,BBBBBB,PBPBPB,6,B
PPBPBP,BBBBBBBBB,PBPPPP,9,B
BBBBPB,PPPPPPP,BPBPPP,7,P
BBBBBB,PPPPPPPP,BBPPBB,8,P
PBPBPB,PPPPPP,BBPPBB,6,P
BPPBBP,BBBBBB,PPBBBB,6,B
BBBBPP,BBBBBBB,PPPPPB,7,B
BBBBBB,PPPPP,BBBPPP,5,P
BPBBPB,PPPPPPPPPP,BBBBBB,10,P
PPPPPP,BBBBBB,PPPPBP,6,B
BBPPBP,BBBBB,PPPBBB,5,B
PPBPBP,BBBBB,PBBPBP,5,B
PBPPPB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBBBBBB,PBBBBB,10,B
BBBBBP,BBBBBB,PBBPPP,6,B
BBPBPP,BBBBB,PPBBPB,5,B
PPPPBP,BBBBB,PBBPPP,5,B
BBBPBB,PPPPPPPP,BBBBBB,8,P
PPPPPP,BBBBBB,PBBBBP,6,B
BPPBPP,BBBBBBB,PBPPPP,7,B
BBBBPB,PPPPPP,BBPBBP,6,P
BBPBPP,BBBBB,PPBBBP,5,B
BPBBBB,PPPPP,BBBPPP,5,P
PPPBBB,PPPPPP,BPBBPB,6,P
BBBBPP,BBBBBBBBB,PBBBBP,9,B
BBBPBP,BBBBBBB,PPBPBP,7,B
PPBPBP,BBBBBB,PPPPPP,6,B
BBBBBB,PPPPPP,BBPBPP,6,P
BBPBBP,BBBBB,PPBBPP,5,B
BBPPBP,BBBBBBBB,PPPPBB,8,B
PBBBBP,BBBBBB,PPBBPB,6,B
BBBBPB,PPPPP,BBBPPP,5,P
PPPBBB,PPPPPP,BBBBBP,6,P
PPPPPP,BBBBB,PBPPBP,5,B
BPBPPB,PPPPP,BBPBBP,5,P
PBBBPP,BBBBB,PBBBBP,5,B
BPBBPP,BBBBB,PPPBBB,5,B
BBBPPP,BBBBB,PBBBBP,5,B
BBBPPP,BBBBBB,PBPBPB,6,B
BPBBPB,PPPPPPPPPP,BBPBBP,10,P
BBPBBP,BBBBB,PPBBBB,5,B
PPPPPP,BBBBBB,PBPPPB,6,B
PPBPBB,PPPPP,BPPPBB,5,P
BBPBBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBB,PBBPBB,6,B
BBPBBP,BBBBBBBB,PPBBBB,8,B
PPPBBB,PPPPP,BBBPBB,5,P
PBBPPP,BBBBB,PBBBPP,5,B
BBPBBB,PPPPP,BBPPPP,5,P
PPBPPB,PPPPPP,BBPBPP,6,P
BPPPPB,PPPPP,BPBBPB,5,P
PBBPPB,PPPPP,BPPPBP,5,P
PBBPPB,PPPPPP,BPBBBB,6,P
BBPPBB,PPPPPPP,BPPPPP,7,P
PPBPPB,PPPPP,BBBPBP,5,P
BPBBPB,PPPPPPP,BBBPPB,7,P
PPBBBB,PPPPPP,BPPBBP,6,P
BBPBPB,PPPPP,BPPPPB,5,P
PPPBPP,BBBBBB,PBPBPB,6,B
BBPPBP,BBBBBBB,PBBBBB,7,B
BBBBBP,BBBBBBB,PPBBBB,7,B
BBBBPP,BBBBBB,PBBBBB,6,B
BBBBBP,BBBBB,PBBPPP,5,B
BBBPBB,PPPPPP,BPBBBB,6,P
PPPPBP,BBBBBB,PPBPPB,6,B
PBPPBP,BBBBB,PBBBPP,5,B
BBPBBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBB,PBBPPB,6,B
PPPBPB,PPPPPPP,BPPPPB,7,P
PBPPBB,PPPPPPP,BBBPBP,7,P
PBBBPB,PPPPP,BPBBPB,5,P
PBPBBP,BBBBBBBB,PPPPPB,8,B
BBBBBB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PPBBBB,5,B
BBBBPP,BBBBB,PBBPBB,5,B
PBBPBB,PPPPPPPPP,BPPPPP,9,P
PPPPPB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPPPP,BPBBBB,7,P
BBBBPB,PPPPPPPPP,BBBPPP,9,P
BPBBPP,BBBBB,PBBPPP,5,B
PBBBPP,BBBBBBBB,PPBBBP,8,B
PBBPBB,PPPPP,BPBPBP,5,P
BPBBBB,PPPPPPP,BPPPBB,7,P
PBPBPB,PPPPPP,BBPBBB,6,P
PPPBBP,BBBBBBBBB,PPPPBB,9,B
BPBPPP,BBBBBBBBBBBBBBB,PPBBBB,15,B
PPBBPP,BBBBBBBBBBBB,PPBPPB,12,B
PPPPBB,PPPPPPP,BBBBPB,7,P
PPPBBB,PPPPP,BPPBBP,5,P
BPPBPP,BBBBBB,PPBBPB,6,B
BPPBBP,BBBBBB,PPPBBB,6,B
BPBBBB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPP,BBPPBB,5,P
PBBBBP,BBBBBBB,PPPPBB,7,B
PBPPBB,PPPPPPP,BBBBPP,7,P
BPPPBB,PPPPP,BBBBPP,5,P
BBPBPP,BBBBB,PPBBBB,5,B
PPBBBB,PPPPPPP,BBBPBB,7,P
BPBBBB,PPPPPP,BBBBPP,6,P
PPBPBP,BBBBBBBBBB,PPPPPB,10,B
BBBBBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBBBB,PPPPBB,8,B
BPPBPP,BBBBBBB,PBBPPP,7,B
BPBBPP,BBBBBB,PBBBPP,6,B
BBBPPP,BBBBB,PPBBBB,5,B
BBBBPP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BPPBBB,5,P
PPPBPP,BBBBBBBBBBBBB,PPPBBP,13,B
PPPBBP,BBBBBBBB,PPPPPP,8,B
BBBBBB,PPPPPP,BPPBPB,6,P
PBBBPP,BBBBBBB,PBPBPB,7,B
PPPPBP,BBBBB,PBBBBP,5,B
PPPBBP,BBBBBBB,PBBBPB,7,B
PBPPBP,BBBBBBB,PPPPBB,7,B
PBBBPP,BBBBBB,PPBBBB,6,B
BBPPBB,PPPPPP,BBPPPB,6,P
PBPPPB,PPPPP,BBBBPB,5,P
PPBPPB,PPPPPPP,BPBPPB,7,P
PBBBPB,PPPPPPPPP,BBBBPP,9,P
PPPBPP,BBBBBB,PPBPBB,6,B
PBBPBB,PPPPPPPP,BBPPBB,8,P
BPPBBB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPP,BPBBPP,5,P
BPPBBP,BBBBB,PBBBPB,5,B
PBPPBB,PPPPPP,BPBPBB,6,P
PBBBPP,BBBBBBBBB,PBPBPP,9,B
PPBBBB,PPPPP,BPPPPP,5,P
BPPBBB,PPPPPP,BBBPPB,6,P
PPBBBP,BBBBBBB,PPBBPP,7,B
BBPPBP,BBBBB,PPPBBP,5,B
BBPPBP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPP,BPPBPB,6,P
PBBPBP,BBBBBB,PPBPBP,6,B
BPBBBB,PPPPP,BBBPPB,5,P
PBBPBP,BBBBBB,PPBPBP,6,B
BPBBBB,PPPPP,BBBPPB,5,P
PBBPPP,BBBBB,PPBBBB,5,B
PBBBBP,BBBBBBB,PBBBBP,7,B
BPPPBP,BBBBB,PPBBBP,5,B
BBPBBB,PPPPPP,BBBBBP,6,P
PPPPPP,BBBBB,PPPPBP,5,B
BBBPPP,BBBBBB,PBBPPB,6,B
BBBPPP,BBBBB,PPBPPB,5,B
BBBBPP,BBBBB,PPPPPP,5,B
BPBPPP,BBBBB,PPPBPB,5,B
BBPPBP,BBBBBB,PPBBPP,6,B
BBPBBP,BBBBBBBBB,PBPPPB,9,B
PBPPBP,BBBBB,PPBBPB,5,B
PPPBPB,PPPPPP,BBBPPB,6,P
BPPPPB,PPPPPP,BBBPBB,6,P
BBPPBB,PPPPPP,BPBBBP,6,P
BPBPPP,BBBBB,PPPBBB,5,B
PPPPPP,BBBBB,PPBBPB,5,B
BBPBBP,BBBBBBBBB,PBPPBP,9,B
PBBBBP,BBBBB,PPBBPP,5,B
PPBPPP,BBBBBBBB,PPPBBB,8,B
PPPPBB,PPPPPPPPPP,BPPBPP,10,P
PPBPPB,PPPPP,BBPPBP,5,P
PPPPBB,PPPPPPPPPP,BPPBPP,10,P
PPBPPB,PPPPP,BBPPBP,5,P
PBPPPB,PPPPPP,BBBBBP,6,P
PPPPPP,BBBBB,PPPPBB,5,B
BBBPPB,PPPPP,BBBBPP,5,P
BPPPPB,PPPPPP,BBPPPB,6,P
PBBBBP,BBBBB,PPPBPB,5,B
BPPBBP,BBBBBBBB,PBBPPP,8,B
PBPBBB,PPPPP,BBPPPP,5,P
BBBBPP,BBBBBBB,PBBBBB,7,B
BBBBBP,BBBBB,PPBPBB,5,B
BBPBBP,BBBBB,PBBBPP,5,B
BBBBPP,BBBBBBB,PBBBBB,7,B
BBBBBP,BBBBB,PPBPBB,5,B
BBPBBP,BBBBB,PBBBPP,5,B
PPBPBP,BBBBBBB,PPBBBP,7,B
PBPPPP,BBBBB,PBPBBP,5,B
PPBPPB,PPPPP,BBBBPP,5,P
BPPPPB,PPPPPP,BPPBBP,6,P
BBPBBP,BBBBBB,PBBPBB,6,B
PPPBPB,PPPPPP,BBBBPP,6,P
PBPBBB,PPPPPP,BPPPBB,6,P
PPPBPP,BBBBBBBB,PBBPBB,8,B
BBPBBP,BBBBBBB,PPBBBP,7,B
BPPBBB,PPPPP,BBPBPB,5,P
PPPPBP,BBBBB,PBBPPP,5,B
BPPPBP,BBBBBB,PBBBPB,6,B
PBBBBP,BBBBBBBBB,PPBBBB,9,B
BBBBPP,BBBBBBB,PPBBPP,7,B
BPPBBP,BBBBBB,PBBBPB,6,B
BPBBBB,PPPPPP,BBBPPB,6,P
PBPBPP,BBBBB,PBPBBB,5,B
PBPBPP,BBBBB,PBPBBB,5,B
PBPBBB,PPPPP,BBPPPB,5,P
BBBPPP,BBBBBBBB,PBBPBP,8,B
PPBPPB,PPPPPPP,BBBBPB,7,P
PPPBPP,BBBBBB,PPBPPB,6,B
BBPBPP,BBBBBBBB,PPBBBB,8,B
PBBBBP,BBBBB,PPBPPP,5,B
PPBBPP,BBBBB,PBBBPP,5,B
PBBPBP,BBBBBBB,PPPBPB,7,B
PBBPBP,BBBBBBBBBB,PPPPBB,10,B
BBPPPP,BBBBBB,PPPPPP,6,B
BBBBBB,PPPPPPPP,BBBBPB,8,P
PPBPBB,PPPPP,BPPPPB,5,P
PBBBBP,BBBBBB,PPBBPP,6,B
BBBBBP,BBBBB,PPBBPP,5,B
BPPBBB,PPPPPPP,BBBPBB,7,P
PBPPPP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPP,BBPBPB,6,P
BPBPPB,PPPPPPP,BPBBBB,7,P
PPPPBP,BBBBBB,PBPBBB,6,B
BBPPPB,PPPPP,BBBPBP,5,P
BPPPBP,BBBBB,PPPBBB,5,B
PBBPBP,BBBBB,PBBBPB,5,B
BPPBPP,BBBBBB,PBPBBP,6,B
BPBBPB,PPPPP,BPBBPP,5,P
BBPPPB,PPPPP,BPPBBP,5,P
PBPPPP,BBBBB,PBBBBP,5,B
BBBBPP,BBBBB,PBPBBP,5,B
BBPPPP,BBBBB,PBBPPP,5,B
PBPPPP,BBBBBB,PPPBBB,6,B
BBPBBB,PPPPPPPPPPPPPP,BBPBPP,14,P
PBBPBB,PPPPPPPP,BBPPBB,8,P
PPPPBP,BBBBBB,PBPBPP,6,B
PBPBBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BBPBBP,5,P
BPPBPP,BBBBB,PBBBPP,5,B
PBPBBB,PPPPPPP,BPPBBP,7,P
BBPPPP,BBBBBBBBB,PBBBPP,9,B
BBPBBB,PPPPP,BBPBBP,5,P
PBBPBB,PPPPP,BPBBBB,5,P
PBPPBB,PPPPPP,BPPBBB,6,P
PBPBBB,PPPPPP,BPPPPP,6,P
PPPPPB,PPPPPP,BPPBPB,6,P
PBBPPB,PPPPPPP,BBPBBP,7,P
BPPPBP,BBBBB,PPBBBB,5,B
BBBBPP,BBBBB,PBPPPB,5,B
PBBBPP,BBBBBBB,PBBBBP,7,B
PBPPBB,PPPPPPPPPPP,BPPPPB,11,P
PPBBPP,BBBBB,PBBPPB,5,B
BBBBPP,BBBBBBBBB,PPBPBB,9,B
PBBBBP,BBBBBB,PPPBBP,6,B
PBBPBP,BBBBBBB,PBPPBB,7,B
BBBBBB,PPPPP,BBBPPB,5,P
BPPPPB,PPPPP,BBBPBP,5,P
BPPPBB,PPPPPPPPPPP,BPPPPP,11,P
PPPPPB,PPPPP,BBBPPP,5,P
PPPBBB,PPPPP,BPPPPP,5,P
BBPPPB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPP,BBPPPB,5,P
BBBPBB,PPPPPP,BPPPPP,6,P
PPPPPB,PPPPPP,BBPPBB,6,P
BPBBPP,BBBBBBBB,PPPPPP,8,B
BBBBBB,PPPPPPP,BBPBBP,7,P
PBPPBP,BBBBB,PPPBBB,5,B
BPPBPP,BBBBB,PBBBPB,5,B
PBPBBB,PPPPPP,BBBBPP,6,P
PPBBBB,PPPPP,BPPPBB,5,P
BPPPBB,PPPPPPPP,BPPBBB,8,P
PBBPBP,BBBBBBB,PPPPBP,7,B
PBPPPB,PPPPP,BBPBBB,5,P
BBBBPB,PPPPPPP,BBBBBP,7,P
BBPBPB,PPPPP,BBBBPB,5,P
PPPPBP,BBBBB,PPBBBB,5,B
BBPPBP,BBBBBB,PPPPPP,6,B
BBBBBB,PPPPPP,BBBBPB,6,P
PBBPPB,PPPPP,BBBPPB,5,P
BBBPPB,PPPPPPPP,BBPPPP,8,P
BPBBBP,BBBBB,PBBPBB,5,B
PBPPBB,PPPPPPPPPP,BPPBBB,10,P
PPPBPP,BBBBB,PBPBBP,5,B
PBPPBB,PPPPP,BBPPBB,5,P
BBPPPP,BBBBBBB,PBBBPB,7,B
BBBBPP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PPPPBB,5,B
BBPPPP,BBBBBBB,PPPPPP,7,B
BBBBBB,PPPPPPPPP,BPBPPB,9,P
BPBBBB,PPPPPPP,BPPBBP,7,P
BBPBBB,PPPPPPP,BPBPBP,7,P
PPPBBP,BBBBBB,PPPPBB,6,B
BBPPPP,BBBBB,PPPBBP,5,B
PBBPBP,BBBBBBBB,PPBPPB,8,B
PBBPPP,BBBBB,PBPPBB,5,B
BPBBPP,BBBBBB,PBBPBP,6,B
BPBBPP,BBBBBB,PBBPBP,6,B
PBPBBP,BBBBBB,PPPBBB,6,B
BBBPPP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BPPBPB,5,P
PBPPPP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPP,BBBPPB,6,P
PBBBPP,BBBBB,PBBPPB,5,B
BPPPBB,PPPPPPPPP,BBPPBP,9,P
PBPBBP,BBBBBB,PBPBBB,6,B
BBPPBP,BBBBBBB,PBPPPB,7,B
PPPPBB,PPPPPP,BPPPBB,6,P
BBBPPP,BBBBBB,PBBPPB,6,B
PPPPBB,PPPPPP,BPPPBB,6,P
BBBPPP,BBBBBB,PBBPPB,6,B
PBBPBP,BBBBBBBBB,PBBPPP,9,B
PPBPPP,BBBBBBBB,PPBBBP,8,B
PPBBBB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PBPBBP,5,B
BBBPBB,PPPPPPP,BPPBBP,7,P
BBPPBB,PPPPPP,BPPBBB,6,P
PPPBPP,BBBBBBB,PPBBBB,7,B
BPPPBP,BBBBBB,PPBPPB,6,B
PPBBPB,PPPPPP,BPPBBP,6,P
PPPBPP,BBBBBB,PPPBBB,6,B
PPBBPB,PPPPPP,BPPBBP,6,P
PPPBPP,BBBBBB,PPPBBB,6,B
BBBPBB,PPPPPPP,BBPBBP,7,P
PPBBPP,BBBBBB,PBPBBB,6,B
BPBBBP,BBBBBB,PPPPPP,6,B
BBBBBB,PPPPPPPP,BBBPBB,8,P
PBPPPB,PPPPP,BBPBPP,5,P
BPBBPB,PPPPPPPP,BPBBBB,8,P
BBBBPP,BBBBBBBB,PPBPBP,8,B
BPBPPB,PPPPPPP,BPBBPP,7,P
BPPPPB,PPPPPP,BBBPPB,6,P
PBPBPP,BBBBB,PPPBBB,5,B
BPBBPP,BBBBBBB,PBBBPP,7,B
BPPPBP,BBBBBB,PPBPBB,6,B
PPBPBB,PPPPP,BPBPPP,5,P
BPPPBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BPBBBP,5,P
BBPBBB,PPPPPPPPP,BBPPPP,9,P
PPPPBB,PPPPPPP,BBPBPB,7,P
PBBPBP,BBBBBB,PPPPBP,6,B
BBPPBB,PPPPP,BBPPPP,5,P
PBPPBB,PPPPPPPPP,BBBBBP,9,P
PPPPPP,BBBBB,PPPBBB,5,B
PBPPBB,PPPPPPPPP,BBBBBP,9,P
PPPPPP,BBBBB,PPPBBB,5,B
PBPPPP,BBBBB,PPPBBP,5,B
PBBPPB,PPPPPPPP,BBPPPB,8,P
PBPPPP,BBBBB,PPPBBP,5,B
PBBPPB,PPPPPPPP,BBPPPB,8,P
BPBPPB,PPPPPP,BBPPPP,6,P
PPPBBP,BBBBB,PPPPPB,5,B
BPBPPB,PPPPP,BPBBBP,5,P
BBPPPB,PPPPPP,BBPPBB,6,P
PPBBPB,PPPPPPP,BBPPBB,7,P
BBPBBB,PPPPPP,BBBPBB,6,P
BBBBPB,PPPPP,BPPBPB,5,P
BPPBBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBBBB,PBPPBP,8,B
BBBBPB,PPPPP,BPPBPB,5,P
BPPBBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBBBB,PBPPBP,8,B
BPPBPP,BBBBB,PBBBPP,5,B
BBPPPP,BBBBBBBBB,PBBPPB,9,B
PBBPPB,PPPPP,BBBPBB,5,P
PBBBPB,PPPPPPP,BBPPPB,7,P
BBBBPP,BBBBBB,PPBPPP,6,B
PPBPPP,BBBBB,PBPPPP,5,B
PBPPPP,BBBBBB,PBBPBB,6,B
BBPPPB,PPPPPPPP,BBBBPB,8,P
BPBBPP,BBBBBBBBBB,PBBBBP,10,B
PBPPPP,BBBBB,PPBBBP,5,B
PBBBPP,BBBBB,PBBPPP,5,B
BPPPBB,PPPPP,BPPPBB,5,P
PPBPPP,BBBBB,PBBBBB,5,B
BBBBBP,BBBBB,PBPBPP,5,B
PPBBPB,PPPPPPP,BBBPPB,7,P
PBBBPP,BBBBB,PBPPBB,5,B
BBBPPP,BBBBB,PPPBBP,5,B
BBBPBB,PPPPP,BBPBBB,5,P
BPBBPP,BBBBBB,PBPPPP,6,B
PPBBBP,BBBBB,PBPBPP,5,B
BBBPBB,PPPPP,BBPBBB,5,P
BPBBPP,BBBBBB,PBPPPP,6,B
PPBBBP,BBBBB,PBPBPP,5,B
BBBPBB,PPPPP,BBPBBB,5,P
BPBBPP,BBBBBB,PBPPPP,6,B
PPBBBP,BBBBB,PBPBPP,5,B
BBPBBB,PPPPPPP,BPBBBB,7,P
BBPPBP,BBBBB,PPBPBB,5,B
BBPPBP,BBBBBB,PPBPBP,6,B
PPBPBP,BBBBBB,PBPBPP,6,B
BBPBBB,PPPPP,BPBBBP,5,P
PPPBPB,PPPPPPP,BPPPPB,7,P
PBBBBP,BBBBB,PBBPPB,5,B
PPBBPB,PPPPP,BBBPPP,5,P
PPPBBB,PPPPP,BBBBPB,5,P
PPPBPB,PPPPPP,BPBBBB,6,P
PPBBBB,PPPPPPP,BBBBPP,7,P
BPPBBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BBPPBP,5,P
PBBPPB,PPPPPP,BBPPBB,6,P
BBBPPP,BBBBBB,PPBBPP,6,B
PPBBPP,BBBBBB,PPBPPB,6,B
BPPPBP,BBBBBBB,PPPPPP,7,B
