before,triple,after,pattern
PPPPBB,BBBPPPBBB,PPPPPB,3-3-3
BBPPBP,PPPBBBPPP,PPBPBB,3-3-3
BBBBPB,PPPBBBPPP,BPPPPB,3-3-3
BPBPBP,PPPBBBPPP,PPPBPP,3-3-3
BPPBBB,BBBPPPBBB,BPPBBB,3-3-3
BPBBBP,BBBPPPBBB,BBBPBP,3-3-3
BPBBBP,PPPBBBPPP,PPBPPP,3-3-3
BBBPPP,PPPBBBPPP,BPPPPB,3-3-3
PBBPPP,PPPBBBPPP,BPBBBP,3-3-3
PBPPBB,PPPBBBPPP,BPPPBB,3-3-3
BBPBBP,PPPBBBPPP,PBBPBP,3-3-3
PBBPPB,BBBPPPBBB,BBPBBP,3-3-3
PPBBBP,BBBPPPBBB,BBBPBP,3-3-3
PBPPBB,PPPBBBPPP,PPPBBB,3-3-3
BBPBBP,PPPBBBPPP,PPBBPP,3-3-3
BPBBPP,PPPBBBPPP,BPBPPB,3-3-3
BPBPPB,BBBPPPBBB,PBPBPP,3-3-3
BPBPBB,PPPBBBPPP,BPBBBB,3-3-3
BPPPBP,BBBPPPBBB,BBBPBB,3-3-3
BPBBBB,BBBPPPBBB,BBBPBP,3-3-3
BPBBBP,BBBPPPBBB,BBPPPP,3-3-3
BPBBBB,BBBPPPBBB,BBBBBP,3-3-3
PPPPBB,PPPBBBPPP,PBBBBP,3-3-3
BBBBBP,PPPBBBPPP,BBPPBB,3-3-3
PBPBBP,BBBPPPBBB,PPBPPP,3-3-3
PPBBBP,BBBPPPBBB,BBBPPP,3-3-3
BPBBPP,PPPBBBPPP,PBPPBP,3-3-3
BPBPPP,PPPBBBPPP,BPBBPP,3-3-3
BPPPBP,BBBPPPBBB,BPPBBB,3-3-3
BBBPBB,BBBPPPBBB,BPBPPP,3-3-3
PBBPBP,PPPBBBPPP,PPPPBP,3-3-3
BPPPPP,PPPBBBPPP,PPPPBP,3-3-3
PPBPPB,BBBPPPBBB,BPPBBB,3-3-3
PPBPBB,BBBPPPBBB,BBBPPB,3-3-3
PBBPPP,PPPBBBPPP,PBPPPB,3-3-3
BPPBBB,BBBPPPBBB,BPPPBB,3-3-3
PPBPBP,BBBPPPBBB,BPPBPB,3-3-3
PPPBPB,BBBPPPBBB,BBPPBB,3-3-3
PPPPBP,PPPBBBPPP,PBBBPP,3-3-3
BBPPPB,PPPBBBPPP,PBPBBB,3-3-3
PBBBPP,PPPBBBPPP,BPBPBP,3-3-3
PPBPPB,PPPBBBPPP,PBPPBP,3-3-3
PPPBPP,PPPBBBPPP,PPBBBB,3-3-3
BPPPPB,PPPBBBPPP,PPBPPP,3-3-3
PBBPPB,BBBPPPBBB,BPPPPP,3-3-3
PBBPPB,BBBPPPBBB,BPPPPP,3-3-3
BBPPBB,PPPBBBPPP,PBBBBP,3-3-3
BBPPPB,PPPBBBPPP,BBBPBB,3-3-3
BPBBBP,PPPBBBPPP,PPPBBP,3-3-3
BPPBBP,BBBPPPBBB,PPBPPP,3-3-3
BBPPBP,BBBPPPBBB,BBPPBB,3-3-3
PPPPBP,PPPBBBPPP,PPBPBB,3-3-3
PBPPBP,BBBPPPBBB,BBPPPB,3-3-3
BBBBPP,BBBPPPBBB,PPBBBP,3-3-3
PBPPPB,BBBPPPBBB,BPBPPB,3-3-3
PPPPPP,PPPBBBPPP,PBBBBP,3-3-3
BPBBBP,BBBPPPBBB,PBBPBB,3-3-3
PBPPBB,PPPBBBPPP,BBBBBP,3-3-3
PPPPPB,PPPBBBPPP,PPPPPP,3-3-3
PPBPPB,BBBPPPBBB,PBBPPP,3-3-3
PBPBPP,PPPBBBPPP,PPBBPP,3-3-3
BPBBPB,PPPBBBPPP,BBBBBB,3-3-3
PPBPPB,PPPBBBPPP,BPPPPB,3-3-3
PBBPBP,PPPBBBPPP,BPPPPP,3-3-3
PPBBBP,BBBPPPBBB,PBPPBP,3-3-3
PPPPBB,PPPBBBPPP,PPPBBB,3-3-3
PPPBBP,PPPBBBPPP,BBPPPP,3-3-3
BBBBPB,BBBPPPBBB,PPPPPB,3-3-3
BBBPPP,PPPBBBPPP,PPBBBB,3-3-3
PBPPBP,PPPBBBPPP,PPPBBB,3-3-3
PPPPPB,BBBPPPBBB,BBBPBB,3-3-3
BPPPPB,BBBPPPBBB,BBPPBB,3-3-3
PPPBPP,PPPBBBPPP,PPBBPB,3-3-3
PBPBPP,BBBPPPBBB,PBBPBP,3-3-3
BBBBBP,BBBPPPBBB,PBBPBB,3-3-3
PBPBBP,PPPBBBPPP,PPBBPP,3-3-3
BPBBPB,PPPBBBPPP,PPBBPP,3-3-3
PPPPBB,PPPBBBPPP,BPPBPP,3-3-3
PPPPPP,PPPBBBPPP,PBBBPP,3-3-3
PPPBPB,BBBPPPBBB,PPPBBB,3-3-3
PBBPPP,PPPBBBPPP,PPPPPP,3-3-3
BBPPPB,PPPBBBPPP,PPPBPP,3-3-3
BPPBPB,BBBPPPBBB,BPPPPB,3-3-3
PPPBPP,PPPBBBPPP,BBBBBB,3-3-3
BPBBPB,BBBPPPBBB,PPPBBB,3-3-3
BPPBBP,BBBPPPBBB,PPBBPP,3-3-3
BBBBPB,BBBPPPBBB,BPBBPP,3-3-3
PBPBBB,BBBPPPBBB,BPBBPP,3-3-3
BBPBPP,PPPBBBPPP,PBPBPP,3-3-3
BBPPBB,BBBPPPBBB,PBBPBB,3-3-3
BBPBPP,BBBPPPBBB,PPBBPB,3-3-3
BBBPPP,PPPBBBPPP,PBPPPP,3-3-3
PBBBPB,PPPBBBPPP,BBPBBP,3-3-3
BBPBPP,PPPBBBPPP,BPBBPB,3-3-3
PPBBBB,BBBPPPBBB,BPPPPB,3-3-3
PBBBPP,PPPBBBPPP,BPPBBP,3-3-3
PPBPBP,BBBPPPBBB,PPPPPB,3-3-3
PBPBPB,BBBPPPBBB,PPBBBB,3-3-3
PPPPPP,PPPBBBPPP,BBPPBP,3-3-3
BPBBPP,PPPBBBPPP,BBBBBB,3-3-3
PBBBBB,BBBPPPBBB,BBPBBP,3-3-3
BBPBPB,BBBPPPBBB,BPPBBP,3-3-3
PBBBBP,PPPBBBPPP,PPPPPB,3-3-3
PBBBPP,BBBPPPBBB,BBBBPP,3-3-3
PPPBBP,BBBPPPBBB,BBPBBB,3-3-3
BBBPPP,PPPBBBPPP,BBBBBB,3-3-3
PBBBBP,BBBPPPBBB,BBPBBB,3-3-3
PBPPBB,BBBPPPBBB,PPBBPB,3-3-3
PPPPBB,BBBPPPBBB,BBPPPB,3-3-3
PBBPBP,PPPBBBPPP,PPPPBB,3-3-3
PPPPBB,BBBPPPBBB,PBBBPB,3-3-3
BPBBPP,BBBPPPBBB,PPPBBB,3-3-3
BBBPPP,PPPBBBPPP,PPPBPP,3-3-3
BPPPBP,BBBPPPBBB,BPPPPP,3-3-3
PPPPBB,BBBPPPBBB,BBPBBP,3-3-3
PPPPBB,BBBPPPBBB,BBPBBP,3-3-3
BPBBBP,PPPBBBPPP,PBBBBB,3-3-3
BBPPPB,PPPBBBPPP,PPPBPB,3-3-3
BBBBPP,PPPBBBPPP,PBBBBB,3-3-3
PPPPBB,BBBPPPBBB,BPPPPP,3-3-3
BBBPBP,BBBPPPBBB,BPBPPB,3-3-3
PBPPPB,BBBPPPBBB,PPPBPP,3-3-3
BBBPPP,PPPBBBPPP,BPPPPB,3-3-3
BBBBPB,PPPBBBPPP,PPPBBB,3-3-3
BBBPPP,PPPBBBPPP,PPBPPB,3-3-3
PPPPBP,PPPBBBPPP,PBBPPP,3-3-3
BPBPPP,PPPBBBPPP,BBBBBP,3-3-3
PPBPPB,PPPBBBPPP,BBBPBB,3-3-3
BPBBBP,PPPBBBPPP,PPPBBP,3-3-3
PPPBBP,PPPBBBPPP,PPPBBP,3-3-3
PPPPBB,PPPBBBPPP,BBBBPB,3-3-3
PBPBBB,BBBPPPBBB,BPBBBB,3-3-3
BBBBBB,BBBPPPBBB,PPBBPB,3-3-3
PPBPBP,BBBPPPBBB,BPBBPP,3-3-3
BBPPPP,PPPBBBPPP,PBPPBB,3-3-3
PBBBBP,PPPBBBPPP,BPBBPP,3-3-3
PBBPBP,BBBPPPBBB,PPPPPB,3-3-3
PBBPBP,BBBPPPBBB,BPPPPP,3-3-3
BPPBBP,BBBPPPBBB,PBBBBB,3-3-3
BPPBBP,BBBPPPBBB,PBBBBB,3-3-3
BPBPBP,BBBPPPBBB,BPPBBP,3-3-3
BPBPBB,PPPBBBPPP,PBBPPB,3-3-3
PBBPPP,PPPBBBPPP,PBBBPP,3-3-3
BBBBBP,BBBPPPBBB,BBPBPB,3-3-3
BPPPPB,BBBPPPBBB,BPPBBB,3-3-3
BBPPBB,BBBPPPBBB,BPPPBP,3-3-3
PBPPBB,BBBPPPBBB,BPPBPB,3-3-3
PBBPPB,BBBPPPBBB,BBBPPP,3-3-3
BPPBPP,PPPBBBPPP,BPBBPP,3-3-3
BPPBBP,BBBPPPBBB,PBBPPB,3-3-3
PPPBBP,PPPBBBPPP,BBPPPP,3-3-3
PPBBPP,PPPBBBPPP,PPPBBP,3-3-3
PPBBPP,PPPBBBPPP,BBPPPB,3-3-3
PBBPBP,PPPBBBPPP,BPBBBP,3-3-3
BBBBBB,BBBPPPBBB,BPPPPP,3-3-3
PPPPPP,PPPBBBPPP,BPBBBB,3-3-3
BBBPPB,PPPBBBPPP,PBBPPP,3-3-3
BPPPBB,PPPBBBPPP,PPPBPP,3-3-3
PBBPBB,BBBPPPBBB,PPPPPB,3-3-3
BBBBBB,BBBPPPBBB,BBBPPP,3-3-3
PPBBPB,BBBPPPBBB,PBPBPP,3-3-3
PPBBPP,BBBPPPBBB,PPPBPB,3-3-3
BPBPPP,PPPBBBPPP,PBBPPB,3-3-3
BPPPPB,PPPBBBPPP,PBPPPP,3-3-3
PBPPPB,PPPBBBPPP,PPBBPB,3-3-3
PPPPPB,PPPBBBPPP,PPPPBP,3-3-3
BPPBPP,PPPBBBPPP,BPBBBP,3-3-3
BPBBBP,PPPBBBPPP,BPPBPP,3-3-3
PPBPBP,PPPBBBPPP,BPPPBP,3-3-3
PBPPBP,PPPBBBPPP,PPBPBB,3-3-3
BBBBPP,PPPBBBPPP,BBPBPB,3-3-3
BBBPPP,PPPBBBPPP,PBBBBB,3-3-3
PPBBPP,BBBPPPBBB,BBPPBP,3-3-3
BBBBPB,BBBPPPBBB,PPPBBB,3-3-3
PPBBBP,BBBPPPBBB,PPPBBB,3-3-3
PPPBBB,PPPBBBPPP,BPBBPB,3-3-3
PPPPBB,BBBPPPBBB,BPPPPP,3-3-3
BPPPBP,PPPBBBPPP,BPPPBB,3-3-3
BBBBBB,BBBPPPBBB,PPBBBB,3-3-3
BBBPBP,PPPBBBPPP,PPPBPP,3-3-3
PPBPPB,PPPBBBPPP,BPBBBB,3-3-3
PPPBBB,BBBPPPBBB,BBBBPP,3-3-3
PBPPBB,BBBPPPBBB,BBBBBB,3-3-3
BPBPBP,PPPBBBPPP,BPBBBB,3-3-3
PPBPPB,BBBPPPBBB,PPBBPB,3-3-3
PPBPPP,PPPBBBPPP,BBPPPB,3-3-3
BPPPBB,PPPBBBPPP,PBPPPP,3-3-3
PBPPBB,PPPBBBPPP,BPBPPB,3-3-3
BPPBBB,BBBPPPBBB,PBPBPP,3-3-3
PBPBPP,PPPBBBPPP,BPPBPB,3-3-3
BPPBPB,BBBPPPBBB,BBPPPP,3-3-3
BPPPBB,BBBPPPBBB,BBBBBB,3-3-3
BPPBBP,PPPBBBPPP,PBPPPB,3-3-3
BPPPPB,PPPBBBPPP,BPPBPB,3-3-3
PPPPBB,BBBPPPBBB,PBBBBB,3-3-3
BPPPBP,BBBPPPBBB,PPBBPP,3-3-3
PPBBPP,BBBPPPBBB,BBBPPB,3-3-3
PPBBPB,PPPBBBPPP,BBPPBP,3-3-3
PBBPPB,BBBPPPBBB,BBBPBB,3-3-3
PPBBPB,BBBPPPBBB,BBBBPB,3-3-3
PBPBBP,PPPBBBPPP,BBBBBB,3-3-3
BPBPPB,BBBPPPBBB,BBBPPP,3-3-3
PBPPPB,BBBPPPBBB,PBBBBB,3-3-3
PBPPBB,PPPBBBPPP,PBPPBP,3-3-3
BBBBPB,PPPBBBPPP,PBBBPP,3-3-3
BPBBBP,PPPBBBPPP,BPPBBB,3-3-3
PPPPBB,BBBPPPBBB,BBPBBB,3-3-3
PBPPPB,BBBPPPBBB,PPPPPB,3-3-3
PBBBPP,PPPBBBPPP,BPBBPB,3-3-3
BBBPPB,BBBPPPBBB,PPBBBB,3-3-3
PBPPBP,BBBPPPBBB,BPPPBB,3-3-3
PPPPPB,PPPBBBPPP,BPBBBB,3-3-3
PPBBPP,BBBPPPBBB,BBPPPP,3-3-3
BBPPPB,BBBPPPBBB,BBBBBB,3-3-3
BPBBBP,PPPBBBPPP,BBBPPB,3-3-3
PBBPPB,BBBPPPBBB,PBPPPP,3-3-3
PPPBBB,BBBPPPBBB,BBPBBB,3-3-3
PBPPBB,BBBPPPBBB,BBBPBP,3-3-3
PPBPBB,PPPBBBPPP,PPBPPP,3-3-3
BBBBPB,BBBPPPBBB,PBBPPB,3-3-3
BPBPPB,BBBPPPBBB,PPBBPB,3-3-3
BBBBPB,BBBPPPBBB,BBPPBP,3-3-3
PPBBPP,PPPBBBPPP,BBPPPP,3-3-3
PBPPPP,PPPBBBPPP,PPBBPP,3-3-3
BBBBBB,BBBPPPBBB,PPPBBB,3-3-3
BPPBBP,PPPBBBPPP,BBPBBB,3-3-3
PPPBPB,PPPBBBPPP,BBBPBP,3-3-3
PBPBBB,BBBPPPBBB,PPBBBB,3-3-3
BPBPBB,PPPBBBPPP,BPBBPB,3-3-3
BPBBBB,BBBPPPBBB,PPPPBB,3-3-3
PPBBPP,PPPBBBPPP,BBPPPB,3-3-3
PBPPPB,BBBPPPBBB,PBPBBB,3-3-3
BBPBBB,BBBPPPBBB,BPPPPP,3-3-3
BBBBBB,BBBPPPBBB,PBPPPP,3-3-3
PBPPBB,PPPBBBPPP,PBBPBB,3-3-3
BBBPPP,PPPBBBPPP,BBBBPB,3-3-3
PBBBPP,BBBPPPBBB,PPBBPP,3-3-3
BPPBBB,BBBPPPBBB,BBPPPP,3-3-3
BPPBBB,BBBPPPBBB,BBPPPP,3-3-3
PPBBBB,BBBPPPBBB,PPPBBB,3-3-3
BBPPPB,PPPBBBPPP,PBPBPB,3-3-3
PPPPBB,BBBPPPBBB,PPPBBB,3-3-3
BBPBBB,BBBPPPBBB,BBBBBB,3-3-3
BBPPPB,PPPBBBPPP,BBPPBP,3-3-3
BBBPPB,BBBPPPBBB,BPPPBB,3-3-3
PPPBBB,BBBPPPBBB,PBBPPP,3-3-3
BPBBPP,PPPBBBPPP,BPBPBP,3-3-3
PBPPBB,BBBPPPBBB,PPBBPB,3-3-3
PPBPPB,PPPBBBPPP,PPBBBB,3-3-3
BBPPBP,BBBPPPBBB,BPBPBP,3-3-3
BBBPBP,PPPBBBPPP,PPBBPB,3-3-3
PBBBBB,BBBPPPBBB,BPBPBB,3-3-3
BBPBBP,PPPBBBPPP,PBBPPP,3-3-3
BBBPPP,PPPBBBPPP,BBPPPB,3-3-3
BPPPPB,PPPBBBPPP,BBBBPP,3-3-3
PBPPBB,BBBPPPBBB,BBBBBP,3-3-3
BBBBPP,PPPBBBPPP,BBBBBB,3-3-3
BBBBPP,PPPBBBPPP,BBBBBB,3-3-3
PBBBBB,BBBPPPBBB,BPPBBP,3-3-3
PBBBPB,PPPBBBPPP,PPPPPB,3-3-3
BBBBBB,BBBPPPBBB,BBBBBP,3-3-3
PPPPPP,PPPBBBPPP,PBBBBB,3-3-3
PBBPPB,PPPBBBPPP,PPPPBB,3-3-3
PBBPPB,PPPBBBPPP,PPPPBB,3-3-3
PPPBBB,BBBPPPBBB,BBBBPP,3-3-3
BBPPBB,PPPBBBPPP,BPBBBP,3-3-3
PPBPBB,PPPBBBPPP,BBPPPP,3-3-3
PPBBBP,BBBPPPBBB,BBBPBB,3-3-3
PPBPBB,BBBPPPBBB,BPPBPB,3-3-3
PPPPBB,BBBPPPBBB,BPPBBB,3-3-3
BPPPPP,PPPBBBPPP,PPBBPB,3-3-3
PPBPPB,BBBPPPBBB,PPPPBB,3-3-3
BPBBBP,PPPBBBPPP,PBPPPP,3-3-3
PPBPPB,PPPBBBPPP,PPBPPB,3-3-3
PPPBPP,PPPBBBPPP,PBBBBP,3-3-3
BPBBBP,PPPBBBPPP,PBPBBP,3-3-3
PPPPPP,PPPBBBPPP,BPPBBP,3-3-3
PBPBPP,BBBPPPBBB,BPBBBP,3-3-3
PPBBBB,BBBPPPBBB,BBPBBB,3-3-3
PPBBBB,BBBPPPBBB,BBPBBB,3-3-3
PBBBPP,BBBPPPBBB,BBBPPB,3-3-3
BBPBPB,BBBPPPBBB,BBBPPP,3-3-3
BPPPBP,PPPBBBPPP,PPPPPB,3-3-3
BPPPPP,PPPBBBPPP,PPPBBB,3-3-3
BPPBPB,PPPBBBPPP,BPPPPB,3-3-3
BPPPPB,PPPBBBPPP,BBPBBB,3-3-3
PPBPBB,BBBPPPBBB,PPPPPB,3-3-3
BBBBBP,PPPBBBPPP,BPPBPP,3-3-3
BBBBBP,PPPBBBPPP,BPPBPP,3-3-3
BBBBPP,PPPBBBPPP,BBPBPP,3-3-3
BBBPBB,PPPBBBPPP,BPBBBB,3-3-3
BBBBBB,BBBPPPBBB,BBPBBB,3-3-3
BBBPPB,BBBPPPBBB,BBPBBP,3-3-3
PBBBBP,PPPBBBPPP,BPBBBB,3-3-3
PPBPBP,PPPBBBPPP,PPBPPP,3-3-3
PPPPBB,PPPBBBPPP,BPBBBP,3-3-3
PPBPPB,PPPBBBPPP,BBBPBB,3-3-3
BBPBBP,BBBPPPBBB,BBBBPP,3-3-3
BPBPBP,PPPBBBPPP,PPBPPP,3-3-3
PPPPPB,BBBPPPBBB,BBBBBB,3-3-3
PPPPPB,BBBPPPBBB,BBBBBB,3-3-3
PPBBPP,PPPBBBPPP,PPBPBP,3-3-3
BPBPBB,BBBPPPBBB,BBPPPP,3-3-3
BPBPBB,BBBPPPBBB,BBPPPP,3-3-3
PPBBPP,PPPBBBPPP,BPBBBP,3-3-3
BPPPPB,BBBPPPBBB,PPPBBB,3-3-3
BPBBPB,PPPBBBPPP,PBBBPB,3-3-3
BBPPBP,BBBPPPBBB,PPPBPB,3-3-3
PPBPBB,PPPBBBPPP,PPBBPB,3-3-3
BPPPBP,PPPBBBPPP,PBBBBB,3-3-3
BPPPBP,PPPBBBPPP,PBBBBB,3-3-3
BBBPBP,BBBPPPBBB,PPBPBP,3-3-3
BPBPBB,BBBPPPBBB,PBBBPP,3-3-3
PPBPPB,PPPBBBPPP,PBBPBB,3-3-3
PPBBBP,BBBPPPBBB,PBBBPB,3-3-3
PPBPBP,BBBPPPBBB,PBBPBP,3-3-3
PPPPBB,PPPBBBPPP,PPBBPB,3-3-3
BPPBBP,PPPBBBPPP,BBBBPP,3-3-3
BPPBBB,BBBPPPBBB,BPPBBP,3-3-3
BPBBBB,BBBPPPBBB,BPBBPP,3-3-3
BBBBBP,PPPBBBPPP,BBBBPP,3-3-3
BPPPBB,PPPBBBPPP,PBPPBB,3-3-3
BBBPPP,PPPBBBPPP,BBBBPP,3-3-3
PBPPBP,PPPBBBPPP,PPPPBB,3-3-3
PPPPPP,PPPBBBPPP,BBBPPP,3-3-3
BBBPPP,BBBPPPBBB,BPPBPP,3-3-3
BPBBBP,BBBPPPBBB,BBBBBP,3-3-3
PBBBBP,PPPBBBPPP,PPPPPP,3-3-3
PBBPPB,PPPBBBPPP,PBPPBP,3-3-3
PPBBPP,PPPBBBPPP,PBPBPB,3-3-3
PPPBPP,PPPBBBPPP,PPPPPB,3-3-3
BPPBPB,BBBPPPBBB,BPBPBP,3-3-3
BPBPBP,PPPBBBPPP,BBPPBB,3-3-3
BPBPBP,PPPBBBPPP,BBPPBB,3-3-3
PPPPBB,BBBPPPBBB,PPPPPB,3-3-3
PBBBPB,BBBPPPBBB,PPPPBB,3-3-3
BBPPPP,PPPBBBPPP,PBBBPP,3-3-3
PPPPPP,PPPBBBPPP,PPBBBP,3-3-3
BBBPBP,PPPBBBPPP,BPBPPB,3-3-3
PPPPPP,PPPBBBPPP,PPBBBP,3-3-3
BBBPBP,PPPBBBPPP,BPBPPB,3-3-3
BPPPBB,PPPBBBPPP,PBPPBB,3-3-3
BBBBPP,BBBPPPBBB,BPPBPP,3-3-3
BPPPBB,PPPBBBPPP,PPBBBB,3-3-3
BBBBBP,PPPBBBPPP,PPBBPP,3-3-3
BBBBPB,BBBPPPBBB,PBBPBP,3-3-3
BBBBPB,BBBPPPBBB,PBBPBP,3-3-3
BPBBBP,PPPBBBPPP,PPBBPP,3-3-3
PPPPBP,PPPBBBPPP,PBPBBP,3-3-3
BBBPBP,PPPBBBPPP,BPBPPP,3-3-3
PPPPBP,PPPBBBPPP,PPBBPB,3-3-3
PPPPBP,PPPBBBPPP,PPBBPB,3-3-3
PPBBPB,BBBPPPBBB,BBPPBB,3-3-3
PPBPPB,PPPBBBPPP,PPPPPP,3-3-3
PPBPPB,PPPBBBPPP,PPPPPP,3-3-3
PBBBBP,BBBPPPBBB,BBPPBP,3-3-3
PPBPBP,PPPBBBPPP,PBPPPP,3-3-3
BBBBBP,PPPBBBPPP,PPBBPP,3-3-3
PPBPBB,BBBPPPBBB,BBPBBB,3-3-3
BPBBPP,BBBPPPBBB,PPPPBB,3-3-3
BBPBPB,PPPBBBPPP,BPBPPP,3-3-3
PBBPPB,PPPBBBPPP,PPBPBP,3-3-3
PPPPBB,BBBPPPBBB,PPBBBB,3-3-3
PPPBPP,PPPBBBPPP,PBBPPB,3-3-3
PPPBPP,PPPBBBPPP,PBBPPB,3-3-3
PPPBPP,PPPBBBPPP,PBBPPB,3-3-3
BBPPPB,PPPBBBPPP,PBBPPP,3-3-3
BPPBPB,BBBPPPBBB,BBBPBB,3-3-3
BBPBPB,BBBPPPBBB,PPBBBP,3-3-3
PBPPBB,PPPBBBPPP,BBPPBP,3-3-3
BBBBBP,PPPBBBPPP,PBBBBB,3-3-3
BPBPPP,PPPBBBPPP,PBBPPB,3-3-3
BBBPPB,BBBPPPBBB,PBPBPP,3-3-3
BPBPBP,PPPBBBPPP,BBPPBB,3-3-3
PBPPPB,PPPBBBPPP,PPPPPP,3-3-3
PBBBBB,BBBPPPBBB,BPPPBB,3-3-3
PBBBPB,PPPBBBPPP,BBPBPP,3-3-3
PPPPBB,BBBPPPBBB,PPBPPP,3-3-3
BPPBPP,PPPBBBPPP,PPPBPB,3-3-3
PPPPBB,BBBPPPBBB,BPPPBB,3-3-3
PPPBBP,PPPBBBPPP,PBPPBB,3-3-3
BPBBPB,PPPBBBPPP,PPPPPP,3-3-3
BBBBBB,BBBPPPBBB,PPBPPP,3-3-3
BBPBBP,BBBPPPBBB,BPPPBP,3-3-3
BBBBBB,BBBPPPBBB,BBPPPP,3-3-3
BPBPPP,PPPBBBPPP,PBBBPP,3-3-3
BPBPPP,PPPBBBPPP,PBBBPP,3-3-3
PPPBBB,BBBPPPBBB,PPBBBB,3-3-3
BBBBBP,PPPBBBPPP,BBBPBP,3-3-3
BPPBPP,BBBPPPBBB,BPPPPP,3-3-3
BPBPBB,PPPBBBPPP,PPPPPB,3-3-3
BBPPPP,PPPBBBPPP,BPPPPP,3-3-3
PPBPBP,BBBPPPBBB,BPBBBB,3-3-3
PPPPBP,PPPBBBPPP,PBBBBB,3-3-3
BPPPPP,PPPBBBPPP,PPPBBP,3-3-3
PPBBPB,PPPBBBPPP,PPPPBB,3-3-3
PBPPPB,PPPBBBPPP,PPBBBP,3-3-3
BBPBBP,BBBPPPBBB,BBBPBB,3-3-3
PPBBPP,BBBPPPBBB,BBBBBP,3-3-3
PBBBBP,PPPBBBPPP,BPBPBP,3-3-3
BBBPPB,BBBPPPBBB,BPPBPB,3-3-3
BBBPBB,PPPBBBPPP,PPBBBP,3-3-3
PPPBBP,BBBPPPBBB,BBBPPP,3-3-3
PBBBBP,BBBPPPBBB,BBBPBP,3-3-3
BPBPPB,BBBPPPBBB,BPBBBP,3-3-3
BPBPPB,BBBPPPBBB,BPBBBP,3-3-3
PBPBBP,PPPBBBPPP,BPPPPP,3-3-3
BPBBBP,PPPBBBPPP,BPPBPB,3-3-3
PPBPBP,BBBPPPBBB,PPBBBB,3-3-3
PPPPPB,BBBPPPBBB,BBBBBB,3-3-3
PBPPBB,PPPBBBPPP,PBBBBB,3-3-3
PPPPBB,PPPBBBPPP,BBPPBB,3-3-3
BBBBBP,PPPBBBPPP,PBBPPB,3-3-3
PPPBPP,BBBPPPBBB,BBBBPB,3-3-3
PPPBPP,BBBPPPBBB,BBBBPB,3-3-3
BBBBBB,BBBPPPBBB,BBBPPP,3-3-3
BBBBPP,BBBPPPBBB,PPPPPB,3-3-3
BBPPBB,PPPBBBPPP,PBPBPP,3-3-3
BPBPBB,BBBPPPBBB,PBBBBB,3-3-3
BPPPBB,BBBPPPBBB,BPPPPP,3-3-3
BBPBPP,BBBPPPBBB,BPPBBP,3-3-3
BPBBBP,PPPBBBPPP,PPBBBP,3-3-3
BBPBPB,PPPBBBPPP,PBBBBB,3-3-3
PBBBBP,PPPBBBPPP,BBPBPP,3-3-3
BBBPPB,BBBPPPBBB,PPPBBB,3-3-3
PPPBBB,PPPBBBPPP,BBPBPB,3-3-3
PPBPPP,PPPBBBPPP,PPPBBB,3-3-3
PPPPPP,PPPBBBPPP,BPPBBP,3-3-3
PBPPBB,PPPBBBPPP,PBBPBP,3-3-3
BBPPBP,PPPBBBPPP,BBBPBP,3-3-3
BPBPPB,PPPBBBPPP,PBBPPB,3-3-3
PPPBBB,BBBPPPBBB,BPBBPB,3-3-3
PBBPPB,BBBPPPBBB,PPBBBB,3-3-3
PPBBBP,BBBPPPBBB,PBBPPB,3-3-3
BBBBPP,PPPBBBPPP,PPBBBP,3-3-3
BBBBPP,PPPBBBPPP,PPBBBP,3-3-3
PPPBPB,BBBPPPBBB,PBBPBB,3-3-3
PBBPPB,BBBPPPBBB,BPBPPB,3-3-3
BPPPPP,PPPBBBPPP,PBPBBP,3-3-3
BBBBPB,BBBPPPBBB,BBPBPB,3-3-3
PPBBBP,BBBPPPBBB,BBPBPB,3-3-3
PBBBPB,BBBPPPBBB,PPBBBP,3-3-3
PBBBPB,BBBPPPBBB,PPBBBP,3-3-3
BPBPBP,PPPBBBPPP,PPPPBP,3-3-3
BPBPBP,PPPBBBPPP,PPPPBP,3-3-3
PPPPPP,PPPBBBPPP,PPBPPP,3-3-3
PBPPPB,PPPBBBPPP,PBBBBB,3-3-3
BPBPBB,BBBPPPBBB,BBBPPP,3-3-3
PBPPPB,BBBPPPBBB,PPBBBP,3-3-3
BPPBBB,BBBPPPBBB,BBPPBP,3-3-3
PPPBPP,BBBPPPBBB,PBBBPB,3-3-3
PPPBPP,BBBPPPBBB,PBBBPB,3-3-3
BPPPPB,PPPBBBPPP,BPPBPB,3-3-3
BPPPPP,PPPBBBPPP,PBBBPP,3-3-3
BBPPPB,BBBPPPBBB,PBBBPB,3-3-3
BBBPPP,PPPBBBPPP,BPBPBB,3-3-3
BPPPBB,PPPBBBPPP,BPBBPB,3-3-3
BPBPPB,BBBPPPBBB,PBBBBB,3-3-3
BPBBBB,BBBPPPBBB,BBPPBP,3-3-3
PBBBPP,PPPBBBPPP,BPPBPP,3-3-3
BBPPBB,PPPBBBPPP,PBBPPB,3-3-3
PPBPBP,BBBPPPBBB,BBBBBB,3-3-3
PBBPBP,PPPBBBPPP,PBPBPP,3-3-3
BPBPBP,PPPBBBPPP,PPBBPP,3-3-3
BPPBBP,PPPBBBPPP,BPBBPB,3-3-3
BBBBPB,BBBPPPBBB,BBPPBP,3-3-3
