before,three_cut,after,pattern
BPBBBB,BBBPBBBP,BBBBPB,3-1-3-1
PPBBBP,PPPBBBBB,PBBPPB,3-1-3-1
PBBBPB,PPPBBBBB,PBPPBP,3-1-3-1
PPBPBB,BBBPPPPP,BPBBBB,3-1-3-1
PBPBBP,BBBPBBBP,BBPBPB,3-1-3-1
BBBPBP,PPPBPPPB,BBPPBB,3-1-3-1
BPPBBP,BBBPPPPP,PBPPPP,3-1-3-1
PPBPPB,PPPBBBBB,PPPPPP,3-1-3-1
BPPBPB,BBBPPPPP,BBBBBP,3-1-3-1
PBPBBP,BBBPBBBP,PBPBBB,3-1-3-1
PBPBBP,BBBPBBBP,PBPBBB,3-1-3-1
PPBPPB,BBBPPPPP,BBPBPP,3-1-3-1
PBBPBP,BBBPPPPP,PBBPBP,3-1-3-1
PPBBPB,PPPBBBBB,BPPPPB,3-1-3-1
PBBBBB,BBBPPPPP,BBPPPP,3-1-3-1
PPPBPB,PPPBPPPB,BPBPPB,3-1-3-1
BPPPBP,PPPBPPPB,PPPPPP,3-1-3-1
BPPBBB,PPPBBBBB,BBPBPB,3-1-3-1
BPPPBP,PPPBPPPB,PPPPPP,3-1-3-1
BPPBBB,PPPBBBBB,BBPBPB,3-1-3-1
PPPBBB,PPPBBBBB,BBPPBB,3-1-3-1
BBBPBB,BBBPBBBP,BPPPPP,3-1-3-1
BBBBBB,PPPBBBBB,BPPPPB,3-1-3-1
PBBBPB,PPPBBBBB,PBBPPB,3-1-3-1
BPBPBP,PPPBPPPB,BPBPBB,3-1-3-1
BBBPPP,BBBPPPPP,BBBPBB,3-1-3-1
BBBPPB,PPPBBBBB,BBBBPP,3-1-3-1
BPPPPP,PPPBBBBB,PBBBBP,3-1-3-1
PBBBBP,PPPBPPPB,BPBBBP,3-1-3-1
PPBPPB,BBBPPPPP,PPBPBP,3-1-3-1
PPPBPB,PPPBBBBB,BPPBBP,3-1-3-1
PPBBPP,BBBPPPPP,PBPPBB,3-1-3-1
BBPBBP,BBBPBBBP,PBBBPB,3-1-3-1
PBPPBB,BBBPPPPP,PPPBBP,3-1-3-1
BPPBPP,PPPBBBBB,BBBPBB,3-1-3-1
BPPBPP,BBBPPPPP,BPPBBP,3-1-3-1
BPPBPP,BBBPPPPP,BPPBBP,3-1-3-1
PPBBPB,PPPBBBBB,BPBPBB,3-1-3-1
PPBPPB,BBBPPPPP,PBBBPB,3-1-3-1
PPPPPP,BBBPBBBP,BPPPPP,3-1-3-1
PPBBPB,PPPBBBBB,PPPPPP,3-1-3-1
BPBBBB,PPPBPPPB,PPPBPB,3-1-3-1
BPBBBB,PPPBPPPB,PPPBPB,3-1-3-1
BBBPPB,PPPBBBBB,PPPBBB,3-1-3-1
BBPPPB,BBBPPPPP,PPPBPB,3-1-3-1
PBBPBP,PPPBBBBB,BBBBBP,3-1-3-1
BBBBBP,PPPBPPPB,PBBPPP,3-1-3-1
PBBPPP,PPPBPPPB,BBPBBB,3-1-3-1
PBPPBP,PPPBBBBB,PPPBPB,3-1-3-1
PPPPPB,BBBPPPPP,BPBBBP,3-1-3-1
PPPPPB,BBBPPPPP,BPBBBP,3-1-3-1
PPPBBP,BBBPBBBP,PBBBPP,3-1-3-1
BBPPPB,BBBPPPPP,BBBBBB,3-1-3-1
PBBBPB,BBBPBBBP,PBPPPB,3-1-3-1
BBPPPP,BBBPPPPP,BBBPBP,3-1-3-1
PBPBPP,BBBPPPPP,BPPPPP,3-1-3-1
BBBBBB,PPPBPPPB,BPBBBB,3-1-3-1
BPPBPB,BBBPPPPP,BPPBPB,3-1-3-1
BPBBPB,PPPBBBBB,BBPPBB,3-1-3-1
PPPPPP,PPPBPPPB,BPBPBB,3-1-3-1
BBBPBP,BBBPPPPP,BBPBBB,3-1-3-1
BBBPPB,BBBPPPPP,PBBBBB,3-1-3-1
PPPPBB,BBBPPPPP,BPBBBP,3-1-3-1
BPBPPP,BBBPBBBP,BBPPBB,3-1-3-1
PPBBPB,PPPBPPPB,BPBPPP,3-1-3-1
BPPBPP,BBBPPPPP,BPPBBB,3-1-3-1
PPPPPP,BBBPPPPP,PBBBBP,3-1-3-1
BPPBBB,PPPBPPPB,BPBBBB,3-1-3-1
BBPPBP,PPPBBBBB,PBPPPP,3-1-3-1
PPPPPB,BBBPPPPP,BBPBBB,3-1-3-1
PBPBBP,PPPBBBBB,BPBBBB,3-1-3-1
PPPBPP,PPPBPPPB,PPBBBP,3-1-3-1
PBBBBB,BBBPBBBP,PPBPBB,3-1-3-1
BPBBPP,BBBPPPPP,PBBBBP,3-1-3-1
PPBPPP,PPPBBBBB,BPPPBB,3-1-3-1
BPPBBP,PPPBBBBB,BBPBPP,3-1-3-1
PBPBBP,BBBPPPPP,BPPPBP,3-1-3-1
PBBPBB,PPPBBBBB,BPBPPB,3-1-3-1
BBPBPB,BBBPPPPP,PPPBBB,3-1-3-1
BPPPPP,PPPBBBBB,BPBBBB,3-1-3-1
BBBBBB,BBBPPPPP,BPBPPP,3-1-3-1
PBBBPB,PPPBPPPB,BPPBPP,3-1-3-1
BBBBBP,PPPBPPPB,BBPBBB,3-1-3-1
BBBPBB,BBBPPPPP,BBPBBB,3-1-3-1
BBPPBB,PPPBBBBB,BBPPPP,3-1-3-1
BPBPBP,PPPBPPPB,BPPBBP,3-1-3-1
BBPBPB,BBBPPPPP,BBBPPP,3-1-3-1
BPPPPP,BBBPPPPP,BBBPPP,3-1-3-1
BBPBPB,BBBPPPPP,BBBPPP,3-1-3-1
BPPPPP,BBBPPPPP,BBBPPP,3-1-3-1
BPBPBB,BBBPPPPP,PBPPBB,3-1-3-1
BBPBBP,BBBPBBBP,PPBPPP,3-1-3-1
BBPBPP,BBBPPPPP,BBPPPP,3-1-3-1
BPPBPP,PPPBPPPB,BBPPBB,3-1-3-1
BPBPBB,BBBPPPPP,PBBPBB,3-1-3-1
BPBPBB,PPPBBBBB,BBPPBP,3-1-3-1
BPPBBB,BBBPPPPP,BBPPPB,3-1-3-1
BPBPBB,PPPBBBBB,BBPPBP,3-1-3-1
BPPBBB,BBBPPPPP,BBPPPB,3-1-3-1
PPPBBP,PPPBBBBB,BBPBBB,3-1-3-1
BPBBBB,PPPBBBBB,PBPBPP,3-1-3-1
BPBPPP,BBBPBBBP,PPBBBB,3-1-3-1
PPBPBP,PPPBPPPB,PPPBBB,3-1-3-1
PPPBPP,PPPBBBBB,BPPPBP,3-1-3-1
BPPPBP,PPPBBBBB,PPPPBB,3-1-3-1
BBBBBP,PPPBBBBB,PBBBPB,3-1-3-1
PBBBPB,BBBPPPPP,BBBBPP,3-1-3-1
PPBPPP,PPPBBBBB,PPPPPP,3-1-3-1
PPPBPB,BBBPBBBP,BBBPBB,3-1-3-1
PPBBPP,PPPBPPPB,BPPBBB,3-1-3-1
BBPPBB,PPPBPPPB,BBPPBB,3-1-3-1
PBPPPP,PPPBBBBB,BBPPPB,3-1-3-1
PPPPPP,PPPBPPPB,BBPBBB,3-1-3-1
PPPPPP,PPPBPPPB,BBPBBB,3-1-3-1
BPPBBB,PPPBBBBB,BBBPPB,3-1-3-1
BBBBPB,PPPBBBBB,BBBBBP,3-1-3-1
BBPBBB,BBBPPPPP,PBBBBP,3-1-3-1
PBBBBP,PPPBPPPB,PPPPPB,3-1-3-1
PPPBBP,BBBPPPPP,PPPPPB,3-1-3-1
PPPPPP,BBBPPPPP,BPPPBB,3-1-3-1
BBBBBB,BBBPPPPP,BBPBBP,3-1-3-1
PPBBBP,PPPBBBBB,BBPBPP,3-1-3-1
BBPBBB,BBBPPPPP,BPBBBB,3-1-3-1
PPBPBP,BBBPBBBP,BPBPPP,3-1-3-1
BPBPPP,BBBPBBBP,PBBPBP,3-1-3-1
PPPBBP,PPPBPPPB,BBPBBB,3-1-3-1
PBBBBB,PPPBBBBB,BPPPPP,3-1-3-1
PBBPPB,PPPBPPPB,BBPPPB,3-1-3-1
PPPBPB,PPPBBBBB,BBPPPP,3-1-3-1
BBPBPP,PPPBBBBB,PPPPBP,3-1-3-1
PPPBPB,PPPBBBBB,PBPBBP,3-1-3-1
BPBBPP,PPPBBBBB,PPBPBP,3-1-3-1
PBBBBB,BBBPBBBP,PPBPPB,3-1-3-1
BPPBBP,BBBPPPPP,PPPBPB,3-1-3-1
BPBPBB,PPPBBBBB,PBBPBP,3-1-3-1
PPBBPP,BBBPBBBP,PBBPPB,3-1-3-1
BBBBBB,PPPBPPPB,BBBPBP,3-1-3-1
BPPPPP,BBBPBBBP,BPPPBB,3-1-3-1
BBBPBB,PPPBPPPB,BPBBPB,3-1-3-1
PPBPBB,BBBPBBBP,PPPPPB,3-1-3-1
PBBBPP,BBBPPPPP,PPPPPB,3-1-3-1
PPPBPP,BBBPPPPP,PBPBPP,3-1-3-1
BPPBPB,PPPBBBBB,BBBBBB,3-1-3-1
PPBPBP,BBBPBBBP,PPPPPB,3-1-3-1
PPBPBB,BBBPPPPP,BPPPPB,3-1-3-1
BBPBPP,BBBPBBBP,BBPBBP,3-1-3-1
PPPPPP,PPPBBBBB,BBBBPB,3-1-3-1
BPBBPP,BBBPPPPP,PPBPBB,3-1-3-1
BBBPPP,BBBPBBBP,BPBPPB,3-1-3-1
BBBBPB,BBBPPPPP,BBPBPB,3-1-3-1
BBBPPP,BBBPBBBP,BPBPPB,3-1-3-1
BBBBPB,BBBPPPPP,BBPBPB,3-1-3-1
PPPBBP,PPPBPPPB,BBPPPB,3-1-3-1
PBPPBB,PPPBPPPB,PPPPPP,3-1-3-1
PPPBPB,BBBPPPPP,PBBPPB,3-1-3-1
PPBBPP,PPPBBBBB,PBPPPB,3-1-3-1
PBPBBP,BBBPPPPP,BPBBBP,3-1-3-1
PBBPPB,BBBPPPPP,PBPBBB,3-1-3-1
BBBPBP,PPPBPPPB,BBBBBB,3-1-3-1
BBBPBP,PPPBPPPB,BBBBBB,3-1-3-1
BBPPPP,PPPBPPPB,BPPPPB,3-1-3-1
BPPBBP,PPPBPPPB,PPBBBB,3-1-3-1
PBBPPP,PPPBBBBB,BBPBPB,3-1-3-1
BPPBBB,BBBPPPPP,PBPBPB,3-1-3-1
BPPPBB,PPPBPPPB,BPPPPP,3-1-3-1
PPPBBP,PPPBBBBB,PPBPPP,3-1-3-1
PPBPPP,PPPBBBBB,BBPPPP,3-1-3-1
PBPBBB,BBBPPPPP,PBBPBB,3-1-3-1
PPPBBP,PPPBBBBB,BPBBPB,3-1-3-1
BPBBPB,BBBPPPPP,BPBBBB,3-1-3-1
PPPBPB,BBBPPPPP,BBPBPB,3-1-3-1
BBPPBP,BBBPPPPP,BPBBBP,3-1-3-1
PBBPBB,BBBPBBBP,PPBPBB,3-1-3-1
PBBBBB,BBBPBBBP,BBPBBB,3-1-3-1
BBPBBB,BBBPPPPP,BBPPPB,3-1-3-1
PPPBPP,PPPBBBBB,BBBBBB,3-1-3-1
BBBBBP,PPPBBBBB,PPPPBB,3-1-3-1
BBBBBP,PPPBBBBB,BBPPBB,3-1-3-1
PPPBBP,BBBPBBBP,PPPBPP,3-1-3-1
BBBPPP,BBBPBBBP,BPPPBB,3-1-3-1
PBBBPB,BBBPBBBP,PPBBPB,3-1-3-1
BBPBPP,BBBPPPPP,PBBBPP,3-1-3-1
PBPBPB,PPPBBBBB,BBPBPP,3-1-3-1
BBBBPB,PPPBPPPB,PPPBPP,3-1-3-1
PBPPPB,PPPBPPPB,PPPBPP,3-1-3-1
BBBBBB,PPPBBBBB,PPBPBP,3-1-3-1
PBPBBP,BBBPPPPP,BPBBBP,3-1-3-1
BBPPBP,BBBPPPPP,BPBBPP,3-1-3-1
PBBPBB,PPPBBBBB,BBPBBP,3-1-3-1
PPBBPB,BBBPPPPP,BPBPPP,3-1-3-1
PPPBPB,PPPBBBBB,PPBBPP,3-1-3-1
BBBPBP,PPPBPPPB,BBBBPB,3-1-3-1
PBPBPB,BBBPPPPP,BPBPPB,3-1-3-1
BBPPPP,BBBPBBBP,PBBPPP,3-1-3-1
PPBPBB,BBBPPPPP,BBPBPP,3-1-3-1
BPPBBP,BBBPPPPP,BBBPPP,3-1-3-1
BPBBPP,BBBPPPPP,PBBPBP,3-1-3-1
BPBPPB,BBBPPPPP,PPPBBB,3-1-3-1
BPBBPP,BBBPPPPP,PBBPBP,3-1-3-1
BPBPPB,BBBPPPPP,PPPBBB,3-1-3-1
PBPBBP,PPPBBBBB,BBPBPP,3-1-3-1
PBBPBP,PPPBBBBB,BBPPBB,3-1-3-1
PPBBBB,PPPBPPPB,PPBBPB,3-1-3-1
PBPPPP,BBBPBBBP,PBBPBB,3-1-3-1
BBPBPP,PPPBPPPB,BBBBBB,3-1-3-1
BBBBPP,BBBPPPPP,PPBPPB,3-1-3-1
PPBBPB,BBBPPPPP,BBBBBP,3-1-3-1
PBPBBB,PPPBPPPB,PPBBBP,3-1-3-1
PPBBBP,PPPBBBBB,PPBPPP,3-1-3-1
PPBPPB,PPPBBBBB,BPBBBB,3-1-3-1
PPBPPP,PPPBBBBB,PBBPPB,3-1-3-1
BPPPPP,BBBPBBBP,BPPPPB,3-1-3-1
BPBBBB,BBBPPPPP,PPBPBP,3-1-3-1
PBPBPB,PPPBBBBB,PPBPPP,3-1-3-1
PPBBPP,BBBPBBBP,BPBBBB,3-1-3-1
PBPBBB,PPPBBBBB,BBBBPP,3-1-3-1
BPBPPP,PPPBPPPB,BPPPBP,3-1-3-1
BBPPPP,BBBPBBBP,PBPBBB,3-1-3-1
PBPBBP,PPPBBBBB,PBBBBB,3-1-3-1
BBBPBB,PPPBPPPB,BPBPBP,3-1-3-1
BBBBBB,BBBPPPPP,PBBPPP,3-1-3-1
BBBPBP,BBBPPPPP,PPBBBB,3-1-3-1
PPBPBP,BBBPPPPP,BBBPPB,3-1-3-1
PBPPPP,BBBPPPPP,BBPPBP,3-1-3-1
BPBPPP,PPPBPPPB,PPBBPP,3-1-3-1
BBPBPP,PPPBBBBB,BPBBBB,3-1-3-1
PBBBBP,PPPBBBBB,BBPPBP,3-1-3-1
BPBBBB,PPPBBBBB,PPBPBB,3-1-3-1
PBBBBB,BBBPPPPP,BBBBBB,3-1-3-1
PPPBPP,PPPBPPPB,BPPPBB,3-1-3-1
BPBPPB,BBBPBBBP,BPBBPP,3-1-3-1
BPBPPB,BBBPBBBP,BPBBPP,3-1-3-1
BPPBPB,BBBPPPPP,BPBPBB,3-1-3-1
PBBBBB,PPPBPPPB,PPBPPP,3-1-3-1
PBPBBB,BBBPPPPP,BPBPPP,3-1-3-1
BPPBBB,BBBPBBBP,BPBBBP,3-1-3-1
BBBPBP,BBBPPPPP,PPPPBP,3-1-3-1
PBPPPP,BBBPBBBP,BBPBPB,3-1-3-1
PBBPBP,BBBPPPPP,BBBPBB,3-1-3-1
PPPBPB,BBBPPPPP,PPBPPP,3-1-3-1
BPPBBP,BBBPBBBP,BPBBBB,3-1-3-1
BBPBPB,BBBPBBBP,PBBPPB,3-1-3-1
BBPPBB,BBBPPPPP,BBBPBP,3-1-3-1
PPBPBP,PPPBBBBB,PBPBBB,3-1-3-1
BPPBPP,BBBPBBBP,PPBPBB,3-1-3-1
PPPPBB,PPPBBBBB,PPPBPP,3-1-3-1
PBPBBP,BBBPBBBP,BBPBBB,3-1-3-1
BPPBPP,BBBPBBBP,BPBBBB,3-1-3-1
BPBPPP,BBBPBBBP,PPBPPB,3-1-3-1
BPBBPB,PPPBBBBB,BBBBPB,3-1-3-1
BBBBPB,PPPBBBBB,PPPBBP,3-1-3-1
BPBPBB,BBBPBBBP,PPPPBB,3-1-3-1
BPPBPB,PPPBBBBB,PPPPBP,3-1-3-1
BBBBPB,BBBPBBBP,PPPBPB,3-1-3-1
BBBPBB,PPPBBBBB,BPPPBB,3-1-3-1
BPBBBB,PPPBBBBB,BBBBPB,3-1-3-1
PBBBBP,PPPBBBBB,BBBPPP,3-1-3-1
BBPPPP,BBBPBBBP,BPPPBB,3-1-3-1
BPBPPP,BBBPPPPP,PBBBBP,3-1-3-1
BPBPPP,PPPBBBBB,PBPBPB,3-1-3-1
PBBBPB,BBBPPPPP,PBPPPB,3-1-3-1
PBBBPB,BBBPPPPP,PBPPPB,3-1-3-1
PBPBBP,PPPBPPPB,PBBPBP,3-1-3-1
BPBBBB,PPPBPPPB,PBPPPB,3-1-3-1
BPBPPB,PPPBPPPB,BBPBPP,3-1-3-1
PBBBPB,PPPBPPPB,BPPBPP,3-1-3-1
BBBPPP,PPPBBBBB,BPPPPP,3-1-3-1
BBPPBB,BBBPPPPP,PPPPPB,3-1-3-1
BPBBBB,BBBPPPPP,PPPBBP,3-1-3-1
PPBPPB,PPPBBBBB,BPPBBP,3-1-3-1
BPBBBB,BBBPPPPP,BBBBBB,3-1-3-1
PBBPPB,BBBPPPPP,BPPPPP,3-1-3-1
PPBBPP,PPPBBBBB,BPBPPB,3-1-3-1
PPBBBP,PPPBBBBB,BPPBBB,3-1-3-1
PPPBPB,BBBPPPPP,PPBBPP,3-1-3-1
BPPBPP,PPPBBBBB,PPPPPP,3-1-3-1
PPPPPP,BBBPPPPP,BBBBPP,3-1-3-1
PBBPPP,BBBPPPPP,BBPBPB,3-1-3-1
BBPPPB,BBBPBBBP,PBPPPP,3-1-3-1
BBPPBP,PPPBBBBB,BBPPBP,3-1-3-1
PPPPPP,BBBPPPPP,BBBPPB,3-1-3-1
BPBPBB,PPPBBBBB,PPPBPB,3-1-3-1
PPPBPP,PPPBBBBB,BPBPBB,3-1-3-1
BBBBBB,BBBPPPPP,BBPPPP,3-1-3-1
PPPPBP,BBBPBBBP,PPBPPP,3-1-3-1
PPPBPP,PPPBBBBB,BBBPPP,3-1-3-1
PBBBBB,BBBPPPPP,PPPBBB,3-1-3-1
PBBBPB,BBBPBBBP,PPBBBB,3-1-3-1
BPBBBB,BBBPPPPP,BBPPBP,3-1-3-1
BBPPBP,BBBPBBBP,PPPPPB,3-1-3-1
BBPPPP,BBBPPPPP,PPBBPP,3-1-3-1
PPPPBB,PPPBBBBB,BBPPBP,3-1-3-1
PPPBBP,PPPBPPPB,BBBBBB,3-1-3-1
PPBBBB,BBBPPPPP,BPBPBP,3-1-3-1
BBPPPB,BBBPPPPP,BPPPPP,3-1-3-1
BPPBBB,BBBPPPPP,PPBBPP,3-1-3-1
PPPBBP,PPPBPPPB,BBBBBB,3-1-3-1
PPBPBB,BBBPPPPP,BBPBBP,3-1-3-1
BBBBBP,PPPBPPPB,PPBBPP,3-1-3-1
BPBBBB,BBBPPPPP,PPPBBB,3-1-3-1
BPPPPP,PPPBBBBB,PPPPBB,3-1-3-1
PPPBBB,PPPBPPPB,PPPPPB,3-1-3-1
PBPBBB,BBBPBBBP,PBBPPB,3-1-3-1
BBPBBB,BBBPBBBP,BBPBBP,3-1-3-1
PPPBPB,BBBPPPPP,PBPBPB,3-1-3-1
PPPPPP,PPPBBBBB,BBBPBP,3-1-3-1
BPPBBB,PPPBPPPB,BPBPBP,3-1-3-1
BBPPBB,BBBPPPPP,BPBBPP,3-1-3-1
PPBBPB,PPPBPPPB,BPPPBP,3-1-3-1
PBBPPP,PPPBPPPB,PBBPPB,3-1-3-1
PPBPPP,PPPBBBBB,PPPPBP,3-1-3-1
BPPBBB,PPPBPPPB,BBBPBB,3-1-3-1
PPBPBB,BBBPPPPP,BBPBPP,3-1-3-1
PPBPBB,BBBPBBBP,BPPBBP,3-1-3-1
BBPPPP,PPPBBBBB,BBBBPB,3-1-3-1
PPBBBP,PPPBBBBB,BBBBBB,3-1-3-1
PPBPPB,PPPBBBBB,BPPPPB,3-1-3-1
PPPBBP,PPPBBBBB,PPPPPP,3-1-3-1
BBPPPP,PPPBBBBB,BBBBBB,3-1-3-1
PBPPPP,PPPBPPPB,BBPPBP,3-1-3-1
BPPPPP,PPPBBBBB,BPPPPB,3-1-3-1
BPPPPP,PPPBPPPB,BBBPPP,3-1-3-1
PBPPPB,BBBPPPPP,BPPBBB,3-1-3-1
PBPPBB,BBBPPPPP,BBPBBP,3-1-3-1
BBBBBB,PPPBBBBB,BPPPPB,3-1-3-1
PPPPPB,BBBPBBBP,BBBPBB,3-1-3-1
BPBBBP,BBBPBBBP,PPBPBP,3-1-3-1
PPPBPP,PPPBBBBB,BBBBBB,3-1-3-1
BBBBBB,PPPBBBBB,BBBPBB,3-1-3-1
PPPPPP,PPPBPPPB,BPBBBP,3-1-3-1
PBBBPB,BBBPPPPP,PPPBBB,3-1-3-1
BPPPPP,PPPBBBBB,PPBPPP,3-1-3-1
BPPBBB,BBBPPPPP,PPBPBP,3-1-3-1
BBBPBB,PPPBBBBB,PPPPBB,3-1-3-1
BBBPBP,BBBPPPPP,BBPPBB,3-1-3-1
BPPBBB,PPPBBBBB,BPBBBB,3-1-3-1
PBBBBP,PPPBBBBB,BBBBBP,3-1-3-1
BPPBPP,BBBPPPPP,PBBPBP,3-1-3-1
BBPPBP,BBBPBBBP,PPBPPB,3-1-3-1
BBPPBP,BBBPBBBP,PPBPPB,3-1-3-1
PBBPPP,PPPBBBBB,BPPPPP,3-1-3-1
PPBPBP,PPPBBBBB,BBPPBB,3-1-3-1
BBPPBB,PPPBBBBB,PBPBPP,3-1-3-1
PBBPPP,BBBPPPPP,PPBBBP,3-1-3-1
PPPPPP,BBBPPPPP,PBBBBP,3-1-3-1
BBPPBB,BBBPBBBP,PPBPBP,3-1-3-1
PPPPBB,PPPBBBBB,PPPPPB,3-1-3-1
BPPBBP,BBBPPPPP,PPBPBP,3-1-3-1
BPPBPP,BBBPBBBP,PPPBPB,3-1-3-1
BPPPPB,BBBPBBBP,PBBBPP,3-1-3-1
PPPBPP,PPPBPPPB,PBPPPB,3-1-3-1
PPBPPB,PPPBBBBB,BBPPBP,3-1-3-1
PBPBPB,BBBPPPPP,PBPPBB,3-1-3-1
PBPBPB,BBBPPPPP,PBPPBB,3-1-3-1
PBBPBB,BBBPPPPP,BBBPBB,3-1-3-1
PBPPBB,PPPBBBBB,BPPBBB,3-1-3-1
PBBPBP,BBBPPPPP,BPPBBP,3-1-3-1
PBBPBP,BBBPPPPP,BPPBBP,3-1-3-1
PPBPBP,PPPBBBBB,PBPBBB,3-1-3-1
PPBPBP,PPPBBBBB,PBPBBB,3-1-3-1
BPPPPP,BBBPPPPP,BPBPPB,3-1-3-1
PPBPBB,BBBPBBBP,PPPBBP,3-1-3-1
BPPBBP,PPPBBBBB,BBBBPB,3-1-3-1
PPPPPP,PPPBPPPB,BBPBPP,3-1-3-1
BBPBBP,PPPBBBBB,PPPPBP,3-1-3-1
BBBPBP,BBBPBBBP,PBPPBB,3-1-3-1
PBBPPP,BBBPPPPP,PBPPBB,3-1-3-1
PPBPPB,BBBPPPPP,PPPBBB,3-1-3-1
BBPBBB,BBBPPPPP,BBBBBB,3-1-3-1
PBBBPB,PPPBBBBB,PPPPPB,3-1-3-1
PPPBPB,PPPBBBBB,BPBBBP,3-1-3-1
BPBBBP,PPPBBBBB,BBBPPP,3-1-3-1
PBBBBB,BBBPPPPP,BBBPBP,3-1-3-1
PPBPBP,BBBPPPPP,PBPPBB,3-1-3-1
BPPBBP,PPPBPPPB,BBBPPB,3-1-3-1
BBBPPB,BBBPBBBP,BBPPBP,3-1-3-1
BBPPBB,BBBPBBBP,BPBPBB,3-1-3-1
BPPPBB,PPPBPPPB,BBPBBB,3-1-3-1
BBBPPB,PPPBBBBB,PBPPBB,3-1-3-1
BBPPBB,BBBPBBBP,PPBBBP,3-1-3-1
BPPPPB,BBBPPPPP,PPBBPP,3-1-3-1
PPBPBP,BBBPPPPP,PPPBPB,3-1-3-1
BBBBBB,BBBPBBBP,BBBPBP,3-1-3-1
BPBBBP,PPPBBBBB,PPPBPB,3-1-3-1
BPPBBB,PPPBBBBB,BBBPBP,3-1-3-1
BPPBPP,PPPBPPPB,PBBPBB,3-1-3-1
BPBBPB,BBBPBBBP,BPPBBB,3-1-3-1
PPPPPP,PPPBBBBB,PPBBPB,3-1-3-1
BBPPBP,BBBPPPPP,PBPBBP,3-1-3-1
PBPPBP,BBBPBBBP,PPPBPP,3-1-3-1
BPBPBB,BBBPBBBP,BPPBBB,3-1-3-1
BBBBPB,PPPBBBBB,BBBBBP,3-1-3-1
BPBPBB,BBBPBBBP,BPPBBB,3-1-3-1
BBBBPB,PPPBBBBB,BBBBBP,3-1-3-1
BPBBBB,PPPBBBBB,PPBBBB,3-1-3-1
BBBPBB,BBBPBBBP,BBPBBB,3-1-3-1
BBPBBP,BBBPPPPP,PBBBPP,3-1-3-1
PBBBPP,BBBPPPPP,BPPPPB,3-1-3-1
BBBBBB,BBBPPPPP,PPBBBP,3-1-3-1
PBBBPB,PPPBPPPB,BPBBBP,3-1-3-1
PPPBBP,BBBPPPPP,BPPBBB,3-1-3-1
PPBPPP,BBBPPPPP,PBBPPP,3-1-3-1
PBPPPP,BBBPBBBP,PBBBBP,3-1-3-1
PPBBBB,PPPBBBBB,BBBBBB,3-1-3-1
BBBBPP,BBBPBBBP,BPBBBB,3-1-3-1
BBBBPB,BBBPPPPP,PPPPBB,3-1-3-1
PBBPPP,PPPBBBBB,PPBBPP,3-1-3-1
BBPPPB,BBBPPPPP,BBBPPP,3-1-3-1
BPPBBB,PPPBBBBB,BBBBPB,3-1-3-1
BPPBPB,PPPBBBBB,PPPPPB,3-1-3-1
BBPBPP,PPPBPPPB,BBPPPB,3-1-3-1
BPBBPP,BBBPBBBP,PBBPBP,3-1-3-1
PBPBBB,PPPBBBBB,BBBPPP,3-1-3-1
PPBPPB,BBBPBBBP,PPPPPP,3-1-3-1
PPPBPP,PPPBBBBB,PPPPPP,3-1-3-1
PBBPPP,PPPBBBBB,BBPPPP,3-1-3-1
PBPBPB,BBBPPPPP,PBPPBB,3-1-3-1
PPBPPB,BBBPBBBP,PBPBBB,3-1-3-1
PBPBPP,PPPBPPPB,PBPPPP,3-1-3-1
PPBPBP,PPPBBBBB,PBBBPP,3-1-3-1
BPPBPB,BBBPBBBP,PBBBBB,3-1-3-1
PBBBBB,BBBPPPPP,PPBPPP,3-1-3-1
BPPPPP,BBBPPPPP,BBBPPP,3-1-3-1
BPPPPP,BBBPPPPP,PPPPBP,3-1-3-1
PBPBBB,PPPBPPPB,PPBPPB,3-1-3-1
PPPPBP,PPPBBBBB,BBBPBB,3-1-3-1
PBBBBB,BBBPBBBP,PBPBPP,3-1-3-1
BBPBPB,PPPBBBBB,PBPPPP,3-1-3-1
BPPPPP,PPPBPPPB,BPBBBB,3-1-3-1
BBPBBP,BBBPPPPP,BBBPBB,3-1-3-1
PBPBBP,PPPBBBBB,BPPBPP,3-1-3-1
BPBBPP,PPPBBBBB,PPBBBP,3-1-3-1
BBBBPP,BBBPBBBP,PBBBBP,3-1-3-1
PBPPBB,BBBPBBBP,BBBBBP,3-1-3-1
BBPPBB,BBBPPPPP,BBPBBP,3-1-3-1
PBBPPP,BBBPPPPP,PBBPPP,3-1-3-1
BBBBPB,PPPBBBBB,PPPPBB,3-1-3-1
PPPPPP,PPPBBBBB,PBPBBP,3-1-3-1
PPPBBB,PPPBBBBB,BPPPBB,3-1-3-1
PBPBBB,BBBPPPPP,BBBBBB,3-1-3-1
BPBBBB,BBBPPPPP,BPPPPB,3-1-3-1
BPPBPB,BBBPBBBP,BPPPPP,3-1-3-1
PPPBPP,PPPBPPPB,BBBPPB,3-1-3-1
BPPBBB,BBBPBBBP,PPBBBP,3-1-3-1
BBBPPP,BBBPBBBP,PPBBPB,3-1-3-1
PBPBPB,PPPBBBBB,BPPPBB,3-1-3-1
BBBPPP,BBBPPPPP,BBBPPP,3-1-3-1
BBBPPP,BBBPBBBP,PPPBPP,3-1-3-1
BPPBBP,BBBPBBBP,BBPPPP,3-1-3-1
BBPPBB,PPPBBBBB,PBPBBB,3-1-3-1
BBBPBB,BBBPPPPP,PPPBBP,3-1-3-1
