ก่อนเกิด,ช่วงเกิด,หลังเกิด
BTB,PPBBBTTBBB,PTB
TTP,TTTPPBBBTT,BPB
TTP,TTTPPBBBTT,PBT
,PPPTTBBBPP,TBB
BPB,TTBBBPPBBB,TPB
BPB,TTBBBPPTTT,BTB
TTT,PPPBBPPPBB,PTT
TTP,TTTPPBBBPP,BBT
PPT,PPBBBPPTTT,PTB
PTB,TTBBBPPBBB,PTT
BPB,TTTPPTTTBB,TTB
TBT,PPPTTPPPBB,PBP
TBT,BBBTTPPPTT,BPB
PTP,BBPPPTTPPP,BTP
BPB,PPTTTPPBBB,PTT
PBT,BBTTTPPBBB,TBB
PBP,BBBTTPPPBB,PBB
BPB,TTTPPBBBTT,PTP
PTB,PPPBBTTTBB,TTT
PPB,TTPPPBBTTT,PTT
BBP,TTTBBTTTBB,TTP
PTP,BBBTTBBBPP,TTP
TBP,TTPPPBBPPP,TTB
PPP,TTTPPTTTBB,TTB
TP,TTPPPTTPPP,TTT
TBB,TTPPPTTPPP,TPB
TT,BBPPPBBPPP,TTB
PBT,PPPTTPPPTT,PPP
BPT,BBTTTPPBBB,TPB
TBT,PPTTTBBTTT,BTP
TPT,BBPPPTTPPP,TBB
TBT,PPPTTPPPTT,BTB
TPT,BBBPPTTTPP,BTB
BTB,PPBBBPPBBB,TPB
PTP,TTPPPBBTTT,PPT
TBP,TTBBBTTPPP,BBT
BBB,TTTPPBBBTT,BTT
PTB,PPPBBPPPTT,PTT
BTB,PPPBBPPPBB,PBT
BBB,PPTTTPPBBB,PPT
PTB,PPPBBTTTPP,TBT
PBT,PPBBBTTPPP,BBT
PTT,BBPPPTTBBB,TPP
TBT,BBPPPBBTTT,BBT
TPT,PPTTTPPTTT,
PTB,PPPBBTTTPP,TBB
PBT,BBBPPTTTBB,P
BPT,PPPTTBBBTT,PPP
PBT,BBBTTPPPTT,PPP
TBB,PPBBBPPTTT,PPP
TBP,BBPPPTTPPP,BPP
TTB,PPPBBTTTPP,BBP
BTP,TTBBBPPTTT,PTB
PTB,PPPBBPPPTT,BBT
BBP,BBTTTPPTTT,PTB
TPT,PPTTTPPBBB,PTB
TBP,TTPPPBBPPP,BPT
TBB,PPTTTBBTTT,PBB
TTB,TTPPPBBPPP,BTP
TBT,BBBTTPPPTT,PBT
TPT,BBBTTBBBPP,BT
BBB,PPPBBPPPTT,PBT
TPB,TTPPPBBTTT,BTP
TBP,TTBBBTTBBB,TTP
BBB,TTTBBPPPTT,BTP
PBP,TTTPPTTTBB,PTT
PPT,PPBBBTTBBB,PBB
BBP,TTTPPTTTBB,PTB
BPP,TTPPPBBTTT,PPB
B,TTTPPBBBTT,PBP
PPB,PPPBBTTTBB,PTT
TBP,TTTPPTTTPP,BTB
PPB,PPTTTPPTTT,BPT
PPB,PPTTTPPTTT,BBB
BBT,PPTTTPPBBB,PPB
TPB,PPPBBTTTBB,PPB
BTP,TTTBBPPPBB,PBB
PBP,BBBPPBBBTT,PBB
PBT,BBBPPBBBTT,PPB
BBP,BBTTTBBPPP,TTB
TTP,TTPPPTTPPP,TTB
BPT,BBTTTPPBBB,PBT
BBB,PPBBBTTBBB,PTT
BTT,BBTTTBBPPP,
PBT,PPBBBTTPPP,TPP
PTP,BBPPPBBPPP,BPP
PTP,BBPPPTTBBB,TBP
PPT,BBBPPBBBTT,BBT
BTB,TTTBBPPPTT,BPB
PBT,BBBPPBBBTT,PBP
BTP,TTPPPTTBBB,PPT
,TTBBBPPBBB,TBP
BBT,BBTTTBBTTT,BB
TTP,TTBBBPPBBB,TBT
BTB,TTPPPBBPPP,TBB
PTT,PPBBBPPTTT,PBT
BPB,TTTPPTTTPP,BTP
PTB,PPPTTBBBTT,PPP
PPT,PPTTTPPBBB,TTT
TPB,TTPPPBBTTT,BPT
PTP,BBBPPBBBTT,BPB
BTP,BBTTTPPBBB,TTB
TBB,PPBBBTTPPP,TTT
TBT,BBBTTPPPBB,PTB
TPT,PPPBBTTTPP,BPT
PTB,PPPTTPPPBB,PTB
BPT,PPPBBTTTBB,PTT
TPT,PPPBBPPPBB,PPT
PPT,PPPBBTTTBB,TBP
TTB,PPPTTPPPTT,BPB
BPT,BBPPPTTPPP,T
TPP,BBPPPTTBBB,TBP
PBT,PPBBBTTBBB,TTP
TPB,PPBBBTTPPP,BTB
BPT,PPPBBTTTBB,PBP
TP,TTPPPTTBBB,PPB
BBP,BBBTTPPPBB,PTP
TBT,BBTTTPPTTT,PTP
PTT,PPTTTPPTTT,BBB
PBB,PPBBBPPTTT,BTP
TBP,TTBBBTTBBB,TTB
PPT,BBBTTPPPBB,PBP
TPT,BBTTTPPBBB,TPT
TPB,PPBBBPPBBB,PBB
BTT,PPBBBTTPPP,TTT
PBP,BBPPPTTBBB,TPB
BPT,BBBTTPPPBB,TTB
PPP,TTBBBTTBBB,TT
TBP,BBBPPTTTBB,TTP
PPB,PPPBBTTTBB,TBB
PTT,PPTTTBBPPP,TTB
PTP,BBPPPBBTTT,BBT
TBT,BBBTTBBBTT,PTP
PBP,BBPPPTTPPP,TTP
TTB,TTTPPTTTPP,TBT
PPT,PPTTTPPBBB,TPT
PPB,TTTBBPPPTT,PPT
BPT,BBPPPBBTTT,PTT
PTB,PPPBBPPPTT,BPT
TPP,BBPPPTTBBB,PTT
TPB,PPPTTBBBPP,BBB
BBP,TTBBBPPBBB,PTP
TPB,PPBBBPPTTT,BPP
TTP,BBBTTPPPTT,PTT
TBP,BBTTTBBPPP,BBT
BTB,TTPPPTTBBB,TPP
BP,BBPPPTTPPP,BPB
PTT,PPTTTPPBBB,TBP
BTT,PPBBBTTBBB,PBB
PPP,BBBTTPPPTT,BTP
TBP,BBPPPBBTTT,PBB
PTB,PPTTTBBPPP,
TTB,TTBBBTTPPP,TBT
BTP,BBBPPTTTBB,PTP
PTP,BBPPPBBPPP,TPP
TB,PPPTTPPPTT,BTP
TBT,PPPBBPPPBB,
BPT,BBPPPBBTTT,PPB
BTP,BBTTTBBTTT,BTT
TPB,PPBBBPPTTT,PPP
PTP,TTPPPBBTTT,BBT
TTT,BBBTTPPPTT,BBT
BTB,TTBBBTTBBB,PBB
PPT,BBTTTPPBBB,TP
TPB,TTBBBTTBBB,TPT
BBT,PPTTTBBPPP,TTP
,TTTBBPPPBB,TBB
TBP,BBTTTBBTTT,PTP
PTB,PPBBBTTPPP,TTP
TTB,TTTPPBBBPP,BPT
BPB,TTTBBPPPTT,BBT
TPB,PPTTTPPBBB,TTP
TBP,TTPPPTTPPP,BBP
TB,TTTPPTTTPP,TTT
TBP,TTTPPBBBPP,
TTB,TTPPPTTPPP,TTP
TPP,BBPPPTTBBB,PPB
BBB,PPPBBPPPBB,PPP
BBP,TTTBBPPPBB,PTT
BBB,PPBBBPPBBB,TTP
BBT,PPTTTBBTTT,PPB
BBT,BBPPPTTBBB,TPP
BTB,TTTBBTTTPP,TTT
,TTTBBPPPTT,PPT
TTP,TTBBBPPTTT,BBP
PTT,BBPPPTTBBB,TBB
TTP,TTTPPTTTPP,BTT
TTP,TTBBBPPBBB,TTB
BPT,BBPPPTTPPP,BTB
BTB,PPBBBPPTTT,BTB
,PPPTTPPPTT,BPB
TPB,TTTPPTTTPP,BBB
BPB,TTBBBTTPPP,TTB
BPB,PPBBBTTPPP,BPP
BBB,TTTPPTTTPP,BBP
PPB,TTTPPTTTBB,TPT
PTT,PPBBBTTBBB,PBT
TBT,PPTTTPPBBB,TTP
TBP,TTPPPTTPPP,BBT
BP,TTPPPBBPPP,BTP
TTB,TTBBBTTBBB,
BPT,PPBBBPPTTT,BTP
TTP,TTTBBTTTPP,TB
TPB,TTTPPBBBTT,PBT
PPP,TTTBBPPPTT,PPB
BTB,PPTTTPPTTT,BBP
PPB,TTBBBTTBBB,PPT
PTB,TTPPPTTBBB,TTB
PPT,BBBTTBBBTT,BPB
TPT,PPTTTPPBBB,TBP
P,BBPPPTTPPP,BPT
T,PPBBBPPBBB,TTT
BBT,BBPPPBBTTT,BBP
PPB,TTPPPBBTTT,
TTB,PPPTTPPPTT,PPB
PPP,BBPPPTTBBB,PTP
TBP,BBBTTPPPTT,BBB
TPB,PPBBBTTBBB,TTB
TBT,BBBPPBBBTT,BPP
BBT,PPTTTPPTTT,PBP
PTP,BBBPPBBBPP,TPP
BPB,TTTPPTTTBB,PPP
TPT,PPPBBTTTBB,PBT
PTB,PPPBBTTTPP,BBT
TBT,BBTTTBBPPP,BPP
TPT,BBTTTBBPPP,BPB
TBP,TTTPPBBBTT,PBT
TBP,BBPPPTTPPP,TTP
BPP,BBTTTPPTTT,BBP
TBP,TTTPPTTTPP,T
PBB,PPTTTBBTTT,BBP
BBT,BBTTTPPBBB,TBT
PBT,BBBPPBBBPP,TTB
PTT,BBTTTPPBBB,PTB
TPB,PPBBBTTBBB,PBT
BPP,TTPPPBBPPP,TTP
TTT,BBBPPTTTBB,PBT
PTT,BBTTTPPBBB,TBT
TPP,TTPPPBBTTT,BTT
TTB,TTBBBPPTTT,BPB
TBP,TTTBBTTTBB,TBT
BBB,TTTBBPPPTT,BPP
PBP,TTTBBTTTBB,
TBB,TTBBBTTBBB,TBT
TPT,PPPBBPPPBB,PBP
TTP,BBBTTPPPTT,BPB
PPP,TTTPPTTTPP,
PTT,BBPPPBBTTT,PTP
BPB,PPPTTBBBPP,TBP
PPB,PPBBBPPBBB,PBB
BPB,TTTPPBBBTT,PTB
PPB,PPTTTBBPPP,TBT
PTB,TTPPPBBPPP,TBB
PPT,PPTTTBBPPP,TTP
TBP,BBBTTPPPBB,TPP
PPP,BBBTTBBBTT,PTT
PPB,TTBBBPPTTT,PPP
PTP,TTPPPTTBBB,PPT
BTP,TTTPPTTTBB,TTP
BPT,BBTTTPPBBB,
BBB,PPTTTPPTTT,PBP
TPT,BBTTTPPTTT,BBT
TTT,BBTTTPPTTT,PPP
,BBBPPBBBPP,BTP
PTP,TTTPPBBBTT,PTB
PPP,BBBTTPPPTT,PBB
BTB,PPTTTPPTTT,BBB
PBT,PPPTTBBBTT,BTB
BBT,PPPTTPPPBB,PPB
PPT,PPPTTPPPBB,PPB
,TTTBBPPPTT,PPP
BBB,PPPTTPPPTT,PPB
BBP,TTBBBPPBBB,PPT
T,PPTTTPPTTT,BBP
,TTBBBTTPPP,BPB
BPT,BBBPPTTTBB,TPB
PTP,BBTTTPPBBB,TPP
,TTTPPBBBPP,BPP
BPP,BBTTTBBPPP,BBB
BBB,TTTBBPPPBB,T
BPP,BBTTTPPBBB,TBT
PBP,BBPPPTTPPP,BBP
PBT,BBBTTPPPTT,BPT
PBT,PPPTTBBBTT,PTT
BTP,TTPPPBBPPP,TPT
PPT,BBBPPBBBPP,TBB
PPT,BBPPPTTPPP,BPB
BTT,BBPPPBBPPP,BPT
BPP,TTBBBPPTTT,BTP
PPP,TTBBBPPBBB,PBB
TTP,TTBBBPPTTT,B
BPP,TTPPPBBTTT,PPT
TTP,TTPPPBBTTT,P
PBP,BBTTTPPTTT,BPT
PBP,BBPPPTTBBB,TTT
BBP,BBTTTPPTTT,BPT
,BBBTTPPPTT,PPT
BBT,PPBBBPPBBB,PBB
TBP,BBPPPTTBBB,TBP
TPB,TTPPPTTPPP,TPP
PPP,BBBPPBBBPP,TBP
BPP,TTBBBPPTTT,BBB
TBP,TTTBBPPPBB,PPB
BPT,BBPPPBBPPP,BTT
TTP,TTTBBTTTPP,BTP
BTP,TTTBBTTTPP,TTT
BPB,TTBBBTTPPP,BBT
TTP,BBTTTPPTTT,BBB
TBT,PPPBBPPPBB,PTB
BTB,TTPPPTTBBB,PTT
BTT,PPTTTPPBBB,TPT
BPP,BBTTTPPBBB,TTB
PBP,TTPPPBBTTT,BTB
TPB,PPPTTPPPBB,TBP
P,BBTTTPPTTT,BBP
TBP,BBPPPTTPPP,BBP
,TTPPPBBTTT,BPT
,PPPBBPPPBB,PBT
BPP,BBPPPBBTTT,PBB
PTP,TTBBBPPTTT,BTP
BTB,TTPPPBBPPP,TBT
PPB,TTBBBPPTTT,PPB
PBT,PPPBBTTTBB,PTP
TBB,TTBBBPPTTT,PTP
PTP,BBTTTPPBBB,TTT
BBB,PPTTTPPTTT,BTB
BTP,BBPPPTTPPP,TPB
PBT,PPBBBPPTTT,PTT
PTB,PPTTTPPBBB,TTT
BTT,BBTTTBBPPP,TTT
TTT,PPBBBPPTTT,PTT
PTP,TTTBBPPPTT,PBB
PBP,TTBBBTTBBB,PPB
PTP,BBPPPBBPPP,BBP
TTB,PPTTTBBTTT,PPT
B,TTPPPBBTTT,BBT
TPB,TTTBBTTTPP,BTP
TBT,PPPBBTTTBB,TBB
PBT,PPTTTPPTTT,PBT
PPT,PPTTTBBTTT,BPT
PPB,PPPTTPPPBB,PBB
BPT,PPPTTBBBTT,BPP
PPP,TTTBBPPPBB,TPT
BTP,TTTPPBBBTT,PTP
BBT,BBTTTPPTTT,PPT
PPB,TTBBBTTBBB,
TPT,PPBBBTTBBB,TPB
PTB,TTBBBPPTTT,PPT
TTB,PPPTTBBBPP,TBT
PTB,TTBBBPPBBB,PPP
PTB,TTPPPBBTTT,PPT
BTB,TTTPPBBBTT,BTT
PPP,BBTTTBBPPP,TTP
BPT,BBTTTPPBBB,TTT
PBB,TTPPPTTPPP,TBB
PTP,TTTBBTTTPP,TBT
PTP,BBBTTPPPTT,PPT
PPB,PPPTTPPPBB,TPT
P,BBBPPTTTPP,TTB
TTB,PPPBBPPPTT,BPT
PBT,BBTTTPPTTT,BPB
PBT,PPPTTPPPTT,PTP
PPP,BBBPPBBBPP,BPB
TTB,PPTTTBBPPP,BBP
TTB,TTTPPBBBTT,PBP
TBB,TTPPPTTPPP,TPT
PTT,PPBBBTTPPP,
BTP,BBTTTBBPPP,TTT
TPB,PPPTTBBBPP,TBT
BBT,BBBPPTTTBB,TBB
,BBPPPBBTTT,PPB
TBP,BBBPPTTTPP,BPP
TTB,PPBBBPPTTT,PPP
PBT,PPBBBTTBBB,PBP
TBP,BBPPPTTPPP,TTB
BBB,PPPBBTTTBB,TTT
BBP,TTTPPTTTPP,BTB
TTT,BBBTTPPPBB,PPP
PBT,PPPTTBBBPP,BBB
PBB,PPBBBPPTTT,PPB
,BBBTTPPPTT,PTB
P,TTTPPBBBTT,PPT
TBB,TTPPPTTPPP,TBP
BBP,TTTPPBBBPP,BPT
PBP,BBPPPTTPPP,BTT
BPB,TTTPPTTTPP,TPT
PTP,BBPPPBBTTT,PPB
PTP,BBPPPBBTTT,PTT
TBP,TTPPPTTPPP,BPP
PBB,PPBBBTTBBB,PTT
TBT,BBBTTBBBPP,BBB
TBT,BBPPPTTPPP,BPB
PBT,BBBTTBBBTT,PPB
TPT,PPPBBPPPBB,TBB
PBT,PPPBBPPPTT,BTP
TPB,PPBBBPPTTT,
TPT,BBPPPTTBBB,PBT
PBB,TTBBBTTBBB,PTP
PBP,BBPPPBBTTT,PTB
PPT,BBBPPTTTBB,PPB
TBP,TTTPPBBBPP,TBP
BBT,BBBTTBBBPP,BTP
TPB,TTTBBTTTBB,PPB
PTB,PPBBBPPTTT,BBP
PBB,TTPPPTTPPP,TBT
BTB,TTTPPTTTPP,TTT
PPT,BBBTTBBBPP,TPP
TBT,PPBBBPPTTT,BTB
BBT,PPBBBPPBBB,PTB
PBT,BBTTTBBPPP,BBT
BTT,PPTTTBBPPP,BBP
TTB,PPBBBTTPPP,BTT
BPT,PPPTTPPPBB,TTT
PTP,BBBTTPPPTT,BTT
TTT,BBPPPTTBBB,TPB
PTP,BBBPPTTTPP,BPB
PTP,BBPPPTTBBB,TTT
B,PPPTTBBBTT,BBT
TPP,BBTTTPPBBB,TTT
PTP,TTBBBPPBBB,
BTP,TTTPPBBBTT,BPP
PPP,TTTPPBBBTT,BTT
BBB,PPPBBPPPBB,PPT
BPB,PPTTTBBPPP,BTB
TBP,BBPPPTTBBB,T
TPB,PPPTTPPPTT,PTT
TBT,BBTTTPPBBB,PBT
BT,BBPPPTTPPP,BTB
TBB,TTPPPBBTTT,PPP
TTB,PPTTTPPTTT,P
PTB,TTTPPTTTBB,PPT
BBB,PPPBBTTTPP,TTT
PPP,BBBTTBBBTT,PBT
BTB,TTTPPTTTPP,TTB
BPB,PPPTTPPPBB,TPT
BPT,PPBBBTTBBB,PTT
BBP,BBPPPTTBBB,PTT
BPP,TTPPPTTPPP,BTB
T,PPPTTPPPBB,TPP
PBP,BBBTTBBBTT,BBB
TPP,BBTTTBBTTT,PP
TBP,BBBTTPPPTT,BPP
TTB,TTTPPBBBTT,PPT
TBP,TTTPPTTTPP,TBP
BTT,BBPPPBBTTT,BTT
PTP,TTBBBTTBBB,PPP
BTT,PPTTTPPBBB,PPB
TTP,TTTPPBBBTT,BTB
BPB,PPPBBPPPBB,PTP
PPT,BBPPPBBTTT,BBP
PBT,PPPTTBBBTT,PBP
BPB,TTTBBPPPTT,BPB
TPT,PPTTTPPBBB,TTB
PPP,TTTBBTTTPP,BPB
,TTPPPTTBBB,PBB
TPB,PPBBBTTPPP,BBB
BBP,BBTTTPPTTT,BPB
BBT,BBBPPTTTBB,TTB
BBP,TTTPPTTTBB,PBP
BBT,BBPPPTTBBB,PBP
TTB,TTPPPBBTTT,PPP
BBT,PPPTTBBBTT,BBT
BBB,TTTBBPPPBB,TTT
TTB,TTTPPTTTBB,PBP
TTP,TTPPPTTPPP,TPB
TPB,PPTTTBBTTT,BBB
TP,TTTPPBBBPP,BTP
PBT,PPTTTBBTTT,PPB
TPB,PPPTTBBBTT,BBB
PBP,TTBBBPPTTT,BBB
BBT,PPTTTBBPPP,BTP
PPB,TTTBBPPPBB,PTT
BBB,TTTBBTTTBB,
PPT,BBTTTPPBBB,TTP
BBT,PPPBBPPPBB,TBP
BPB,TTTPPTTTBB,TBP
BBP,TTTPPTTTPP,BBB
PPP,TTTBBPPPTT,BPT
BTT,PPTTTPPBBB,PBP
PBT,BBPPPBBTTT,PBT
TTB,TTTPPTTTBB,PT
TTB,TTTBBPPPBB,PPB
BTP,BBTTTPPTTT,PBB
TPB,TTPPPTTBBB,TTB
PPP,BBTTTPPTTT,BBP
BTB,PPPTTBBBTT,BTT
TBB,TTBBBPPTTT,BPB
PBP,TTTPPTTTPP,BTT
PBT,PPPTTBBBTT,BBT
BBP,TTTPPTTTBB,PPB
TPB,TTPPPTTBBB,PTP
PBT,BBPPPTTBBB,TPP
TBP,TTTBBTTTBB,PBP
BPT,BBBTTBBBTT,
B,PPPTTPPPTT,BBP
PTB,PPPTTBBBPP,BTB
BBB,TTTBBTTTBB,PPT
TBP,TTPPPBBTTT,BBP
PBP,TTTPPBBBTT,PBB
TTP,BBBTTBBBPP,BTP
TBB,TTBBBPPBBB,PTB
TBP,TTTBBPPPBB,TPB
PBP,TTPPPTTPPP,TBB
PTB,PPBBBTTBBB,TTP
BTP,TTTPPTTTPP,TBP
PTT,PPTTTPPTTT,BBT
PPT,PPPTTPPPBB,TBB
PBT,BBBTTBBBPP,TBP
PTP,TTTBBTTTBB,
BTP,TTBBBTTPPP,BPB
TBB,PPBBBPPBBB,TBB
PBB,TTPPPTTPPP,TPP
TPB,PPBBBPPBBB,PTB
BTP,BBPPPBBTTT,PPP
PBT,PPPTTPPPTT,PTB
BPB,PPPBBPPPBB,TPB
PTB,PPTTTPPTTT,P
BTP,BBBTTBBBTT,BPP
BBP,BBBTTPPPBB,PBP
TTB,PPTTTBBPPP,TTT
PPT,BBPPPTTPPP,BTB
PPB,TTPPPTTPPP,TBT
PTP,BBTTTPPBBB,TBT
TPB,TTTPPTTTBB,PPB
TBB,PPTTTPPTTT,BPT
BPB,PPTTTPPTTT,PBB
BPT,PPPTTBBBTT,PPT
TTT,PPPBBPPPBB,TTT
BBT,PPTTTPPTTT,BPT
BBP,BBTTTBBTTT,BBB
TTB,PPBBBPPBBB,PBT
BPT,BBBPPBBBTT,PPP
PBT,BBBTTBBBPP,TBT
TTT,BBBTTPPPTT,BPB
PTB,PPPTTPPPBB,PBT
TBT,BBTTTPPTTT,PBB
BBB,PPPBBTTTBB,TBB
TBT,PPBBBPPTTT,PTT
PPB,TTBBBPPBBB,TTB
BBP,BBBTTBBBPP,TBT
BTT,PPTTTPPBBB,PPT
PTT,BBTTTBBTTT,PTT
BTP,TTPPPTTBBB,PBP
TTP,BBBTTPPPTT,BTT
BTB,PPPBBTTTPP,BTB
TTP,BBTTTPPTTT,PPT
TTP,BBBPPTTTBB,TPB
BBB,PPPTTPPPTT,BPP
PBP,TTTBBTTTPP,BBP
BPT,BBBPPBBBPP,BPT
PPT,PPPBBPPPTT,PTB
TTP,TTPPPTTBBB,TBB
BBT,PPPBBTTTBB,
PPB,TTPPPTTBBB,
BPT,PPPBBTTTBB,TPT
PP,BBPPPBBTTT,PTB
TTP,TTBBBTTBBB,PBP
PBT,BBTTTPPTTT,BBT
PBP,BBTTTBBTTT,PTP
BBP,TTTPPTTTBB,TPB
PPB,TTTPPBBBPP,BPP
TBT,PPBBBTTBBB,PPB
PBT,BBTTTBBPPP,TPB
PPB,PPPBBTTTBB,TPB
TBT,BBTTTBBPPP,TTP
PPT,BBBTTPPPTT,PBB
BTB,TTPPPTTBBB,PBP
BBB,TTTPPTTTBB,TTB
TTT,PPPBBTTTPP,TTT
BBB,TTBBBTTBBB,PPT
TPP,TTBBBTTBBB,PTT
TTB,PPPTTBBBTT,BPP
PTT,PPBBBTTPPP,BTT
BPB,PPPTTPPPBB,TBT
,BBPPPTTPPP,BPP
BPT,BBBPPTTTPP,TPT
TBP,BBPPPTTPPP,TPT
TTT,BBPPPTTPPP,BTB
PBT,PPPTTBBBPP,TTB
BBP,BBTTTBBPPP,TPT
BTB,PPPTTPPPTT,PBT
BBB,TTTBBTTTBB,TBP
BPT,BBBPPTTTBB,PBT
BTT,BBPPPBBTTT,PPT
TBT,PPPTTPPPBB,TBP
TTB,TTPPPBBTTT,BTB
BTP,BBPPPTTBBB,TPT
PPP,BBBPPTTTPP,TTT
BBP,TTBBBPPBBB,PBT
TBT,BBPPPBBPPP,BTP
PTB,TTBBBPPTTT,BPB
TBP,TTBBBTTPPP,TPT
TBB,TTPPPBBPPP,BBB
TTP,BBPPPBBTTT,BPP
BPT,BBTTTPPBBB,PTT
BTP,TTBBBTTBBB,PTP
BTP,BBBPPTTTBB,TTT
BTP,BBTTTBBPPP,TPP
PTB,TTTPPTTTPP,BTP
BPB,PPPBBTTTBB,TPP
BPT,PPBBBTTBBB,TPP
P,BBBTTBBBTT,PBB
TTP,TTTPPBBBTT,PPB
PBT,PPBBBPPBBB,PPT
PBT,BBPPPBBPPP,TTP
TBB,TTBBBTTBBB,PTB
TPB,TTTPPTTTPP,TTB
PTB,TTTPPTTTBB,PBP
BBB,TTTBBTTTBB,TPP
TPB,TTPPPTTPPP,BBB
TBB,TTPPPBBPPP,BTT
TTB,PPTTTPPTTT,PTT
BTP,TTBBBPPTTT,PPB
BBP,BBBPPTTTBB,TBP
BBP,TTPPPBBPPP,BTB
TBP,TTBBBPPBBB,TPP
TTP,BBTTTPPTTT,PBB
PBP,TTPPPBBTTT,BPP
PTP,TTPPPTTBBB,TT
PBB,TTBBBPPBBB,PPT
TPT,PPPBBTTTBB,TBT
TPP,TTPPPTTPPP,TTT
PPB,PPTTTBBPPP,BBB
PPP,TTTBBPPPBB,TTP
,PPTTTBBPPP,TPT
PBP,BBBPPBBBTT,PBT
BBB,PPPTTBBBTT,PBB
,TTTBBPPPBB,PTB
TBT,BBBPPTTTBB,TPT
PPT,PPBBBTTBBB,PTB
TBT,BBBTTBBBTT,BPT
TPB,TTBBBPPTTT,PTB
TTB,PPTTTBBPPP,BTT
PPB,PPPTTBBBTT,PBB
BBB,PPBBBTTPPP,TBT
TTT,PPPTTPPPBB,TTT
TBP,BBBPPBBBTT,PPT
PBT,PPTTTPPTTT,PBP
PTP,BBPPPBBTTT,PTB
TTB,TTBBBTTBBB,TBP
TPT,PPTTTPPBBB,PBP
BBT,BBBTTBBBTT,PBB
BPT,BBBTTBBBTT,BPB
PPB,PPTTTPPBBB,TPT
TTT,PPPBBPPPTT,PPP
TBT,PPTTTBBPPP,BTB
PPT,PPTTTBBTTT,PBT
PTP,BBTTTBBPPP,TPB
BPT,BBPPPBBTTT,PTB
TPP,TTPPPTTPPP,BTT
BTB,PPPTTPPPTT,BPP
TPT,PPBBBTTBBB,T
BBP,TTTPPTTTBB,PTT
TPB,PPBBBTTPPP,
TBP,BBTTTBBPPP,BTP
BBP,BBTTTPPBBB,PTT
PPT,PPTTTBBTTT,PBB
PPB,TTTBBPPPBB,TPB
BBT,BBTTTBBPPP,BPB
PBT,PPPBBTTTPP,TBB
TBB,PPBBBTTBBB,TTT
TBT,BBTTTPPBBB,PBB
BTT,BBPPPBBPPP,TTT
PTB,PPPTTPPPTT,PBT
PTP,BBBTTBBBTT,PBT
TPP,TTPPPBBPPP,TTT
TPB,TTPPPBBPPP,TPP
PBT,BBBTTBBBPP,TBB
PTB,PPPBBPPPBB,TTT
PBB,TTPPPBBTTT,PPB
PPT,BBBPPBBBTT,PTP
TPB,PPTTTBBPPP,TTB
BPB,PPPBBPPPBB,TBT
BPT,BBBPPTTTBB,TBP
PBP,BBTTTPPBBB,TTT
BBT,BBBTTPPPBB,TPB
TPP,TTBBBTTPPP,
BBT,PPTTTBBPPP,BTB
TPT,BBBTTBBBPP,BPB
PTP,TTTBBTTTPP,TTP
BTP,BBBTTPPPBB,PTP
TTB,PPPBBTTTPP,TT
BPB,PPPTTPPPTT,BPP
PPP,TTBBBPPTTT,BTT
BTB,PPBBBPPTTT,BBT
PBP,TTTPPBBBTT,BBT
BBT,BBTTTPPTTT,
TTP,TTPPPTTBBB,PBP
TTP,BBBTTBBBPP,BBP
TBT,BBPPPTTBBB,PTB
PPT,PPPTTBBBTT,BPB
PBP,BBBTTPPPTT,BPT
PBP,BBBTTPPPTT,BTT
PPP,BBBPPTTTPP,TPP
BTB,TTBBBTTPPP,BPT
TTP,BBBTTPPPBB,TBT
TPB,TTTPPTTTBB,PTB
PTB,PPPBBTTTBB,PPP
BPT,BBBPPTTTBB,TTT
BPB,PPBBBTTPPP,BBP
P,BBBPPBBBPP,TBP
TBP,TTTPPBBBTT,PTB
TBT,PPBBBPPTTT,BPB
PBP,TTPPPTTPPP,TTT
PPB,PPBBBPPBBB,TBP
TTP,TTTPPBBBPP,TPB
TPB,TTTBBTTTPP,TBP
PBT,PPTTTPPTTT,PPT
PTP,TTTBBTTTPP,BBT
PTT,BBTTTPPBBB,TB
TBT,BBPPPTTBBB,TBP
BBP,TTTBBTTTBB,PBT
TBT,BBBPPTTTBB,TBP
BBB,TTTBBPPPTT,PPT
TTB,TTBBBPPBBB,TBB
PBB,TTPPPBBPPP,TBB
TBT,PPPTTBBBTT,PTT
TTP,BBPPPBBPPP,TPB
PPT,BBPPPBBTTT,BBB
BBP,TTBBBTTPPP,BBB
PT,BBBTTPPPTT,BBP
PTT,PPTTTBBPPP,TBP
BBT,PPPTTPPPTT,PBP
,BBBTTBBBTT,BPB
BBP,TTBBBTTPPP,TTB
BPT,BBTTTPPTTT,BPT
BBP,BBTTTBBTTT,PPB
PPB,TTTPPBBBPP,BTB
BPP,BBPPPBBPPP,BBP
BBB,TTPPPBBTTT,BTT
PBT,PPPBBTTTPP,BPT
BBP,TTBBBPPBBB,PPB
BBB,TTTPPBBBTT,PTB
BTB,PPPBBPPPBB,PTB
BBP,TTTPPTTTBB,TTP
B,PPBBBPPTTT,PBP
BTB,TTTBBTTTPP,TBB
BTB,TTTPPBBBTT,PPB
BBB,TTTPPBBBPP,TPB
BBT,BBBPPTTTPP,BBT
BBP,BBTTTBBTTT,PBB
T,PPPBBTTTPP,BTB
BBB,TTTPPTTTBB,PBP
TPT,PPTTTPPTTT,PBP
PTP,BBPPPBBPPP,TPB
