before,clash_cut,after,pattern
BBPPBB,PPBBPP,BBBBBP,2-2-2(t-cut)
PPBBPP,BBPPBB,BBBPPP,2-2-2(t-cut)
BBBBPP,PPBBPP,BBBBPP,2-2-2(t-cut)
BBPPPP,BBPPBB,BBPPPB,2-2-2(t-cut)
BPBPBP,BBPPBB,PBPBPP,2-2-2(t-cut)
BPPPPB,BBPPBB,BBBPBP,2-2-2(t-cut)
PPBPPB,BBPPBB,PBBBPB,2-2-2(t-cut)
PBPPPP,PPBBPP,PBBBBP,2-2-2(t-cut)
PPBPBP,BBPPBB,BPBBBP,2-2-2(t-cut)
PBBBPB,BBPPBB,BPBPPP,2-2-2(t-cut)
BPBBBB,BBPPBB,PBBBBP,2-2-2(t-cut)
BBPPPB,PPBBPP,PBPPPB,2-2-2(t-cut)
BBBPPP,PPBBPP,BPBPPP,2-2-2(t-cut)
BBPPPB,BBPPBB,PPPPBB,2-2-2(t-cut)
PPPBBB,PPBBPP,PPBBPB,2-2-2(t-cut)
BPBBPP,PPBBPP,BBPBBB,2-2-2(t-cut)
BBPPPP,BBPPBB,PBBBBP,2-2-2(t-cut)
BPBBBP,BBPPBB,PPPPPB,2-2-2(t-cut)
BBBPBB,PPBBPP,PPPBBB,2-2-2(t-cut)
PBBBBP,PPBBPP,PPPBBB,2-2-2(t-cut)
BBBBBB,BBPPBB,BPBPPP,2-2-2(t-cut)
BBPBBP,BBPPBB,BPBBBB,2-2-2(t-cut)
PPBPPB,BBPPBB,BBBBBP,2-2-2(t-cut)
PPBBBB,BBPPBB,PPPPPP,2-2-2(t-cut)
BBBBBB,PPBBPP,PPPPPP,2-2-2(t-cut)
PPBBBB,BBPPBB,PPPPPP,2-2-2(t-cut)
BBBBBB,PPBBPP,PPPPPP,2-2-2(t-cut)
BBPBBP,PPBBPP,PBBBPP,2-2-2(t-cut)
PBPBBB,BBPPBB,PPPPBB,2-2-2(t-cut)
PBBBBB,PPBBPP,PPBBBP,2-2-2(t-cut)
BBBBPB,BBPPBB,BBPBPP,2-2-2(t-cut)
BBPBPP,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,PBBPPP,2-2-2(t-cut)
PPPBBP,PPBBPP,PBPPPB,2-2-2(t-cut)
BBBPPP,PPBBPP,PBPBBB,2-2-2(t-cut)
BBPBBP,PPBBPP,PPBBBP,2-2-2(t-cut)
PPBPBB,BBPPBB,PBBBPP,2-2-2(t-cut)
PPPBPB,PPBBPP,BBBPPB,2-2-2(t-cut)
PBPBPP,BBPPBB,BPPBPB,2-2-2(t-cut)
PPBPPB,PPBBPP,PPBBBB,2-2-2(t-cut)
PPPPBP,PPBBPP,BBBBBB,2-2-2(t-cut)
PPBPPP,BBPPBB,BBBBBB,2-2-2(t-cut)
BBBBBB,BBPPBB,BPPBPB,2-2-2(t-cut)
PPBPPB,PPBBPP,PPBBBB,2-2-2(t-cut)
PPPPBP,PPBBPP,BBBBBB,2-2-2(t-cut)
PPBPPP,BBPPBB,BBBBBB,2-2-2(t-cut)
BBBBBB,BBPPBB,BPPBPB,2-2-2(t-cut)
BBBBBP,BBPPBB,BBPBBB,2-2-2(t-cut)
PBBBBP,BBPPBB,BBPBBB,2-2-2(t-cut)
PBBBBB,PPBBPP,PPBPBB,2-2-2(t-cut)
PBBPPB,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,PPPPPP,2-2-2(t-cut)
PBBPPB,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,PPPPPP,2-2-2(t-cut)
PBBPBB,BBPPBB,PPPPBB,2-2-2(t-cut)
BPBBBB,PPBBPP,PPBBBP,2-2-2(t-cut)
BPPPPB,BBPPBB,BBPBBB,2-2-2(t-cut)
PPPBBP,BBPPBB,PPBBPP,2-2-2(t-cut)
PBBPBB,PPBBPP,BBPPBB,2-2-2(t-cut)
BPBBPP,BBPPBB,PPBBPB,2-2-2(t-cut)
PPPBBP,BBPPBB,PPBBPP,2-2-2(t-cut)
PBBPBB,PPBBPP,BBPPBB,2-2-2(t-cut)
BPBBPP,BBPPBB,PPBBPB,2-2-2(t-cut)
BBBPBP,PPBBPP,PBBPPB,2-2-2(t-cut)
PPPBBP,PPBBPP,BPPPBB,2-2-2(t-cut)
BBPPBP,PPBBPP,PBBBBP,2-2-2(t-cut)
BPBPPP,PPBBPP,PPBPBP,2-2-2(t-cut)
PPBBPB,PPBBPP,PPBBBP,2-2-2(t-cut)
PPBBBP,BBPPBB,BBPBPP,2-2-2(t-cut)
BBPPPB,PPBBPP,PBBPPB,2-2-2(t-cut)
BPPBBP,PPBBPP,BPPBPB,2-2-2(t-cut)
BBPPPB,PPBBPP,PBBPPB,2-2-2(t-cut)
BPPBBP,PPBBPP,BPPBPB,2-2-2(t-cut)
BBPBPP,PPBBPP,PPPPBP,2-2-2(t-cut)
PBBPBP,BBPPBB,BBPPPP,2-2-2(t-cut)
PPBBPP,PPBBPP,PBBBBB,2-2-2(t-cut)
PBBBBB,BBPPBB,BBBPBP,2-2-2(t-cut)
BBPBBP,BBPPBB,BPBBPP,2-2-2(t-cut)
BBBBPB,BBPPBB,BPBBPB,2-2-2(t-cut)
BBBPBB,BBPPBB,PPBBBB,2-2-2(t-cut)
BPBBBB,PPBBPP,BBBBBP,2-2-2(t-cut)
BBBBPP,BBPPBB,BBBPPB,2-2-2(t-cut)
PPPPPB,BBPPBB,BBBBPP,2-2-2(t-cut)
PPBBBP,BBPPBB,BPPBBB,2-2-2(t-cut)
PBBPPB,BBPPBB,BPPBPB,2-2-2(t-cut)
PPPPBP,BBPPBB,BBPBBP,2-2-2(t-cut)
PBBBBB,BBPPBB,BBBPPB,2-2-2(t-cut)
BPPPBP,BBPPBB,PBBPBB,2-2-2(t-cut)
BPBPBP,BBPPBB,BPBBPP,2-2-2(t-cut)
PPBBBP,BBPPBB,BBPBPB,2-2-2(t-cut)
BPPPBP,BBPPBB,PBBPBP,2-2-2(t-cut)
PPPPPB,BBPPBB,PBPPPP,2-2-2(t-cut)
PPPPPB,BBPPBB,PBPBBB,2-2-2(t-cut)
BBPBPP,PPBBPP,PPBBBP,2-2-2(t-cut)
BPBPPB,BBPPBB,PPPBBP,2-2-2(t-cut)
BPPBBB,PPBBPP,PBBPPP,2-2-2(t-cut)
BPPBBP,PPBBPP,PPPBPP,2-2-2(t-cut)
BPBPPB,PPBBPP,BBBBPB,2-2-2(t-cut)
BPPBPP,BBPPBB,BBPBBB,2-2-2(t-cut)
PPPPBP,PPBBPP,BBPBPP,2-2-2(t-cut)
PPBPPP,BBPPBB,PBPPBB,2-2-2(t-cut)
BBBBBP,PPBBPP,PBPBBB,2-2-2(t-cut)
BPPBPB,BBPPBB,PPBBBB,2-2-2(t-cut)
PBPBBB,PPBBPP,BBBBBB,2-2-2(t-cut)
PBBBPP,BBPPBB,BBBBBP,2-2-2(t-cut)
BPBBBP,BBPPBB,BPPPPP,2-2-2(t-cut)
BBBBPP,PPBBPP,BBPPPP,2-2-2(t-cut)
BBPPPP,BBPPBB,PPPPPP,2-2-2(t-cut)
PPPPBB,PPBBPP,PPPPBP,2-2-2(t-cut)
PPPPPB,PPBBPP,PBPPPP,2-2-2(t-cut)
PBBBPB,PPBBPP,PPPPBB,2-2-2(t-cut)
BPPPPB,PPBBPP,BBBPPP,2-2-2(t-cut)
PPPBPP,BBPPBB,BPPPBB,2-2-2(t-cut)
BPPPBB,BBPPBB,PBPPPB,2-2-2(t-cut)
BBPBBB,BBPPBB,PPBBBB,2-2-2(t-cut)
PBBBBB,PPBBPP,BBBBBB,2-2-2(t-cut)
BBBBPP,BBPPBB,BBBBBP,2-2-2(t-cut)
BBBPBP,PPBBPP,PPPPPP,2-2-2(t-cut)
PPBBBB,BBPPBB,BPBBBP,2-2-2(t-cut)
BBPBPP,PPBBPP,BBBPPB,2-2-2(t-cut)
PBPPPP,BBPPBB,BPPBBB,2-2-2(t-cut)
PBBPPB,BBPPBB,BBBBBP,2-2-2(t-cut)
PPBBBP,PPBBPP,PPBPPP,2-2-2(t-cut)
BBBBPP,PPBBPP,BPPBPP,2-2-2(t-cut)
PPBBPB,BBPPBB,PPPPBB,2-2-2(t-cut)
BBPBBB,PPBBPP,PPBBBB,2-2-2(t-cut)
BBPPBB,BBPPBB,BPBPPP,2-2-2(t-cut)
PPBBBP,PPBBPP,BBBBBB,2-2-2(t-cut)
BBBPPP,BBPPBB,BBBBBP,2-2-2(t-cut)
PBPBBB,BBPPBB,BPPPBB,2-2-2(t-cut)
PPBPPB,BBPPBB,BBPBBP,2-2-2(t-cut)
BBBBBB,BBPPBB,PBBBBP,2-2-2(t-cut)
BPPBPP,PPBBPP,BBPPBP,2-2-2(t-cut)
PBPPPP,BBPPBB,PPBPPP,2-2-2(t-cut)
PPPPBB,PPBBPP,BPPPBB,2-2-2(t-cut)
PPPPBP,BBPPBB,BBPPPP,2-2-2(t-cut)
BBBBPB,PPBBPP,PPBPBP,2-2-2(t-cut)
PBPPPP,PPBBPP,BBBBPB,2-2-2(t-cut)
PPPPPP,BBPPBB,BBPBBP,2-2-2(t-cut)
BPBBPB,BBPPBB,BBBBBB,2-2-2(t-cut)
PBBBPP,PPBBPP,BPPBPP,2-2-2(t-cut)
PBBPBP,PPBBPP,BBBBBB,2-2-2(t-cut)
BPBPPP,BBPPBB,BBBBBB,2-2-2(t-cut)
BBBPBB,BBPPBB,BBBBBB,2-2-2(t-cut)
BBBBPP,PPBBPP,PBBBPP,2-2-2(t-cut)
PBPPPB,PPBBPP,PPPBPB,2-2-2(t-cut)
PPPBBB,BBPPBB,BBPBPB,2-2-2(t-cut)
PPBBBP,PPBBPP,PBPBBB,2-2-2(t-cut)
BBBPBB,BBPPBB,BBPPBB,2-2-2(t-cut)
BBPPBB,BBPPBB,PPPBPB,2-2-2(t-cut)
PPBBBB,PPBBPP,PBPBPB,2-2-2(t-cut)
PBBBBB,BBPPBB,BBPPBP,2-2-2(t-cut)
PPBBBB,BBPPBB,BBPPPP,2-2-2(t-cut)
BPBPPB,BBPPBB,PBPPPP,2-2-2(t-cut)
PPPPPP,PPBBPP,PPPPBB,2-2-2(t-cut)
PBBBPB,BBPPBB,BBPBBB,2-2-2(t-cut)
BBBBPB,BBPPBB,BBPBBB,2-2-2(t-cut)
BBBPPP,PPBBPP,PBBPPP,2-2-2(t-cut)
PPPBBP,PPBBPP,PPPPPP,2-2-2(t-cut)
PPPPPP,PPBBPP,PPPPBB,2-2-2(t-cut)
PPPPBB,BBPPBB,BBBBBB,2-2-2(t-cut)
BPPPBP,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,BPPBPP,2-2-2(t-cut)
PPBPPP,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,BBBPPP,2-2-2(t-cut)
BBPPPP,BBPPBB,BPPPBB,2-2-2(t-cut)
PPPPPP,PPBBPP,BBBBBP,2-2-2(t-cut)
PPPPPP,BBPPBB,BBBPBP,2-2-2(t-cut)
BPBPPB,BBPPBB,BPPBBB,2-2-2(t-cut)
BBBPPB,BBPPBB,BBPPPP,2-2-2(t-cut)
PPPBBB,BBPPBB,BPPPBP,2-2-2(t-cut)
PPBBBB,BBPPBB,PPBBPP,2-2-2(t-cut)
BBBBBB,PPBBPP,BBPPPP,2-2-2(t-cut)
BBBBPP,BBPPBB,PPPPPP,2-2-2(t-cut)
BBPPBB,PPBBPP,PPPPPP,2-2-2(t-cut)
PPPPPP,PPBBPP,PPBBBB,2-2-2(t-cut)
BPPPPB,PPBBPP,PPBPPP,2-2-2(t-cut)
BPPPPB,PPBBPP,PPBPPP,2-2-2(t-cut)
PPPPBP,BBPPBB,PPPBPP,2-2-2(t-cut)
PPBPBB,PPBBPP,PBPPPB,2-2-2(t-cut)
PBPBBP,PPBBPP,PPBPPB,2-2-2(t-cut)
BPBBPB,BBPPBB,BBBBBP,2-2-2(t-cut)
BPBPPB,PPBBPP,PBPBPB,2-2-2(t-cut)
PPBPPB,BBPPBB,BBBPPP,2-2-2(t-cut)
PBBPPP,PPBBPP,PPPBBB,2-2-2(t-cut)
BBBPPP,PPBBPP,PPPBBB,2-2-2(t-cut)
BPPPPB,BBPPBB,PPBBBP,2-2-2(t-cut)
PPPBBB,PPBBPP,BBBPBP,2-2-2(t-cut)
PBBBPP,BBPPBB,BPBPPP,2-2-2(t-cut)
PPBPPP,PPBBPP,BBPBBB,2-2-2(t-cut)
BPPPPP,BBPPBB,PBBBBP,2-2-2(t-cut)
PPBPPB,BBPPBB,PBBPPP,2-2-2(t-cut)
PPPPBP,BBPPBB,PBPPPB,2-2-2(t-cut)
BBBBPP,PPBBPP,BPBPBB,2-2-2(t-cut)
BPBBBP,PPBBPP,PPBPPP,2-2-2(t-cut)
BBBBPP,PPBBPP,BBBBBP,2-2-2(t-cut)
BBPPPP,BBPPBB,BBBPBP,2-2-2(t-cut)
BBBBPP,PPBBPP,BBBBBP,2-2-2(t-cut)
BBPPPP,BBPPBB,BBBPBP,2-2-2(t-cut)
PBPBBB,BBPPBB,BBPBPB,2-2-2(t-cut)
PPBBPB,BBPPBB,BPPBPB,2-2-2(t-cut)
PPPPBB,BBPPBB,BPPPBB,2-2-2(t-cut)
PBBBPB,PPBBPP,PBPBPB,2-2-2(t-cut)
PBBPPB,PPBBPP,PPBPBB,2-2-2(t-cut)
PBPBPB,PPBBPP,PPBPBB,2-2-2(t-cut)
BBPPPP,PPBBPP,BPPBBB,2-2-2(t-cut)
BBBBBB,BBPPBB,BPPBPB,2-2-2(t-cut)
PPPPPP,PPBBPP,BPPBBP,2-2-2(t-cut)
BBPBPP,PPBBPP,PPPPPP,2-2-2(t-cut)
BPBPBP,PPBBPP,PPBBBB,2-2-2(t-cut)
PBBPPP,PPBBPP,PBPPPB,2-2-2(t-cut)
BBBBBB,BBPPBB,PPPBPB,2-2-2(t-cut)
BBBBBB,PPBBPP,PBPBBB,2-2-2(t-cut)
PPPPPP,BBPPBB,BBBBPB,2-2-2(t-cut)
BPBBBP,BBPPBB,BBBBBB,2-2-2(t-cut)
BPBBPB,PPBBPP,BBBBBP,2-2-2(t-cut)
BBPBPP,BBPPBB,BBBPBB,2-2-2(t-cut)
BBBBBP,BBPPBB,PBBPBB,2-2-2(t-cut)
BBPBBP,BBPPBB,BBPBBP,2-2-2(t-cut)
PPBBPB,PPBBPP,PBBBBP,2-2-2(t-cut)
PPPBBB,BBPPBB,BBPPPB,2-2-2(t-cut)
BPPPBP,BBPPBB,BPPPPP,2-2-2(t-cut)
PBPPBB,BBPPBB,PPPBPB,2-2-2(t-cut)
PPBBBB,PPBBPP,PBPBBP,2-2-2(t-cut)
PPBPBP,PPBBPP,BBBBPB,2-2-2(t-cut)
BPBPPP,BBPPBB,BBPBPB,2-2-2(t-cut)
BBPBPP,PPBBPP,PBBBBB,2-2-2(t-cut)
BBPBBB,BBPPBB,BBBPPB,2-2-2(t-cut)
BBBBPP,BBPPBB,BBBPPB,2-2-2(t-cut)
BPPBBB,BBPPBB,BBBBBB,2-2-2(t-cut)
BBPBPB,BBPPBB,BPBPPB,2-2-2(t-cut)
BBPPPP,PPBBPP,PBPBPP,2-2-2(t-cut)
BBPPPP,PPBBPP,PBPBPP,2-2-2(t-cut)
BBBPPP,PPBBPP,PBPBPP,2-2-2(t-cut)
PPPPPB,PPBBPP,BBBPBB,2-2-2(t-cut)
PPPBPP,BBPPBB,BPBBPP,2-2-2(t-cut)
PBPPPB,BBPPBB,BBPBBP,2-2-2(t-cut)
BPBBPB,BBPPBB,PBPPBB,2-2-2(t-cut)
PPBBPB,PPBBPP,BPPPPP,2-2-2(t-cut)
PPPBPB,BBPPBB,BBBPBP,2-2-2(t-cut)
BPBPPB,BBPPBB,BBPBBB,2-2-2(t-cut)
BPBBBP,BBPPBB,PBPBBP,2-2-2(t-cut)
PBBPBB,BBPPBB,PPPBBP,2-2-2(t-cut)
BPBBBB,PPBBPP,PBBPPP,2-2-2(t-cut)
BPPBBP,PPBBPP,PPBPPP,2-2-2(t-cut)
PBPPPB,BBPPBB,PBBPPP,2-2-2(t-cut)
BPPPBP,BBPPBB,BPBBPB,2-2-2(t-cut)
BBBPPP,PPBBPP,BBBPPB,2-2-2(t-cut)
BPPPPP,BBPPBB,BPPBBB,2-2-2(t-cut)
PBBPPB,BBPPBB,BPBBPP,2-2-2(t-cut)
PPBBBP,BBPPBB,PPPPPP,2-2-2(t-cut)
BBBPBB,PPBBPP,PPPPBB,2-2-2(t-cut)
PBBBBB,BBPPBB,PPBBBB,2-2-2(t-cut)
BBBBBB,PPBBPP,BBBBPP,2-2-2(t-cut)
BBBBPP,BBPPBB,BBPPBB,2-2-2(t-cut)
BBPPBB,BBPPBB,PPBPPB,2-2-2(t-cut)
PPBBBB,PPBBPP,BPPBPP,2-2-2(t-cut)
PPBBBB,BBPPBB,BBPBBP,2-2-2(t-cut)
PBBPBP,BBPPBB,BBBPBP,2-2-2(t-cut)
BPPPPB,BBPPBB,BBPBBP,2-2-2(t-cut)
BBBBPB,BBPPBB,PPBBBP,2-2-2(t-cut)
BBPBBB,PPBBPP,BBBPBB,2-2-2(t-cut)
PBBBPP,BBPPBB,BPBBBB,2-2-2(t-cut)
PBBBPB,BBPPBB,BBPBBP,2-2-2(t-cut)
PBBBPB,BBPPBB,BBPBBP,2-2-2(t-cut)
PBPPBP,BBPPBB,BBBBPP,2-2-2(t-cut)
PBPBPB,BBPPBB,BBPBBB,2-2-2(t-cut)
BBBBPP,PPBBPP,BPBPPB,2-2-2(t-cut)
PBBPPB,PPBBPP,BBPPPP,2-2-2(t-cut)
BPPBPP,BBPPBB,PPPPPB,2-2-2(t-cut)
PBPPBB,PPBBPP,PPPBBB,2-2-2(t-cut)
BBBBPB,BBPPBB,BBBBBB,2-2-2(t-cut)
BBBBBP,BBPPBB,PBBBPP,2-2-2(t-cut)
PBPPPP,PPBBPP,BBBPPP,2-2-2(t-cut)
PPPPPP,BBPPBB,BPPPBB,2-2-2(t-cut)
PBBBBP,PPBBPP,BPBBBB,2-2-2(t-cut)
PPBBBB,BBPPBB,BBPBPB,2-2-2(t-cut)
BBPPPB,PPBBPP,BPPBBB,2-2-2(t-cut)
PPBBPB,BBPPBB,PPBBBP,2-2-2(t-cut)
BBPBBB,PPBBPP,BBBPPB,2-2-2(t-cut)
PBBBPP,BBPPBB,BPPBPP,2-2-2(t-cut)
BBPPPP,PPBBPP,BBPBPP,2-2-2(t-cut)
PPPPPP,BBPPBB,PBPPBB,2-2-2(t-cut)
PPBBPB,PPBBPP,PPPBBP,2-2-2(t-cut)
PBBPPP,PPBBPP,PPBBBB,2-2-2(t-cut)
PBBBBB,BBPPBB,BBPPBB,2-2-2(t-cut)
BBPPBB,BBPPBB,PBBPBB,2-2-2(t-cut)
BPBBBP,BBPPBB,PPPBBP,2-2-2(t-cut)
BBBPBB,PPBBPP,PBBPBB,2-2-2(t-cut)
PBPPBP,BBPPBB,PPBBPP,2-2-2(t-cut)
PPBPBB,PPBBPP,BBPPBP,2-2-2(t-cut)
BPBBPP,BBPPBB,PPBPBB,2-2-2(t-cut)
BBPPBB,PPBBPP,BPBBPP,2-2-2(t-cut)
BBBBBP,PPBBPP,PPBBBB,2-2-2(t-cut)
BBBBPP,PPBBPP,PPBPPP,2-2-2(t-cut)
PBPPBP,BBPPBB,BPBPPP,2-2-2(t-cut)
PBBBBB,BBPPBB,PPBPPB,2-2-2(t-cut)
BBBBBB,PPBBPP,BPPBPP,2-2-2(t-cut)
BBBBBB,BBPPBB,BPBPBB,2-2-2(t-cut)
BBBBBB,BBPPBB,BBPBBP,2-2-2(t-cut)
PBBBPB,PPBBPP,PBBBPB,2-2-2(t-cut)
BBBBBB,BBPPBB,PPBBBP,2-2-2(t-cut)
BBBBBB,PPBBPP,BBBPPB,2-2-2(t-cut)
BBBBPP,BBPPBB,BPPBBB,2-2-2(t-cut)
PBBPPB,BBPPBB,BBBPPP,2-2-2(t-cut)
BPPPPB,BBPPBB,PPBPPB,2-2-2(t-cut)
PPPBBB,PPBBPP,BPPBBP,2-2-2(t-cut)
PBBPBB,BBPPBB,PBPBPP,2-2-2(t-cut)
PPBPBP,BBPPBB,PBBBPP,2-2-2(t-cut)
BPBBBP,BBPPBB,BBBPPP,2-2-2(t-cut)
PPPPPB,BBPPBB,BPBBPP,2-2-2(t-cut)
PPPPPP,PPBBPP,BPBBBB,2-2-2(t-cut)
BPBPPP,PPBBPP,BPBBPB,2-2-2(t-cut)
PPPPBP,PPBBPP,PPBPPB,2-2-2(t-cut)
BBBPBB,BBPPBB,PPBBPP,2-2-2(t-cut)
BPBBBB,PPBBPP,BBPPBB,2-2-2(t-cut)
BBBBPP,BBPPBB,PPBBBP,2-2-2(t-cut)
BBPPBB,PPBBPP,BBBPPB,2-2-2(t-cut)
PPBBPP,BBPPBB,BPPBPP,2-2-2(t-cut)
BPPPPB,BBPPBB,PPPBBB,2-2-2(t-cut)
PPPBBB,PPBBPP,PBBBBB,2-2-2(t-cut)
BPBPPB,PPBBPP,PBBPPP,2-2-2(t-cut)
BPPBBP,PPBBPP,PBBBPB,2-2-2(t-cut)
BPBBPB,PPBBPP,BPBPPB,2-2-2(t-cut)
PPBBBP,BBPPBB,BPPPBB,2-2-2(t-cut)
PPPBBP,BBPPBB,PPBPBB,2-2-2(t-cut)
PBBPBB,PPBBPP,BPBBBP,2-2-2(t-cut)
PPPPBP,PPBBPP,BPBPPP,2-2-2(t-cut)
PBPBBB,BBPPBB,PBPPBB,2-2-2(t-cut)
PBBBPB,PPBBPP,BPPBPB,2-2-2(t-cut)
BPBPPP,PPBBPP,PPBBBP,2-2-2(t-cut)
BPPPBP,PPBBPP,BPPPBB,2-2-2(t-cut)
BPBPPB,PPBBPP,PBPBPB,2-2-2(t-cut)
BPPPBP,PPBBPP,PBPBBB,2-2-2(t-cut)
PBBBBP,BBPPBB,BBBBBB,2-2-2(t-cut)
BBBBBB,BBPPBB,PPBPPB,2-2-2(t-cut)
BBBBBB,PPBBPP,BPPBBB,2-2-2(t-cut)
PPPBBP,PPBBPP,BBPPBB,2-2-2(t-cut)
PBBPPP,BBPPBB,PPBBBP,2-2-2(t-cut)
BPPPBB,PPBBPP,BBBPBP,2-2-2(t-cut)
PPBBPP,BBPPBB,BPBPPB,2-2-2(t-cut)
BBPPPB,PPBBPP,PBBBBP,2-2-2(t-cut)
BPPPPP,PPBBPP,PBPBPB,2-2-2(t-cut)
PBPBPB,BBPPBB,BBPPBB,2-2-2(t-cut)
BBPBPP,PPBBPP,BPBBBB,2-2-2(t-cut)
BPBBPP,PPBBPP,PPBBBB,2-2-2(t-cut)
BBBBBP,BBPPBB,PPPPBP,2-2-2(t-cut)
BBBPBB,PPBBPP,PPBPPP,2-2-2(t-cut)
BBBPBP,PPBBPP,PPPBPB,2-2-2(t-cut)
PPPPPB,BBPPBB,PPPPBP,2-2-2(t-cut)
PPPBBB,PPBBPP,PPBPBB,2-2-2(t-cut)
PBBBPP,PPBBPP,PBPBBB,2-2-2(t-cut)
BBPPBP,BBPPBB,PPBBBP,2-2-2(t-cut)
PPBPBB,PPBBPP,BBBPBB,2-2-2(t-cut)
BPBBPP,BBPPBB,BPBBBP,2-2-2(t-cut)
PBBBPB,BBPPBB,PBPPPB,2-2-2(t-cut)
BPPPPB,BBPPBB,PPBPBP,2-2-2(t-cut)
PPPBBB,PPBBPP,BPBPBB,2-2-2(t-cut)
PPBPBP,PPBBPP,BBBPPP,2-2-2(t-cut)
BPBPPP,BBPPBB,BPPPPB,2-2-2(t-cut)
PBPPBB,BBPPBB,PPBBBP,2-2-2(t-cut)
PPBBBB,PPBBPP,BBBPPP,2-2-2(t-cut)
BBBBPP,BBPPBB,BPPPBB,2-2-2(t-cut)
PPBBBP,PPBBPP,PBBBPP,2-2-2(t-cut)
BBPPPB,BBPPBB,BPPPBP,2-2-2(t-cut)
BBPPPB,BBPPBB,BBBPPP,2-2-2(t-cut)
PBPBBB,BBPPBB,BBBBBB,2-2-2(t-cut)
BBBBBP,PPBBPP,PPPPPB,2-2-2(t-cut)
PPPBBB,BBPPBB,PBPBBB,2-2-2(t-cut)
PBBBBP,BBPPBB,BBBPPP,2-2-2(t-cut)
BBBPPP,PPBBPP,BBPPPP,2-2-2(t-cut)
BPPPPP,BBPPBB,PPPPPP,2-2-2(t-cut)
PPPPBB,PPBBPP,PPPPPP,2-2-2(t-cut)
PBPBPB,BBPPBB,PBPBBP,2-2-2(t-cut)
PPPBBP,BBPPBB,BPBPBB,2-2-2(t-cut)
PPBPPB,BBPPBB,PBPPPP,2-2-2(t-cut)
PPBBBP,PPBBPP,PPPBPB,2-2-2(t-cut)
PPBPPB,BBPPBB,PBBPBB,2-2-2(t-cut)
PBPBBP,BBPPBB,BPPPBB,2-2-2(t-cut)
PPBPBB,BBPPBB,BBBBBB,2-2-2(t-cut)
PBBBBB,BBPPBB,BPBPPB,2-2-2(t-cut)
PPBPPB,BBPPBB,BBPPBP,2-2-2(t-cut)
PBBBBP,PPBBPP,BBBPPP,2-2-2(t-cut)
BBBPPP,BBPPBB,BPPPPB,2-2-2(t-cut)
BPBPPP,PPBBPP,PPPBBP,2-2-2(t-cut)
PBPPPB,BBPPBB,BBBBBP,2-2-2(t-cut)
BBBBBP,PPBBPP,BPBPBP,2-2-2(t-cut)
BPPPPB,PPBBPP,PBBBPP,2-2-2(t-cut)
BPBBBB,BBPPBB,BPPPPP,2-2-2(t-cut)
PPPPPB,PPBBPP,BBPPPB,2-2-2(t-cut)
PPPBPP,BBPPBB,PPPBBB,2-2-2(t-cut)
PBPPBB,PPBBPP,PBBBBB,2-2-2(t-cut)
PBBBBB,BBPPBB,PBPPPB,2-2-2(t-cut)
PBBPBP,PPBBPP,PPBPPP,2-2-2(t-cut)
BPPBBP,PPBBPP,PPPBBP,2-2-2(t-cut)
PBBPPP,PPBBPP,PPPPPP,2-2-2(t-cut)
PBBBBB,BBPPBB,BBPBBP,2-2-2(t-cut)
BBBBPP,PPBBPP,PPPPBP,2-2-2(t-cut)
PBBBBP,BBPPBB,PBBPPP,2-2-2(t-cut)
BPBBBP,BBPPBB,PPBPBB,2-2-2(t-cut)
BBBPBB,PPBBPP,BPBBBB,2-2-2(t-cut)
PBPBBB,BBPPBB,BBBPPB,2-2-2(t-cut)
BBPPBP,PPBBPP,PPPBBP,2-2-2(t-cut)
BPBPPB,BBPPBB,BBBPPB,2-2-2(t-cut)
PPBPBB,BBPPBB,PBBPPB,2-2-2(t-cut)
BPPBBP,BBPPBB,PBBBBB,2-2-2(t-cut)
BPBBPB,BBPPBB,BPPBPP,2-2-2(t-cut)
BBBBBP,BBPPBB,BBBBPP,2-2-2(t-cut)
BBBBPP,PPBBPP,PPBBBP,2-2-2(t-cut)
PBPPPB,PPBBPP,PBBBPP,2-2-2(t-cut)
PBPPPB,PPBBPP,BBBBBP,2-2-2(t-cut)
PPPBPP,BBPPBB,BBBPPP,2-2-2(t-cut)
PBBPBB,BBPPBB,PBBPBP,2-2-2(t-cut)
BPPBBB,PPBBPP,PBBBPP,2-2-2(t-cut)
BPBBBP,PPBBPP,BBPPPP,2-2-2(t-cut)
BBBPPP,BBPPBB,PPPPBP,2-2-2(t-cut)
BPPPBB,PPBBPP,PPBPPB,2-2-2(t-cut)
PPBPPB,PPBBPP,PBBPPB,2-2-2(t-cut)
BPPBBP,PPBBPP,BBPPPB,2-2-2(t-cut)
PBBPPP,BBPPBB,PPPBBP,2-2-2(t-cut)
BPPPBB,PPBBPP,PBBPBB,2-2-2(t-cut)
BPBBPP,PPBBPP,BPPBPB,2-2-2(t-cut)
