before,pingpong,after,length
PPPBBP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBP,PBBBPP,6
PPBBBB,BPBPBPB,BPBPBP,7
PBPBPB,BPBPBP,PPPPBP,6
PPBPPP,PBPBPB,BBBBBP,6
BBPBPB,BPBPBPB,BPPPBB,7
BBBPBB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPB,BBBPPP,6
BPBBBP,PBPBPB,BBBPBB,6
BPBBBP,PBPBPB,BBBPBB,6
BPPPPP,PBPBPB,BBPBPP,6
BPBBPP,PBPBPBPB,BPBPPP,8
BPBBBP,PBPBPBP,PPPBPP,7
BPBBPB,BPBPBPBP,PBBBPP,8
PBBPBP,PBPBPBP,PPBPPB,7
BPPPPP,PBPBPBP,PPPBPP,7
PPPBPP,PBPBPB,BBPBPB,6
PBBPBP,PBPBPB,BBBBBB,6
BBBPPP,PBPBPBPB,BBPPPB,8
PPBPPB,BPBPBPBP,PPPPBP,8
PPPBPB,BPBPBP,PBPPPP,6
BBPPBP,PBPBPBPB,BBPBBP,8
BPBPPP,PBPBPB,BPBBPP,6
BPPBPP,PBPBPBP,PPBPBP,7
PBPBPP,PBPBPB,BBPPBP,6
BPPBPP,PBPBPBPB,BBBPBB,8
BBBPBB,BPBPBP,PBBPPP,6
PBBPPP,PBPBPB,BPBBPP,6
BPPPPB,BPBPBPB,BBBPPP,7
BBBBPB,BPBPBPB,BPBPPP,7
BPBPPP,PBPBPBP,PPBPBB,7
BPPBBP,PBPBPB,BBBBPP,6
BBBPBB,BPBPBPB,BPBBPP,7
BBBPBB,BPBPBPB,BPBBPP,7
BBBPBB,BPBPBPB,BPBBPP,7
PPBBPP,PBPBPB,BPPBBP,6
PPPBBP,PBPBPB,BPPBBP,6
PPPPPB,BPBPBP,PPPBBP,6
BPPBPB,BPBPBP,PPBBBB,6
PPBPBP,PBPBPBP,PBPBBB,7
PPBPBB,BPBPBP,PPBBBB,6
BBBPPP,PBPBPBP,PPBPPB,7
BBBBBP,PBPBPB,BBPPBB,6
BBPPPB,BPBPBP,PPPBBB,6
BBBPPB,BPBPBPB,BBPBPP,7
BPPPBB,BPBPBP,PBPPBB,6
BBPPBB,BPBPBP,PBBPPB,6
PPBPBB,BPBPBPB,BBBBPB,7
BBPPPP,PBPBPBP,PPPBPP,7
BBPPPP,PBPBPBP,PPBPPP,7
PBBPBB,BPBPBP,PPPPPB,6
BPPBBP,PBPBPBPBPBPBPB,BBBBPB,14
PBPPPP,PBPBPB,BBPBBP,6
BPPPPP,PBPBPBP,PPPBPP,7
PBPBBP,PBPBPBPBPBPB,BPPBPP,12
PPBPPB,BPBPBP,PBBPPP,6
BBBPPP,PBPBPB,BPPPPP,6
PPPBPP,PBPBPB,BBBPBP,6
PBPBBB,BPBPBP,PBBPPB,6
BBBPPB,BPBPBP,PPBPBB,6
PPPBPB,BPBPBP,PBPBBP,6
BPPPBB,BPBPBP,PBBBBP,6
BPPPBB,BPBPBP,PBBBBP,6
PPBBPP,PBPBPBPB,BPBPBB,8
BPPBPB,BPBPBPBP,PPPBBB,8
BPPBPB,BPBPBPB,BPBPBP,7
PBPBPB,BPBPBP,PPBPBB,6
BBPBBB,BPBPBP,PPBBPB,6
BPPBPB,BPBPBPB,BPBPBP,7
PBPBPB,BPBPBP,PPBPBB,6
BBPBBB,BPBPBP,PPBBPB,6
PPBPPB,BPBPBPB,BPBBBB,7
BBBBBB,BPBPBP,PPPPBP,6
PPBPPB,BPBPBPB,BPBBBB,7
BBBBBB,BPBPBP,PPPPBP,6
PPBBBB,BPBPBPBP,PBPBPB,8
BPBPBP,PBPBPB,BBPBBB,6
PPBBBB,BPBPBPB,BPPPBB,7
BBPPBB,BPBPBPBPB,BPPPPP,9
PPPBPP,PBPBPB,BPPPBP,6
PBBBPB,BPBPBPBPBP,PPBPBB,10
BBBBPB,BPBPBPBPBPB,BBBBBB,11
BBPPPB,BPBPBP,PPPBBB,6
BBBPPB,BPBPBP,PBBBPB,6
BPPBPB,BPBPBPBPB,BPBPPB,9
PPBBPB,BPBPBP,PPPPPB,6
PBBPBP,PBPBPB,BPBBBP,6
PBPPBB,BPBPBPB,BBBBPP,7
BPPBPB,BPBPBPB,BBBPPB,7
BBBPBB,BPBPBPBP,PPBPPB,8
BBBPBB,BPBPBPBP,PPBPPB,8
PBBBPB,BPBPBPB,BPBBBB,7
PPPPBP,PBPBPBP,PPBBBB,7
PBBBBB,BPBPBP,PBBBPB,6
PBBBBP,PBPBPBP,PPBBBB,7
PBPBBP,PBPBPBP,PBBPPP,7
BBBBPB,BPBPBPB,BPPBBB,7
BBPBPB,BPBPBPB,BBPBBP,7
BBPBPB,BPBPBP,PPBBBP,6
BBPPPP,PBPBPB,BBPBBP,6
BPPBPP,PBPBPBPB,BPPBPP,8
PBBBPP,PBPBPBPB,BBPBPB,8
BPPBPP,PBPBPBPB,BPPBPP,8
PBBBPP,PBPBPBPB,BBPBPB,8
PPPPPB,BPBPBP,PBBBBB,6
BBPBBP,PBPBPBP,PBPBPB,7
BPBPBP,PBPBPBP,PBPBBB,7
PBBPBP,PBPBPBP,PPPPBB,7
PPPBBB,BPBPBP,PPBBPB,6
BPBPPB,BPBPBP,PBBPPP,6
PPBBPB,BPBPBPBPB,BBBPBB,9
BBPPPB,BPBPBPBPBPBP,PPPBBP,12
PPBPBB,BPBPBPBPBPBP,PPBPBB,12
PPPBPB,BPBPBPBP,PBBPPP,8
BPPBPB,BPBPBPBP,PPBPBB,8
BBPPBP,PBPBPBP,PPPPPP,7
PPPPPP,PBPBPBP,PPBPPP,7
BBPPBB,BPBPBP,PBBPPP,6
PBPPBP,PBPBPB,BPBBBP,6
PPBBPB,BPBPBPB,BPBBPP,7
BPPPBP,PBPBPBPB,BPBPBP,8
PBPBPB,BPBPBPB,BBBPPP,7
BPPBPB,BPBPBP,PPPBBB,6
PPPBPP,PBPBPB,BPPBBB,6
BPBPPB,BPBPBP,PPBBBP,6
BBBPBP,PBPBPB,BPBBBP,6
BBPPPB,BPBPBPB,BPBBPP,7
BBPBBP,PBPBPBP,PBBBBP,7
BPPBBB,BPBPBP,PBPPPP,6
PBPPPB,BPBPBPB,BPPPPP,7
BPPBBP,PBPBPB,BPPBPP,6
BBBBPP,PBPBPB,BBBBBP,6
PPBBPP,PBPBPB,BBBBBP,6
BBBPBP,PBPBPB,BBPPBP,6
BBPPBB,BPBPBP,PPPPBB,6
PPPPBB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPB,BPBBPB,6
PPBBPB,BPBPBP,PPPBBB,6
PBBPPP,PBPBPB,BPPPBB,6
PPBPPP,PBPBPB,BPBBPP,6
PBPBBP,PBPBPBPB,BBBPBP,8
PPBPBB,BPBPBP,PPBPPP,6
BPPPBP,PBPBPBPB,BPPBPB,8
PPPBBB,BPBPBPBP,PBPPPB,8
BBPBPB,BPBPBP,PPPPPP,6
BBBPBB,BPBPBPB,BBBPBB,7
BBPPPP,PBPBPBPB,BBPBPB,8
BPPBBP,PBPBPB,BBPPPP,6
BBBPBB,BPBPBP,PPBBBP,6
PPBBPB,BPBPBP,PBBBBB,6
BPPPBP,PBPBPB,BPPBPB,6
PBPBBP,PBPBPB,BBBPBB,6
PPPBBB,BPBPBP,PPPPPB,6
PPPPPB,BPBPBP,PPBBBP,6
BBBPPB,BPBPBPBPB,BBPPPB,9
PPPPBB,BPBPBP,PPBBPB,6
PPBBPB,BPBPBPB,BBPPPB,7
BPPPPB,BPBPBP,PBBPBP,6
BBBBPP,PBPBPBP,PPPPBP,7
BPBBPB,BPBPBP,PBBBBP,6
PPPBBB,BPBPBPBPB,BBBPBB,9
BPPPPP,PBPBPB,BBBPPB,6
BPBBPB,BPBPBPBPBP,PBBBBP,10
BPPBPP,PBPBPB,BPBBBP,6
BPPPPP,PBPBPBP,PBBBBP,7
PBPPPP,PBPBPB,BBBPBB,6
BBBPPP,PBPBPB,BBPBPB,6
PPBBPB,BPBPBPB,BBPPPB,7
PBBBPP,PBPBPBP,PBPBBB,7
PBBBBB,BPBPBP,PPBPPB,6
PBBBPP,PBPBPB,BBPPPP,6
PBBBPB,BPBPBP,PPPPBB,6
BBPPPB,BPBPBP,PBBPPB,6
BPPPBB,BPBPBPBP,PPBBBP,8
BPPBPB,BPBPBP,PPBBPP,6
PBBBPP,PBPBPBP,PPPBPP,7
PBBBBB,BPBPBPBPBP,PPBBPB,10
PPPPBP,PBPBPBPBPBP,PBBBPP,11
PBBPBB,BPBPBP,PPPPBB,6
PPBPPP,PBPBPB,BBPBBB,6
BPBBPB,BPBPBP,PBBPBB,6
PPPPPP,PBPBPB,BPPBPB,6
PBBPPB,BPBPBPBP,PBBBBP,8
PBBBPP,PBPBPB,BBBBPP,6
PPPBBB,BPBPBP,PPPPPB,6
BPBPPB,BPBPBP,PBBBPB,6
PBPPBB,BPBPBPB,BBBPBP,7
PBPBBB,BPBPBP,PBPPBB,6
PPPBBB,BPBPBP,PPPPPB,6
BPBPPB,BPBPBP,PBBBPB,6
PBPPBB,BPBPBPB,BBBPBP,7
PBPBBB,BPBPBP,PBPPBB,6
PPPBBB,BPBPBPBPB,BBPBPB,9
BPBPBB,BPBPBPBP,PPBBBB,8
PPPPBB,BPBPBPB,BBBBBP,7
PPPPBB,BPBPBPB,BBBBBP,7
BBBPBB,BPBPBP,PBPPBB,6
PPBPBP,PBPBPB,BPPPPP,6
PPPBPB,BPBPBPB,BPBPPB,7
PPBPPB,BPBPBPB,BBBPPB,7
PBBBBP,PBPBPBP,PBBPBP,7
BPBBPB,BPBPBP,PPPBPP,6
BPPPPB,BPBPBPBP,PPBBPB,8
PPPPPP,PBPBPB,BPBBPB,6
BPPPBB,BPBPBP,PPPBPP,6
BPPBPB,BPBPBPBPBPBPB,BBBBPB,13
PBBPBB,BPBPBPB,BBPPPB,7
BBBBBP,PBPBPBP,PBBPBB,7
PPPBPB,BPBPBP,PPBBBB,6
PPPPBP,PBPBPBPB,BBPPPP,8
PPPPBP,PBPBPB,BBBPPB,6
PBBPPB,BPBPBP,PBBBPB,6
BBBBBP,PBPBPB,BPBPPB,6
BPPBBP,PBPBPB,BBBBPP,6
BPBBBP,PBPBPB,BPBBBP,6
PPPPBB,BPBPBP,PBPBPP,6
BBBPBB,BPBPBPBP,PPPPBP,8
PPBPPP,PBPBPBPB,BPBPPP,8
PBBBPP,PBPBPB,BPPPBB,6
BPBPPB,BPBPBP,PPBBBP,6
PBPPBB,BPBPBPBP,PPPPPP,8
PBBPBB,BPBPBPBPB,BBBBPB,9
BPPBBB,BPBPBPB,BBBPPP,7
BPPBBB,BPBPBPB,BBBPPP,7
PPPPBB,BPBPBPBP,PPPBBP,8
BBBPPP,PBPBPBP,PBBBPP,7
PPBBBP,PBPBPB,BBBPBB,6
PPBPBB,BPBPBP,PBBBPP,6
PBPPBP,PBPBPBP,PPBBPB,7
PBBBBB,BPBPBPBPB,BBBPBP,9
BBPPBB,BPBPBP,PPBPPP,6
PBPPBB,BPBPBP,PPPBBP,6
PBPPBB,BPBPBPBP,PBBPBP,8
PBPPBP,PBPBPBP,PBBBPB,7
BPPPPP,PBPBPBP,PBBBBB,7
PBPPBP,PBPBPBP,PBBBPB,7
BPPPPP,PBPBPBP,PBBBBB,7
PPBBPP,PBPBPB,BBBPPP,6
PPBPPP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBP,PBPBBP,6
PPBBPP,PBPBPB,BPPBPB,6
PBBPBB,BPBPBP,PBBBPP,6
PPBBBB,BPBPBPBP,PPPPBP,8
PBBBBP,PBPBPBP,PPBBBP,7
BPPPBP,PBPBPB,BPBPPB,6
BPBPPB,BPBPBPB,BPPBPB,7
PBBBPP,PBPBPB,BBBBPP,6
PPBPBB,BPBPBPB,BBPPPB,7
BPPPBP,PBPBPB,BBPBPB,6
BBPPBB,BPBPBPBP,PBPPBB,8
BBPPBB,BPBPBPBP,PBPPBB,8
BBBPBP,PBPBPB,BPPPPB,6
BBBPBB,BPBPBPBPB,BBBPBB,9
PPPBBB,BPBPBP,PBBPPP,6
PPPPPP,PBPBPB,BBPBBP,6
BBPPBB,BPBPBPBP,PPBPBB,8
PPBPBP,PBPBPBPB,BPPPBP,8
PPBBPB,BPBPBP,PPBBBB,6
PPBBPB,BPBPBP,PPBBBB,6
BBBPBB,BPBPBP,PBPPBB,6
PPBPPP,PBPBPB,BBPBPB,6
BPBPBB,BPBPBP,PBPBPP,6
BPBBPP,PBPBPB,BPPBPB,6
PPPPPP,PBPBPBPBPB,BPBPBP,10
PBPBPB,BPBPBPBP,PPBPPP,8
PBBBBP,PBPBPB,BPPPPB,6
BPPBPP,PBPBPB,BBBPPB,6
BBBPPB,BPBPBPB,BBPBBP,7
BPBBBB,BPBPBP,PBBBBB,6
PPPBBP,PBPBPB,BBBBPB,6
PBBBPB,BPBPBPB,BPBPBP,7
PBPBPB,BPBPBPBPB,BPBPPB,9
BPPBPP,PBPBPB,BPBBPP,6
BPBBPP,PBPBPB,BBPBBP,6
BBPPBB,BPBPBPBP,PBPPBP,8
PPBPPB,BPBPBP,PPBPPP,6
PBPPBB,BPBPBP,PBBPPB,6
PBBPPB,BPBPBP,PBBPBP,6
PPPBPP,PBPBPB,BBPPPP,6
BPPBBP,PBPBPBPB,BBPBPB,8
BPBPBB,BPBPBP,PPPPBP,6
BBBPPB,BPBPBPBPBP,PBPBPB,10
BPBPBP,PBPBPBP,PBPBBP,7
BBBPBB,BPBPBPB,BPBBPB,7
BBBBBB,BPBPBPB,BPPBPB,7
BPPBPP,PBPBPB,BPBPPP,6
PBBBBB,BPBPBPB,BBBPPB,7
PBPBBP,PBPBPBPB,BBPPPB,8
PBBBPP,PBPBPB,BBBBPB,6
BBPBPP,PBPBPB,BBBBPP,6
BBBPPP,PBPBPBPBPB,BBBPBB,10
PBBPBB,BPBPBP,PBBBPP,6
PPPPBB,BPBPBPB,BPPPPB,7
PPBPPP,PBPBPBPB,BPPPPP,8
PPPBBP,PBPBPB,BPPBPP,6
BBBBPB,BPBPBP,PPBBBB,6
PPPPBB,BPBPBP,PPBBPP,6
BBPPBB,BPBPBP,PPBPBP,6
PBPBPP,PBPBPB,BPBPBB,6
PBBBPB,BPBPBP,PBBPBB,6
PPBBPB,BPBPBPBP,PBPBBP,8
PPPBPB,BPBPBP,PPBBBP,6
PPBBPB,BPBPBPBP,PBPBBP,8
PPPBPB,BPBPBP,PPBBBP,6
BPPBPB,BPBPBPB,BPBPPB,7
BPBBPP,PBPBPB,BBBBBP,6
BBBBBB,BPBPBP,PBBPBB,6
PBPBPB,BPBPBP,PPPPPB,6
BPPBBP,PBPBPBPBP,PPBBPB,9
BBBBBB,BPBPBP,PBBPBB,6
BBBPPP,PBPBPB,BBBBBP,6
BPPBPB,BPBPBPB,BBBBPP,7
BPBPPB,BPBPBPBP,PBPBBB,8
BPBBBB,BPBPBPBPB,BPPPBB,9
PPPBPB,BPBPBP,PBBBBP,6
BPPBPP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBPB,BPBPBP,7
PBPBPB,BPBPBP,PPBPBP,6
BPBPPP,PBPBPBPB,BBBBPB,8
PPPPBB,BPBPBPB,BPPPBP,7
BBBBPP,PBPBPB,BBPBBB,6
PPPPBP,PBPBPBPBPBP,PPBPPP,11
BPPBPB,BPBPBPBP,PBPPPP,8
PPBBBP,PBPBPBPB,BBBBBP,8
PBBBPP,PBPBPB,BPBPBB,6
PBBPPB,BPBPBPBPB,BBPPPB,9
BBBPPB,BPBPBPBP,PPBBBP,8
BPPPBB,BPBPBP,PBPPPB,6
PPBBBP,PBPBPB,BPPPBP,6
BPBBBP,PBPBPB,BPPPPP,6
PBPPPB,BPBPBP,PBPBBB,6
PPPBBB,BPBPBP,PPBPPB,6
BBPBPB,BPBPBP,PBBPPB,6
BPPBBP,PBPBPBP,PBPPBB,7
PPPBPP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBPBP,PPBPPP,8
PPPBPP,PBPBPB,BPPBBB,6
BBPPBB,BPBPBPBPB,BBPPBP,9
BPBBBP,PBPBPBP,PBBPBP,7
BPBPPB,BPBPBP,PBBPBP,6
PPBPPP,PBPBPB,BPPBPP,6
BBPBPB,BPBPBP,PBBPBB,6
BPPBBB,BPBPBPB,BBBPBB,7
BPBBPB,BPBPBPB,BBBPPP,7
PPBPPB,BPBPBP,PPPBBP,6
BBPBPP,PBPBPBPB,BPPBBP,8
BPPBBP,PBPBPBP,PPPPBP,7
PPBBPP,PBPBPB,BBPPPB,6
BBBBPB,BPBPBP,PBPPPP,6
BBPBPB,BPBPBPB,BPPPBB,7
BBBBPP,PBPBPBPB,BBPPPB,8
PBBPPP,PBPBPBPB,BBPPBP,8
PBBPPB,BPBPBP,PBBPBB,6
BPPBBB,BPBPBP,PBBBPB,6
PPBPPB,BPBPBPB,BPPBPB,7
PPBPPB,BPBPBPBPBP,PBPBBB,10
PPPBPP,PBPBPBPB,BBBBBP,8
BBBBBB,BPBPBP,PBPPPP,6
BBBPPP,PBPBPBPB,BBPPPB,8
BBBPBB,BPBPBPBPBP,PPPPBB,10
PPPBBB,BPBPBP,PPBPPB,6
BBBPBP,PBPBPB,BBPBPB,6
BPBPBB,BPBPBP,PPPPBP,6
BPBBBB,BPBPBP,PBBBBB,6
BPBBPP,PBPBPB,BPPBPP,6
BBPPBP,PBPBPBPBP,PBBBPB,9
PPPBBP,PBPBPBPB,BBBPPP,8
PBBPBP,PBPBPBPBPBP,PPPBPP,11
PPPBBB,BPBPBP,PBBPBP,6
PBBBPB,BPBPBP,PPPPPP,6
BBPBBP,PBPBPBP,PPBBBB,7
BBBPPB,BPBPBP,PBPPPB,6
BBBPPB,BPBPBP,PBPPPB,6
PBPPBP,PBPBPB,BPBBBP,6
PPBBPP,PBPBPBP,PPBBBB,7
PBPPBB,BPBPBP,PPBPPB,6
PPBPBP,PBPBPB,BPBBPB,6
PBBBBP,PBPBPBP,PPPBBB,7
PBPPPB,BPBPBPBP,PPPPBP,8
BPBPPB,BPBPBPBP,PBBBBP,8
PBPPBB,BPBPBPB,BBPBBP,7
PBBBPB,BPBPBP,PBPBBB,6
PBBPPB,BPBPBP,PBBBBP,6
PBBBPB,BPBPBP,PBBBPP,6
PPBPPP,PBPBPB,BPPPBB,6
PBPBBP,PBPBPBP,PBBBPP,7
BBPPPP,PBPBPBPBP,PPPPBP,9
BBPBPP,PBPBPB,BBPBBB,6
PBBBBP,PBPBPB,BPPBBB,6
BPPBBB,BPBPBPB,BPPPPB,7
PBPBBP,PBPBPBPB,BPPPBP,8
BPPBPB,BPBPBP,PPBBBB,6
PBBBPB,BPBPBP,PPPBBP,6
BBPBBB,BPBPBPBP,PPBPBP,8
PPPPBP,PBPBPB,BPPPBP,6
PBPBBB,BPBPBP,PPBPBB,6
PBBBPB,BPBPBP,PPPBBP,6
BBPPBP,PBPBPB,BPBPBP,6
PPPPBP,PBPBPBP,PPBBBP,7
BPBBBP,PBPBPBPB,BBPPPB,8
BPPPBP,PBPBPBP,PPPPPP,7
PPBPPP,PBPBPB,BPBPPB,6
PPBPBP,PBPBPBP,PPBPPB,7
PBBPPB,BPBPBP,PBPPBP,6
BBPBBB,BPBPBP,PPPPBB,6
PPPPPP,PBPBPB,BPPPBB,6
PBBBPP,PBPBPB,BPPBPB,6
PBBPPB,BPBPBPB,BBPPPP,7
PBBBPP,PBPBPB,BBBPBP,6
PBBBPB,BPBPBP,PBBBPP,6
PPBBPB,BPBPBP,PBPPPP,6
PPBBPB,BPBPBPBPB,BBBBPP,9
BPPBBB,BPBPBP,PPPBPB,6
BPBPPP,PBPBPBP,PPBPBB,7
BPBBPP,PBPBPBPBPB,BPPPBB,10
BBBBBP,PBPBPB,BBPPPB,6
PBPPBP,PBPBPB,BBBPBP,6
PPBBBP,PBPBPB,BBPBBB,6
BBBBPB,BPBPBP,PPBBBB,6
PBBBBB,BPBPBP,PBPBPP,6
PBBBPP,PBPBPBP,PPBBBB,7
BBBPBP,PBPBPBPBPB,BPPPBB,10
PPPPBP,PBPBPBP,PPBBPB,7
BPBBBB,BPBPBP,PPBBPP,6
PPPBPB,BPBPBP,PBPPPP,6
PPPBPB,BPBPBP,PBBBBB,6
BBBBBP,PBPBPBPBP,PBPBBB,9
PPBPBP,PBPBPB,BBPBBP,6
BBBBPB,BPBPBPBP,PBBPPP,8
BBBPPP,PBPBPBP,PPBBPP,7
PPBBPP,PBPBPB,BBBBPB,6
BPBPPB,BPBPBPBPBP,PPBPBP,10
PBPBPP,PBPBPB,BBPPBP,6
BPBBBP,PBPBPBPBPBP,PBPPPB,11
PBBBBP,PBPBPB,BPPBPP,6
BPBPPB,BPBPBPBP,PPPBBP,8
BBPPPB,BPBPBPB,BPBPPB,7
PPBPBP,PBPBPB,BBBBBB,6
BPBBPP,PBPBPBP,PPPPBB,7
BPPPPP,PBPBPB,BBBPBP,6
BBPPBP,PBPBPB,BBPBPP,6
PBBBBB,BPBPBPB,BBPPBB,7
BPPBBP,PBPBPB,BBBBBB,6
BBBBPP,PBPBPBP,PBBBPP,7
BBPBBB,BPBPBPBP,PBPBPP,8
BBPBPP,PBPBPB,BBBPBB,6
BPBBPP,PBPBPBP,PBPPPB,7
BPBBPP,PBPBPBP,PBPPPB,7
PBBPBP,PBPBPB,BBBBPB,6
PPPPPP,PBPBPBPB,BBBPBB,8
PPPBBB,BPBPBP,PPPPBP,6
PPBPBP,PBPBPB,BBBBPB,6
PPPPPB,BPBPBPBP,PBPPPP,8
PPPBBB,BPBPBP,PBPPBP,6
BBBPPB,BPBPBPB,BBBPBP,7
BPBBBP,PBPBPBPB,BBBPBB,8
BBPPPB,BPBPBP,PBBBPP,6
PBPPPP,PBPBPB,BBBBBB,6
BPBBPP,PBPBPBPBP,PBBBPB,9
BPPPPB,BPBPBPBPBP,PBBBPP,10
BPPPPB,BPBPBPBPBP,PBBBPP,10
PBPPPB,BPBPBPBP,PBBPBP,8
PPBBPB,BPBPBP,PBPBBP,6
BBBBPP,PBPBPB,BPPBBB,6
PBBBPP,PBPBPBP,PBBPPP,7
PBBBPP,PBPBPBP,PBBPPP,7
PBPBBP,PBPBPBP,PBPBPB,7
BBBBBB,BPBPBP,PBBPBP,6
PPBBBB,BPBPBP,PBPBBB,6
PBBBBB,BPBPBPB,BBPBPB,7
PBPPBP,PBPBPB,BBPBBP,6
PPPPBP,PBPBPB,BBPBPB,6
PBBPPB,BPBPBPBPB,BBBPPB,9
BPPPBB,BPBPBP,PPBPBB,6
BPPBPP,PBPBPB,BPPBBB,6
PPPBBB,BPBPBP,PPPBPP,6
BBPPPB,BPBPBP,PPBBPP,6
BPPPBP,PBPBPB,BPBBPB,6
BBBPBP,PBPBPB,BBPBPB,6
BPBPBB,BPBPBPBP,PBBPBB,8
BPBPBB,BPBPBPBPBP,PPPPPP,10
BBBBBB,BPBPBPB,BPPBBB,7
BPPBPP,PBPBPB,BPPPBP,6
BBBBPP,PBPBPBPBPB,BBBBBP,10
BBBPPB,BPBPBP,PBPPBP,6
BBPBBP,PBPBPBP,PPPPPB,7
BBBBBP,PBPBPB,BBPBPP,6
BBBBBP,PBPBPB,BBPBPP,6
BPPPPP,PBPBPBP,PPPPBB,7
PPPPPP,PBPBPBP,PPBPBP,7
PPBPPP,PBPBPB,BPBBPP,6
PBBPBB,BPBPBPB,BPPBPP,7
BPPPPB,BPBPBPB,BPPBBB,7
PPBPBB,BPBPBPBPBPB,BPPBBB,11
BPBBBB,BPBPBPBPBPBP,PPBBBB,12
BPBBBP,PBPBPB,BPBBPB,6
PBPBBP,PBPBPB,BPPPBP,6
PPPPBB,BPBPBP,PBPPPP,6
PPBBPB,BPBPBP,PPBBBP,6
BBBPBP,PBPBPB,BBBPPP,6
PPBBPB,BPBPBP,PPBBBP,6
BBBPBP,PBPBPB,BBBPPP,6
PPBPBP,PBPBPBPBP,PPPBBP,9
PPBPBP,PBPBPBPBP,PPPBBP,9
PBBPPB,BPBPBPB,BPBBPP,7
PPPPBB,BPBPBP,PPPBBP,6
PBPBPP,PBPBPBP,PPBBBB,7
PBBPBB,BPBPBPB,BPPBBP,7
BPPPPP,PBPBPBPB,BPBPPP,8
BBBBPP,PBPBPBPB,BBPBBP,8
BPPPPP,PBPBPBPB,BPBPPP,8
BBBBPP,PBPBPBPB,BBPBBP,8
PPBPBP,PBPBPBP,PBBBPB,7
BPPPBP,PBPBPBP,PPBPPB,7
BPPPBP,PBPBPBPBP,PBBPPB,9
PPPPPB,BPBPBP,PPPBPP,6
PBBPBP,PBPBPB,BPPBBB,6
PBBBBB,BPBPBP,PPPBPP,6
BBBBPP,PBPBPB,BPBPPP,6
BBPPBP,PBPBPB,BPBPBB,6
BPPBBB,BPBPBP,PPPBBB,6
PPPBBP,PBPBPB,BPBPBP,6
BBPPPB,BPBPBPB,BBPBBP,7
BPPBBP,PBPBPB,BBPPBB,6
BBPPBP,PBPBPB,BBBPPP,6
BBBPPP,PBPBPB,BPBPPP,6
PBPPPB,BPBPBP,PPPBBB,6
PPPBPB,BPBPBP,PBPBPP,6
PPBBBP,PBPBPBP,PBBPBP,7
BPBPPB,BPBPBP,PBPBPB,6
PPBPPP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBP,PPPBPP,6
PBPBPP,PBPBPBP,PPPPBB,7
BPBBBP,PBPBPB,BPPPBP,6
PPBBPB,BPBPBPB,BBPPBP,7
BBBPBB,BPBPBP,PBBBPP,6
PBPBBB,BPBPBPBP,PPBBPP,8
BBPPBP,PBPBPBPB,BBPPPB,8
PBBPBB,BPBPBPBPBPBP,PPPBPB,12
BBPBPB,BPBPBP,PPBPBB,6
BPPPPB,BPBPBP,PPBPBP,6
PBPBPP,PBPBPBP,PPBPPB,7
PPPBBB,BPBPBP,PPPBPP,6
PPBPBP,PBPBPB,BBPPPP,6
PPBPBP,PBPBPB,BBPPPP,6
BBBBPB,BPBPBP,PBPBBB,6
PPPPBB,BPBPBPB,BPPBPB,7
BPPBPB,BPBPBP,PBPBPP,6
PBPPPB,BPBPBPB,BPBBBB,7
PBBBBB,BPBPBPB,BBPBPP,7
BBPBBP,PBPBPB,BPBPPP,6
BBPPPP,PBPBPB,BBPPBP,6
BPBBBP,PBPBPBPB,BBBPPB,8
PBBBBP,PBPBPB,BPPBPB,6
BBPPPP,PBPBPB,BBPPBP,6
BPBBBP,PBPBPBPB,BBBPPB,8
PBBBBP,PBPBPB,BPPBPB,6
BBBBBP,PBPBPBP,PPBPPP,7
PPPPBP,PBPBPB,BBPBBP,6
BPBPBP,PBPBPB,BPBBPP,6
PPPPBP,PBPBPB,BPPPPP,6
PBBBPP,PBPBPB,BBBPBP,6
BPBBPP,PBPBPBPB,BBPPPP,8
BPBBBB,BPBPBP,PPBBPP,6
BPBPPB,BPBPBP,PPBPBB,6
PPPBPB,BPBPBPB,BPPPBB,7
PPPBBB,BPBPBPBP,PBPPBB,8
PBPPBB,BPBPBP,PPPPPP,6
BPBBBP,PBPBPBPB,BPBPPP,8
PBBBBP,PBPBPB,BBPBBB,6
BBBPPP,PBPBPBP,PPPBPB,7
BBBPPP,PBPBPBP,PPPBPB,7
BPBBPB,BPBPBPBP,PBBBBB,8
PPBPBB,BPBPBP,PPPPPB,6
BBBPBP,PBPBPBP,PPPPBP,7
BBPBPP,PBPBPB,BPBBPB,6
BBBPBP,PBPBPBP,PPPPBP,7
BBPBPP,PBPBPB,BPBBPB,6
PBBPPB,BPBPBP,PPPPBP,6
PBPPBB,BPBPBPB,BPPBBB,7
PBBPPB,BPBPBP,PPPPBP,6
PBPPBB,BPBPBPB,BPPBBB,7
PBBBBP,PBPBPB,BBPBBP,6
BPBBPB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPB,BBPBBB,6
BBBPBB,BPBPBP,PBBPPB,6
